,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,114.71537780152,118.77774,
2017-01-04,80.15039545560091,872.0,1,114.58698349145,117.78825,1.0
2017-01-05,100508.12542032727,0,-1,115.16969612944,118.64058,-1.0
2017-01-06,8.634764742339755,863.0,1,116.45363923011,118.06329,1.0
2017-01-09,8.634764742339755,863.0,0,117.5202996522,118.12428,1.0
2017-01-10,8.634764742339755,863.0,0,117.63881747687,118.83873,1.0
2017-01-11,8.634764742339755,863.0,0,118.27091254181,118.90457,1.0
2017-01-12,101650.26194376314,0,-1,117.77708827233,119.86718,-1.0
2017-01-13,101650.26194376314,0,0,117.56968207915,119.357925,-1.0
2017-01-17,101650.26194376314,0,0,118.51782467656,119.25507,-1.0
2017-01-18,88.95034393044527,857.0,1,118.50794819117,118.872734,1.0
2017-01-19,101472.5148361993,0,-1,118.30054199798,119.789276,-1.0
2017-01-20,101472.5148361993,0,0,118.51782467656,119.595535,-1.0
2017-01-23,72.21957767290529,855.0,1,118.59683655968,119.39525,1.0
2017-01-24,72.21957767290529,855.0,0,118.48819522039,119.67035,1.0
2017-01-25,102992.505937669,0,-1,120.37460392982,120.49069,-1.0
2017-01-26,21.553207622207296,855.0,1,120.43386284216,120.43892,1.0
2017-01-27,21.553207622207296,855.0,0,120.44373932755,121.54204,1.0
2017-01-30,21.553207622207296,855.0,0,120.12769179508,122.21687,1.0
2017-01-31,21.553207622207296,855.0,0,119.85115020417,122.513435,1.0
2017-02-01,108743.138938261,0,-1,127.15974939256,123.18439,-1.0
2017-02-02,80.38743109412985,856.0,1,126.94246671398,122.950806,1.0
2017-02-03,109208.12387041366,0,-1,127.48567341042,129.1387,-1.0
2017-02-06,86.86640551431174,848.0,1,128.68072814257,128.37912,1.0
2017-02-07,86.86640551431174,848.0,0,129.9054123309,128.85516,1.0
2017-02-08,86.86640551431174,848.0,0,130.40911308577,129.10881,1.0
2017-02-09,86.86640551431174,848.0,0,131.34737919779,130.51929,1.0
2017-02-10,86.86640551431174,848.0,0,131.04980924039,130.73935,1.0
2017-02-13,86.86640551431174,848.0,0,132.21033207426,132.3836,1.0
2017-02-14,86.86640551431174,848.0,0,133.92631882862,132.666,1.0
2017-02-15,86.86640551431174,848.0,0,134.41234975905,133.35992,1.0
2017-02-16,86.86640551431174,848.0,0,134.24868628248,135.15527,1.0
2017-02-17,86.86640551431174,848.0,0,134.62064872923,136.03352,1.0
2017-02-21,86.86640551431174,848.0,0,135.59271059008,136.1671,1.0
2017-02-22,86.86640551431174,848.0,0,135.99938953187,136.89117,1.0
2017-02-23,114926.49270237288,0,-1,135.42408761422,138.26225,-1.0
2017-02-24,114926.49270237288,0,0,135.55303459576,137.57529,-1.0
2017-02-27,22.055668795565566,846.0,1,135.82084755742,137.55313,1.0
2017-02-28,22.055668795565566,846.0,0,135.8803615489,138.07317,1.0
2017-03-01,22.055668795565566,846.0,0,138.65768115133,139.25656,1.0
2017-03-02,116629.96168053031,0,-1,137.83440426919,140.29247,-1.0
2017-03-03,27.193710067554463,841.0,1,138.64776215275,137.65701,1.0
2017-03-06,27.193710067554463,841.0,0,138.21132621523,138.09518,1.0
2017-03-07,116413.07285758003,0,-1,138.38986818967,139.24445,-1.0
2017-03-08,116413.07285758003,0,0,137.87408026351,138.51,-1.0
2017-03-09,40.12808421679608,846.0,1,137.55667230894,138.37157,1.0
2017-03-10,116799.08060632779,0,-1,138.01294624363,138.37476,-1.0
2017-03-13,127.8517076598468,845.0,1,138.07246023511,138.03285,1.0
2017-03-14,116623.06797652571,0,-1,137.86416126493,139.24983,-1.0
2017-03-15,116623.06797652571,0,0,139.3222540562,138.99655,-1.0
2017-03-16,98.49147186981895,835.0,1,139.55039102354,137.95267,1.0
2017-03-17,98.49147186981895,835.0,0,138.85606112294,139.2642,1.0
2017-03-20,117260.80999023517,0,-1,140.31415391421,140.20538,-1.0
2017-03-21,53.1616483523575,845.0,1,138.70727614424,139.63483,1.0
2017-03-22,118585.0954906594,0,-1,140.27447791989,140.32077,-1.0
2017-03-23,52.903754384667536,848.0,1,139.77852799089,139.16707,1.0
2017-03-24,52.903754384667536,848.0,0,139.50079603064,141.16046,1.0
2017-03-27,118551.45024747602,0,-1,139.73885199657,141.37527,-1.0
2017-03-28,21.599394867267137,831.0,1,142.63519958196,141.1306,1.0
2017-03-29,21.599394867267137,831.0,0,142.95260753652,141.65207,1.0
2017-03-30,21.599394867267137,831.0,0,142.7641465635,142.10855,1.0
2017-03-31,118436.05261799632,0,-1,142.49633360184,143.17104,-1.0
2017-04-03,131.16465318352027,830.0,1,142.53600959616,142.64612,1.0
2017-04-04,131.16465318352027,830.0,0,143.59734244423,142.93256,1.0
2017-04-05,131.16465318352027,830.0,0,142.85341755072,143.09169,1.0
2017-04-06,118403.12154271072,0,-1,142.49633360184,144.62027,-1.0
2017-04-07,118403.12154271072,0,0,142.17892564727,144.42354,-1.0
2017-04-10,108.53941742620333,833.0,1,142.01030267141,143.81096,1.0
2017-04-11,108.53941742620333,833.0,0,140.48277689007,143.83264,1.0
2017-04-12,117271.15550575421,0,-1,140.65139986594,144.16396,-1.0
2017-04-13,28.69147885786606,838.0,1,139.90747497243,142.11508,1.0
2017-04-17,28.69147885786606,838.0,0,140.68115686168,142.29112,1.0
2017-04-18,117395.8373179048,0,-1,140.05625995113,142.7856,-1.0
2017-04-19,42.30034491344995,841.0,1,139.54047202496,142.19212,1.0
2017-04-20,118864.0078117389,0,-1,141.28621577506,142.94044,-1.0
2017-04-21,42.994674812508265,842.0,1,141.1175927992,141.34926,1.0
2017-04-24,42.994674812508265,842.0,0,142.47649560468,142.95453,1.0
2017-04-25,42.994674812508265,842.0,0,143.36920547689,143.164,1.0
