,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,114.71537780152,117.76692,
2017-01-04,80.15039545560091,872.0,1,114.58698349145,117.39555,1.0
2017-01-05,100508.12542032727,0,-1,115.16969612944,117.81519,-1.0
2017-01-06,100508.12542032727,0,0,116.45363923011,117.69765,-1.0
2017-01-09,28.269217696273543,855.0,1,117.5202996522,117.30215,1.0
2017-01-10,100609.45816042012,0,-1,117.63881747687,117.90156,-1.0
2017-01-11,79.1824998816181,850.0,1,118.27091254181,117.816216,1.0
2017-01-12,100189.70753136212,0,-1,117.77708827233,118.555336,-1.0
2017-01-13,100189.70753136212,0,0,117.56968207915,118.37986,-1.0
2017-01-17,100189.70753136212,0,0,118.51782467656,118.134796,-1.0
2017-01-18,50.491309823465926,845.0,1,118.50794819117,117.707466,1.0
2017-01-19,100014.44929811657,0,-1,118.30054199798,118.39204,-1.0
2017-01-20,100014.44929811657,0,0,118.51782467656,118.37327,-1.0
2017-01-23,37.31607830632781,843.0,1,118.59683655968,118.10885,1.0
2017-01-24,37.31607830632781,843.0,0,118.48819522039,118.47494,1.0
2017-01-25,37.31607830632781,843.0,0,120.37460392982,119.29788,1.0
2017-01-26,37.31607830632781,843.0,0,120.43386284216,119.33492,1.0
2017-01-27,37.31607830632781,843.0,0,120.44373932755,120.286125,1.0
2017-01-30,37.31607830632781,843.0,0,120.12769179508,121.18527,1.0
2017-01-31,37.31607830632781,843.0,0,119.85115020417,121.50803,1.0
2017-02-01,107232.9848162344,0,-1,127.15974939256,122.23487,-1.0
2017-02-02,93.54290963528172,844.0,1,126.94246671398,122.133095,1.0
2017-02-03,93.54290963528172,844.0,0,127.48567341042,127.00775,1.0
2017-02-06,108700.07746196435,0,-1,128.68072814257,127.853615,-1.0
2017-02-07,99.15275333195564,836.0,1,129.9054123309,127.2024,1.0
2017-02-08,99.15275333195564,836.0,0,130.40911308577,127.941895,1.0
2017-02-09,99.15275333195564,836.0,0,131.34737919779,128.99655,1.0
2017-02-10,99.15275333195564,836.0,0,131.04980924039,129.5306,1.0
2017-02-13,99.15275333195564,836.0,0,132.21033207426,130.78357,1.0
2017-02-14,99.15275333195564,836.0,0,133.92631882862,131.38039,1.0
2017-02-15,99.15275333195564,836.0,0,134.41234975905,131.84363,1.0
2017-02-16,99.15275333195564,836.0,0,134.24868628248,133.65234,1.0
2017-02-17,99.15275333195564,836.0,0,134.62064872923,134.83208,1.0
2017-02-21,99.15275333195564,836.0,0,135.59271059008,135.13782,1.0
2017-02-22,99.15275333195564,836.0,0,135.99938953187,135.93013,1.0
2017-02-23,113313.68999881989,0,-1,135.42408761422,137.34195,-1.0
2017-02-24,126.90611136027692,835.0,1,135.55303459576,137.13583,1.0
2017-02-27,126.90611136027692,835.0,0,135.82084755742,137.24425,1.0
2017-02-28,126.90611136027692,835.0,0,135.8803615489,138.01944,1.0
2017-03-01,126.90611136027692,835.0,0,138.65768115133,138.94885,1.0
2017-03-02,115218.63367613393,0,-1,137.83440426919,139.98863,-1.0
2017-03-03,2.343327198679475,831.0,1,138.64776215275,137.74614,1.0
2017-03-06,2.343327198679475,831.0,0,138.21132621523,138.18921,1.0
2017-03-07,115004.32379281445,0,-1,138.38986818967,139.13277,-1.0
2017-03-08,115004.32379281445,0,0,137.87408026351,138.6324,-1.0
2017-03-09,6.945742540616493,836.0,1,137.55667230894,138.37285,1.0
2017-03-10,115385.7688022153,0,-1,138.01294624363,138.53093,-1.0
2017-03-13,95.26450589846314,835.0,1,138.07246023511,138.08382,1.0
2017-03-14,95.26450589846314,835.0,0,137.86416126493,139.2009,1.0
2017-03-15,116429.34664282546,0,-1,139.3222540562,139.33278,-1.0
2017-03-16,44.32052919311218,834.0,1,139.55039102354,138.44473,1.0
2017-03-17,44.32052919311218,834.0,0,138.85606112294,139.59666,1.0
2017-03-20,117066.32489364425,0,-1,140.31415391421,140.66068,-1.0
2017-03-21,136.09110404992393,843.0,1,138.70727614424,140.42139,1.0
2017-03-22,118387.47599051718,0,-1,140.27447791989,141.02605,-1.0
2017-03-23,134.841310224231,846.0,1,139.77852799089,140.5081,1.0
2017-03-24,134.841310224231,846.0,0,139.50079603064,141.76898,1.0
2017-03-27,118353.91009932244,0,-1,139.73885199657,142.19281,-1.0
2017-03-28,109.32964587760617,829.0,1,142.63519958196,141.98286,1.0
2017-03-29,109.32964587760617,829.0,0,142.95260753652,142.33649,1.0
2017-03-30,109.32964587760617,829.0,0,142.7641465635,142.98816,1.0
2017-03-31,118238.79020180297,0,-1,142.49633360184,143.5532,-1.0
2017-04-03,76.43824658633122,829.0,1,142.53600959616,143.27518,1.0
2017-04-04,76.43824658633122,829.0,0,143.59734244423,143.55212,1.0
2017-04-05,76.43824658633122,829.0,0,142.85341755072,143.6783,1.0
2017-04-06,76.43824658633122,829.0,0,142.49633360184,144.74258,1.0
2017-04-07,117942.76760817316,0,-1,142.17892564727,144.9231,-1.0
2017-04-10,74.21639090287215,830.0,1,142.01030267141,144.46689,1.0
2017-04-11,74.21639090287215,830.0,0,140.48277689007,144.49812,1.0
2017-04-12,116814.87827963306,0,-1,140.65139986594,144.62042,-1.0
2017-04-13,116814.87827963306,0,0,139.90747497243,142.84987,-1.0
2017-04-17,49.51808443866787,830.0,1,140.68115686168,142.67302,1.0
2017-04-18,116296.21384387655,0,-1,140.05625995113,142.96602,-1.0
2017-04-19,59.000647084877386,833.0,1,139.54047202496,142.44852,1.0
2017-04-20,117750.41838770984,0,-1,141.28621577506,143.1351,-1.0
2017-04-21,58.34599317704283,834.0,1,141.1175927992,141.98578,1.0
2017-04-24,58.34599317704283,834.0,0,142.47649560468,143.2528,1.0
2017-04-25,58.34599317704283,834.0,0,143.36920547689,143.83504,1.0
2017-04-26,118892.6775678758,0,-1,142.48720812314,144.40356,-1.0
2017-04-27,118892.6775678758,0,0,142.62528058338,143.53879,-1.0
2017-04-28,59.007788756968864,834.0,1,142.48641460326,142.617,1.0
2017-05-01,59.007788756968864,834.0,0,145.41251918439,142.98038,1.0
2017-05-02,59.007788756968864,834.0,0,146.31514805518,143.1228,1.0
2017-05-03,59.007788756968864,834.0,0,145.86879311907,145.0358,1.0
2017-05-04,59.007788756968864,834.0,0,145.34308619433,145.52058,1.0
2017-05-05,59.007788756968864,834.0,0,147.75340284929,145.82455,1.0
2017-05-08,59.007788756968864,834.0,0,151.76067827566,146.01825,1.0
2017-05-09,59.007788756968864,834.0,0,152.71290213935,147.8053,1.0
2017-05-10,59.007788756968864,834.0,0,152.01857223874,151.0158,1.0
2017-05-11,127934.4597515495,0,-1,153.32788005131,153.22968,-1.0
2017-05-12,138.78410049008215,822.0,1,155.46919178961,152.96707,1.0
2017-05-15,138.78410049008215,822.0,0,155.07080821039,154.45526,1.0
2017-05-16,138.78410049008215,822.0,0,154.84173765234,156.07277,1.0
2017-05-17,138.78410049008215,822.0,0,149.64283194355,156.62466,1.0
2017-05-18,125019.96516270663,0,-1,151.92357793457,157.33594,-1.0
2017-05-19,99.62299465162596,820.0,1,152.34188069275,153.33167,1.0
2017-05-22,99.62299465162596,820.0,0,153.36771840924,154.45464,1.0
2017-05-23,99.62299465162596,820.0,0,153.17848620911,155.0295,1.0
2017-05-24,99.62299465162596,820.0,0,152.72034509301,155.03459,1.0
2017-05-25,125763.14972973704,0,-1,153.24820333547,155.87897,-1.0
2017-05-26,5.982934355478676,822.0,1,152.98925400898,155.80518,1.0
2017-05-30,125812.2704250524,0,-1,153.04901154586,156.47234,-1.0
2017-05-31,125812.2704250524,0,0,152.14268890314,155.11722,-1.0
2017-06-01,102.01329612471432,824.0,1,152.56099166132,154.71027,1.0
2017-06-02,102.01329612471432,824.0,0,154.82181847338,154.82938,1.0
2017-06-05,102.01329612471432,824.0,0,153.30796087235,155.6282,1.0
2017-06-06,126854.52154500489,0,-1,153.82585952534,156.08499,-1.0
2017-06-07,126854.52154500489,0,0,154.74214175754,153.26099,-1.0
2017-06-08,121.94243467799643,821.0,1,154.36367735728,153.14404,1.0
2017-06-09,121940.25094398034,0,-1,148.37796407954,155.19925,-1.0
2017-06-12,121940.25094398034,0,0,144.7327543297,154.46008,-1.0
2017-06-13,121940.25094398034,0,0,145.99762219371,149.6642,-1.0
2017-06-14,64.87398695791575,843.0,1,144.57340089801,147.11359,1.0
2017-06-15,64.87398695791575,843.0,0,143.70691661321,147.71727,1.0
2017-06-16,119513.82603763523,0,-1,141.69507953817,150.69592,-1.0
2017-06-19,119513.82603763523,0,0,145.7486324567,148.20981,-1.0
2017-06-20,75.17220248863467,827.0,1,144.4240070558,146.4451,1.0
2017-06-21,120222.17196066488,0,-1,145.28053175112,148.09793,-1.0
2017-06-22,127.80863289235845,828.0,1,145.04150160359,147.65933,1.0
2017-06-23,120815.9228471294,0,-1,145.75859204618,148.15837,-1.0
2017-06-26,129.18305623808476,831.0,1,145.23073380372,147.6533,1.0
2017-06-27,119094.42772461555,0,-1,143.15913919179,147.93887,-1.0
2017-06-28,119094.42772461555,0,0,145.2406933932,147.1679,-1.0
2017-06-29,35.74218773044231,832.0,1,143.09938165491,146.05186,1.0
2017-06-30,119376.16459183414,0,-1,143.43800769724,146.76996,-1.0
2017-07-03,37.8735398770485,835.0,1,142.92010904426,144.116,1.0
2017-07-05,119866.82376758305,0,-1,143.5077248236,144.218,-1.0
2017-07-06,119866.82376758305,0,0,142.15322065427,143.42398,-1.0
2017-07-07,119866.82376758305,0,0,143.59736112893,142.50851,-1.0
2017-07-10,98.03941992195317,829.0,1,144.47380500321,141.87695,1.0
2017-07-11,98.03941992195317,829.0,0,144.94190570879,145.72554,1.0
2017-07-12,120428.26574577446,0,-1,145.15105708788,148.62051,-1.0
2017-07-13,40.87137630309098,818.0,1,147.17285375241,147.35995,1.0
2017-07-14,40.87137630309098,818.0,0,148.43772161642,148.50607,1.0
2017-07-17,40.87137630309098,818.0,0,148.9556202694,150.82768,1.0
2017-07-18,122310.20985481812,0,-1,149.47351892239,152.4682,-1.0
2017-07-19,27.10722364196363,813.0,1,150.40972033355,150.1574,1.0
2017-07-20,27.10722364196363,813.0,0,149.73246824888,151.12418,1.0
2017-07-21,121702.92388624258,0,-1,149.66275112251,151.39572,-1.0
2017-07-24,121702.92388624258,0,0,151.47539640795,150.96884,-1.0
2017-07-25,4.708106898593542,800.0,1,152.12276972418,150.42482,1.0
2017-07-26,4.708106898593542,800.0,0,152.83986016677,151.9401,1.0
2017-07-27,119965.97148085857,0,-1,149.95157921745,153.85468,-1.0
2017-07-28,119965.97148085857,0,0,148.89586273252,153.25647,-1.0
2017-07-31,119965.97148085857,0,0,148.24848941629,152.7273,-1.0
2017-08-01,119965.97148085857,0,0,149.44364015394,151.3361,-1.0
2017-08-02,83.14983365194223,766.0,1,156.50498909557,151.31248,1.0
2017-08-03,83.14983365194223,766.0,0,154.94133354715,151.62292,1.0
2017-08-04,119393.79306520958,0,-1,155.75801988454,156.8599,-1.0
2017-08-08,137.8279799002138,748.0,1,159.43310840282,156.09236,1.0
2017-08-09,137.8279799002138,748.0,0,160.40914817191,156.64342,1.0
2017-08-10,137.8279799002138,748.0,0,155.27,159.80858,1.0
2017-08-11,117932.86797990021,0,-1,157.48,160.8954,-1.0
2017-08-14,123.41797990021715,737.0,1,159.85,157.00822,1.0
2017-08-15,123.41797990021715,737.0,0,161.6,157.46637,1.0
2017-08-16,123.41797990021715,737.0,0,160.95,159.7294,1.0
2017-08-17,116473.60797990022,0,-1,157.87,160.63737,-1.0
2017-08-18,116473.60797990022,0,0,157.5,160.55595,-1.0
2017-08-21,116473.60797990022,0,0,157.21,159.34528,-1.0
2017-08-22,116473.60797990022,0,0,159.78,159.27802,-1.0
2017-08-23,8.167979900225646,728.0,1,159.98,158.48239,1.0
2017-08-24,8.167979900225646,728.0,0,159.27,160.0705,1.0
2017-08-25,8.167979900225646,728.0,0,159.86,160.79791,1.0
2017-08-28,8.167979900225646,728.0,0,161.47,162.16829,1.0
2017-08-29,8.167979900225646,728.0,0,162.91,163.9605,1.0
2017-08-30,8.167979900225646,728.0,0,163.35,165.73874,1.0
2017-08-31,119400.16797990023,0,-1,164.0,166.97063,-1.0
2017-09-01,135.81797990022216,727.0,1,164.05,163.16101,1.0
2017-09-05,135.81797990022216,727.0,0,162.08,165.22208,1.0
2017-09-06,117844.38797990022,0,-1,161.91,165.7254,-1.0
2017-09-07,117844.38797990022,0,0,161.26,162.1311,-1.0
2017-09-08,140.9279799002204,742.0,1,158.63,161.28812,1.0
2017-09-11,119973.92797990023,0,-1,161.5,165.01796,-1.0
2017-09-12,119973.92797990023,0,0,160.82,161.96324,-1.0
2017-09-13,119973.92797990023,0,0,159.65,161.91235,-1.0
2017-09-14,119973.92797990023,0,0,158.28,161.39346,-1.0
2017-09-15,63.92797990022859,750.0,1,159.88,160.82306,1.0
2017-09-18,63.92797990022859,750.0,0,158.67,162.18253,1.0
2017-09-19,119111.42797990021,0,-1,158.73,163.36726,-1.0
2017-09-20,119111.42797990021,0,0,156.07,163.18054,-1.0
2017-09-21,119111.42797990021,0,0,153.39,161.3624,-1.0
2017-09-22,119111.42797990021,0,0,151.89,159.79031,-1.0
2017-09-25,119111.42797990021,0,0,150.55,158.28596,-1.0
2017-09-26,119111.42797990021,0,0,153.14,157.17267,-1.0
2017-09-27,45.86797990021853,772.0,1,154.23,155.16899,1.0
2017-09-28,45.86797990021853,772.0,0,153.28,155.34297,1.0
2017-09-29,119026.50797990021,0,-1,154.12,156.28442,-1.0
2017-10-02,131.37797990021062,773.0,1,153.81,154.14413,1.0
2017-10-03,131.37797990021062,773.0,0,154.48,154.36752,1.0
2017-10-04,131.37797990021062,773.0,0,153.4508,155.3045,1.0
2017-10-05,120247.8479799002,0,-1,155.39,155.31921,-1.0
2017-10-06,45.64797990018553,774.0,1,155.3,154.93053,1.0
2017-10-09,120665.80797990019,0,-1,155.84,157.8241,-1.0
2017-10-10,120665.80797990019,0,0,155.9,156.04262,-1.0
2017-10-11,122.30797990017743,770.0,1,156.55,155.97733,1.0
2017-10-12,122.30797990017743,770.0,0,156.0,156.89418,1.0
2017-10-13,121004.60797990017,0,-1,156.99,157.90524,-1.0
2017-10-16,135.32797990017798,756.0,1,159.88,156.85185,1.0
2017-10-17,135.32797990017798,756.0,0,160.47,157.9163,1.0
2017-10-18,135.32797990017798,756.0,0,159.76,159.88196,1.0
2017-10-19,135.32797990017798,756.0,0,155.98,161.76999,1.0
2017-10-20,118192.28797990017,0,-1,156.16,163.17474,-1.0
2017-10-23,127.76797990017701,756.0,1,156.17,161.7612,1.0
2017-10-24,118895.36797990017,0,-1,157.1,161.98407,-1.0
2017-10-25,118895.36797990017,0,0,156.405,160.14124,-1.0
2017-10-26,50.81797990017188,755.0,1,157.41,159.69089,1.0
2017-10-27,123153.56797990018,0,-1,163.05,160.01526,-1.0
2017-10-30,114.20797990018178,738.0,1,166.72,159.62137,1.0
2017-10-31,114.20797990018178,738.0,0,169.04,163.44833,1.0
2017-11-01,114.20797990018178,738.0,0,166.89,166.51752,1.0
2017-11-02,124179.38797990019,0,-1,168.11,168.82562,-1.0
2017-11-03,151.88797990018793,719.0,1,172.5,167.14444,1.0
2017-11-06,151.88797990018793,719.0,0,174.25,167.83783,1.0
2017-11-07,151.88797990018793,719.0,0,174.81,170.86076,1.0
2017-11-09,151.88797990018793,719.0,0,175.88,172.77628,1.0
2017-11-10,151.88797990018793,719.0,0,174.67,173.47144,1.0
2017-11-13,125236.31797990018,0,-1,173.97,175.19632,-1.0
2017-11-14,125236.31797990018,0,0,171.34,174.52444,-1.0
2017-11-15,125236.31797990018,0,0,169.08,172.78564,-1.0
2017-11-16,125236.31797990018,0,0,171.1,171.46936,-1.0
2017-11-17,5.917979900176761,736.0,1,170.15,171.028,1.0
2017-11-20,5.917979900176761,736.0,0,169.98,175.16492,1.0
2017-11-21,5.917979900176761,736.0,0,173.14,175.66318,1.0
2017-11-22,5.917979900176761,736.0,0,174.96,175.66928,1.0
2017-11-24,5.917979900176761,736.0,0,174.97,177.65674,1.0
2017-11-27,5.917979900176761,736.0,0,174.09,179.9783,1.0
2017-11-28,127385.43797990016,0,-1,173.07,180.18839,-1.0
2017-11-29,127385.43797990016,0,0,169.48,176.69876,-1.0
2017-11-30,127385.43797990016,0,0,171.85,174.48534,-1.0
