,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,114.71537780152,112.29837,
2017-01-04,100000,0,0,114.58698349145,111.22983,0.0
2017-01-05,100000,0,0,115.16969612944,111.95984,0.0
2017-01-06,100000,0,0,116.45363923011,111.41961,0.0
2017-01-09,100000,0,0,117.5202996522,111.68375,0.0
2017-01-10,100000,0,0,117.63881747687,111.977875,0.0
2017-01-11,100000,0,0,118.27091254181,111.56723,0.0
2017-01-12,100000,0,0,117.77708827233,112.258545,0.0
2017-01-13,100000,0,0,117.56968207915,111.85546,0.0
2017-01-17,100000,0,0,118.51782467656,112.03501,0.0
2017-01-18,100000,0,0,118.50794819117,111.861404,0.0
2017-01-19,100000,0,0,118.30054199798,112.598816,0.0
2017-01-20,100000,0,0,118.51782467656,112.388725,0.0
2017-01-23,100000,0,0,118.59683655968,112.39934,0.0
2017-01-24,100000,0,0,118.48819522039,112.636185,0.0
2017-01-25,100000,0,0,120.37460392982,113.31196,0.0
2017-01-26,100000,0,0,120.43386284216,113.339325,0.0
2017-01-27,100000,0,0,120.44373932755,114.260605,0.0
2017-01-30,100000,0,0,120.12769179508,114.56073,0.0
2017-01-31,100000,0,0,119.85115020417,114.74558,0.0
2017-02-01,100000,0,0,127.15974939256,115.31818,0.0
2017-02-02,96.27869609774277,787.0,1,126.94246671398,115.1001,1.0
2017-02-03,96.27869609774277,787.0,0,127.48567341042,121.14781,0.0
2017-02-06,96.27869609774277,787.0,0,128.68072814257,120.03997,0.0
2017-02-07,96.27869609774277,787.0,0,129.9054123309,120.75912,0.0
2017-02-08,96.27869609774277,787.0,0,130.40911308577,120.74268,0.0
2017-02-09,96.27869609774277,787.0,0,131.34737919779,122.39079,0.0
2017-02-10,96.27869609774277,787.0,0,131.04980924039,122.71845,0.0
2017-02-13,96.27869609774277,787.0,0,132.21033207426,124.37648,0.0
2017-02-14,96.27869609774277,787.0,0,133.92631882862,124.522995,0.0
2017-02-15,96.27869609774277,787.0,0,134.41234975905,125.412125,0.0
2017-02-16,96.27869609774277,787.0,0,134.24868628248,126.80961,0.0
2017-02-17,96.27869609774277,787.0,0,134.62064872923,127.766174,0.0
2017-02-21,96.27869609774277,787.0,0,135.59271059008,128.19315,0.0
2017-02-22,96.27869609774277,787.0,0,135.99938953187,128.92183,0.0
2017-02-23,96.27869609774277,787.0,0,135.42408761422,130.01566,0.0
2017-02-24,96.27869609774277,787.0,0,135.55303459576,129.69067,0.0
2017-02-27,96.27869609774277,787.0,0,135.82084755742,129.92094,0.0
2017-02-28,96.27869609774277,787.0,0,135.8803615489,130.24258,0.0
2017-03-01,96.27869609774277,787.0,0,138.65768115133,130.54741,0.0
2017-03-02,96.27869609774277,787.0,0,137.83440426919,130.52084,0.0
2017-03-03,96.27869609774277,787.0,0,138.64776215275,128.91666,0.0
2017-03-06,96.27869609774277,787.0,0,138.21132621523,129.42323,0.0
2017-03-07,96.27869609774277,787.0,0,138.38986818967,129.85086,0.0
2017-03-08,96.27869609774277,787.0,0,137.87408026351,129.05405,0.0
2017-03-09,96.27869609774277,787.0,0,137.55667230894,128.58244,0.0
2017-03-10,96.27869609774277,787.0,0,138.01294624363,128.7329,0.0
