,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,82.90593487607471,871.0,0,0,114.71537780152,112.29837,
2017-01-04,82.90593487607471,871.0,0,0,114.58698349145,111.22983,1.0
2017-01-05,200708.51659236057,0,871.0,-1,115.16969612944,111.95984,-1.0
2017-01-06,58.89619888103249,852.0,0,1,116.45363923011,111.41961,1.0
2017-01-09,58.89619888103249,852.0,0,0,117.5202996522,111.68375,1.0
2017-01-10,200515.4411794675,0,852.0,-1,117.63881747687,111.977875,-1.0
2017-01-11,46.24442109954545,843.0,0,1,118.27091254181,111.56723,1.0
2017-01-12,198618.41524824794,0,843.0,-1,117.77708827233,112.258545,-1.0
2017-01-13,43.222216563597215,846.0,0,1,117.56968207915,111.85546,1.0
2017-01-17,200575.3815693031,0,846.0,-1,118.51782467656,112.03501,-1.0
2017-01-18,59.93322984346938,846.0,0,1,118.50794819117,111.861404,1.0
2017-01-19,200224.45029042565,0,846.0,-1,118.30054199798,112.598816,-1.0
2017-01-20,47.84441171581631,843.0,0,1,118.51782467656,112.388725,1.0
2017-01-23,47.84441171581631,843.0,0,0,118.59683655968,112.39934,1.0
2017-01-24,47.84441171581631,843.0,0,0,118.48819522039,112.636185,1.0
2017-01-25,47.84441171581631,843.0,0,0,120.37460392982,113.31196,1.0
2017-01-26,47.84441171581631,843.0,0,0,120.43386284216,113.339325,1.0
2017-01-27,47.84441171581631,843.0,0,0,120.44373932755,114.260605,1.0
2017-01-30,47.84441171581631,843.0,0,0,120.12769179508,114.56073,1.0
2017-01-31,47.84441171581631,843.0,0,0,119.85115020417,114.74558,1.0
2017-02-01,214439.181887572,0,843.0,-1,127.15974939256,115.31818,-1.0
2017-02-02,33.3556076597726,846.0,0,1,126.94246671398,115.1001,1.0
2017-02-03,215739.1150180904,0,846.0,-1,127.48567341042,121.14781,-1.0
2017-02-06,70.21465114309842,830.0,0,1,128.68072814257,120.03997,1.0
2017-02-07,215713.1991204371,0,830.0,-1,129.9054123309,120.75912,-1.0
2017-02-08,16.526076573499722,824.0,0,1,130.40911308577,120.74268,1.0
2017-02-09,16.526076573499722,824.0,0,0,131.34737919779,122.39079,1.0
2017-02-10,16.526076573499722,824.0,0,0,131.04980924039,122.71845,1.0
2017-02-13,16.526076573499722,824.0,0,0,132.21033207426,124.37648,1.0
2017-02-14,16.526076573499722,824.0,0,0,133.92631882862,124.522995,1.0
2017-02-15,16.526076573499722,824.0,0,0,134.41234975905,125.412125,1.0
2017-02-16,16.526076573499722,824.0,0,0,134.24868628248,126.80961,1.0
2017-02-17,16.526076573499722,824.0,0,0,134.62064872923,127.766174,1.0
2017-02-21,16.526076573499722,824.0,0,0,135.59271059008,128.19315,1.0
2017-02-22,16.526076573499722,824.0,0,0,135.99938953187,128.92183,1.0
2017-02-23,223195.42246480807,0,824.0,-1,135.42408761422,130.01566,-1.0
2017-02-24,75.12752018709881,822.0,0,1,135.55303459576,129.69067,1.0
