,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,82.90593487607471,871.0,0,0,114.71537780152,117.76692,
2017-01-04,82.90593487607471,871.0,0,0,114.58698349145,117.39555,1.0
2017-01-05,200708.51659236057,0,871.0,-1,115.16969612944,117.81519,-1.0
2017-01-06,200708.51659236057,0,871.0,0,116.45363923011,117.69765,-1.0
2017-01-09,101.36508605517173,836.0,0,1,117.5202996522,117.30215,1.0
2017-01-10,196793.46790738183,0,836.0,-1,117.63881747687,117.90156,-1.0
2017-01-11,108.94035035178901,827.0,0,1,118.27091254181,117.816216,1.0
2017-01-12,194912.24435278564,0,827.0,-1,117.77708827233,118.555336,-1.0
2017-01-13,194912.24435278564,0,827.0,0,117.56968207915,118.37986,-1.0
2017-01-17,194912.24435278564,0,827.0,0,118.51782467656,118.134796,-1.0
2017-01-18,85.17752650214884,817.0,0,1,118.50794819117,117.707466,1.0
2017-01-19,193388.26315120148,0,817.0,-1,118.30054199798,118.39204,-1.0
2017-01-20,193388.26315120148,0,817.0,0,118.51782467656,118.37327,-1.0
2017-01-23,75.41955892308279,813.0,0,1,118.59683655968,118.10885,1.0
2017-01-24,75.41955892308279,813.0,0,0,118.48819522039,118.47494,1.0
2017-01-25,75.41955892308279,813.0,0,0,120.37460392982,119.29788,1.0
2017-01-26,75.41955892308279,813.0,0,0,120.43386284216,119.33492,1.0
2017-01-27,75.41955892308279,813.0,0,0,120.44373932755,120.286125,1.0
2017-01-30,75.41955892308279,813.0,0,0,120.12769179508,121.18527,1.0
2017-01-31,75.41955892308279,813.0,0,0,119.85115020417,121.50803,1.0
2017-02-01,206837.17207122565,0,813.0,-1,127.15974939256,122.23487,-1.0
2017-02-02,47.893794152230384,816.0,0,1,126.94246671398,122.133095,1.0
2017-02-03,47.893794152230384,816.0,0,0,127.48567341042,127.00775,1.0
2017-02-06,210054.84212282643,0,816.0,-1,128.68072814257,127.853615,-1.0
2017-02-07,127.6957960920463,800.0,0,1,129.9054123309,127.2024,1.0
2017-02-08,127.6957960920463,800.0,0,0,130.40911308577,127.941895,1.0
2017-02-09,127.6957960920463,800.0,0,0,131.34737919779,128.99655,1.0
2017-02-10,127.6957960920463,800.0,0,0,131.04980924039,129.5306,1.0
2017-02-13,127.6957960920463,800.0,0,0,132.21033207426,130.78357,1.0
2017-02-14,127.6957960920463,800.0,0,0,133.92631882862,131.38039,1.0
2017-02-15,127.6957960920463,800.0,0,0,134.41234975905,131.84363,1.0
2017-02-16,127.6957960920463,800.0,0,0,134.24868628248,133.65234,1.0
2017-02-17,127.6957960920463,800.0,0,0,134.62064872923,134.83208,1.0
2017-02-21,127.6957960920463,800.0,0,0,135.59271059008,135.13782,1.0
2017-02-22,127.6957960920463,800.0,0,0,135.99938953187,135.93013,1.0
2017-02-23,216806.23597884405,0,800.0,-1,135.42408761422,137.34195,-1.0
2017-02-24,56.93366022378862,799.0,0,1,135.55303459576,137.13583,1.0
2017-02-27,56.93366022378862,799.0,0,0,135.82084755742,137.24425,1.0
2017-02-28,56.93366022378862,799.0,0,0,135.8803615489,138.01944,1.0
2017-03-01,56.93366022378862,799.0,0,0,138.65768115133,138.94885,1.0
2017-03-02,220316.3116823894,0,799.0,-1,137.83440426919,139.98863,-1.0
2017-03-03,5.017621669648577,790.0,0,1,138.64776215275,137.74614,1.0
2017-03-06,5.017621669648577,790.0,0,0,138.21132621523,138.18921,1.0
2017-03-07,218661.00936134823,0,790.0,-1,138.38986818967,139.13277,-1.0
2017-03-08,218661.00936134823,0,790.0,0,137.87408026351,138.6324,-1.0
2017-03-09,83.45706244258184,799.0,0,1,137.55667230894,138.37285,1.0
2017-03-10,220628.14515976334,0,799.0,-1,138.01294624363,138.53093,-1.0
2017-03-13,126.42616429269003,798.0,0,1,138.07246023511,138.08382,1.0
2017-03-14,126.42616429269003,798.0,0,0,137.86416126493,139.2009,1.0
2017-03-15,222484.74363798788,0,798.0,-1,139.3222540562,139.33278,-1.0
2017-03-16,41.42034646513548,796.0,0,1,139.55039102354,138.44473,1.0
2017-03-17,41.42034646513548,796.0,0,0,138.85606112294,139.59666,1.0
2017-03-20,223421.55337788747,0,796.0,-1,140.31415391421,140.66068,-1.0
2017-03-21,102.83878566105199,814.0,0,1,138.70727614424,140.42139,1.0
2017-03-22,228469.68883924198,0,814.0,-1,140.27447791989,141.02605,-1.0
2017-03-23,71.57410212769707,820.0,0,1,139.77852799089,140.5081,1.0
2017-03-24,71.57410212769707,820.0,0,0,139.50079603064,141.76898,1.0
2017-03-27,229243.2913765025,0,820.0,-1,139.73885199657,142.19281,-1.0
2017-03-28,28.525648292770796,787.0,0,1,142.63519958196,141.98286,1.0
2017-03-29,28.525648292770796,787.0,0,0,142.95260753652,142.33649,1.0
2017-03-30,28.525648292770796,787.0,0,0,142.7641465635,142.98816,1.0
2017-03-31,224317.75473758893,0,787.0,-1,142.49633360184,143.5532,-1.0
2017-04-03,108.61164282924994,786.0,0,1,142.53600959616,143.27518,1.0
2017-04-04,108.61164282924994,786.0,0,0,143.59734244423,143.55212,1.0
2017-04-05,108.61164282924994,786.0,0,0,142.85341755072,143.6783,1.0
2017-04-06,108.61164282924994,786.0,0,0,142.49633360184,144.74258,1.0
2017-04-07,223613.88276033767,0,786.0,-1,142.17892564727,144.9231,-1.0
2017-04-10,89.66635553834863,788.0,0,1,142.01030267141,144.46689,1.0
2017-04-11,89.66635553834863,788.0,0,0,140.48277689007,144.49812,1.0
2017-04-12,221756.2725442598,0,788.0,-1,140.65139986594,144.62042,-1.0
2017-04-13,221756.2725442598,0,788.0,0,139.90747497243,142.84987,-1.0
2017-04-17,42.769330252111786,788.0,0,1,140.68115686168,142.67302,1.0
2017-04-18,220771.43501323296,0,788.0,-1,140.05625995113,142.96602,-1.0
2017-04-19,18.408269746249005,794.0,0,1,139.54047202496,142.44852,1.0
2017-04-20,224380.91892054147,0,794.0,-1,141.28621577506,143.1351,-1.0
2017-04-21,3.946369813471847,796.0,0,1,141.1175927992,141.98578,1.0
2017-04-24,3.946369813471847,796.0,0,0,142.47649560468,143.2528,1.0
2017-04-25,3.946369813471847,796.0,0,0,143.36920547689,143.83504,1.0
2017-04-26,226843.58170185232,0,796.0,-1,142.48720812314,144.40356,-1.0
2017-04-27,226843.58170185232,0,796.0,0,142.62528058338,143.53879,-1.0
2017-04-28,5.209653462425763,796.0,0,1,142.48641460326,142.617,1.0
2017-05-01,5.209653462425763,796.0,0,0,145.41251918439,142.98038,1.0
2017-05-02,5.209653462425763,796.0,0,0,146.31514805518,143.1228,1.0
2017-05-03,5.209653462425763,796.0,0,0,145.86879311907,145.0358,1.0
2017-05-04,5.209653462425763,796.0,0,0,145.34308619433,145.52058,1.0
2017-05-05,5.209653462425763,796.0,0,0,147.75340284929,145.82455,1.0
2017-05-08,5.209653462425763,796.0,0,0,151.76067827566,146.01825,1.0
2017-05-09,5.209653462425763,796.0,0,0,152.71290213935,147.8053,1.0
2017-05-10,5.209653462425763,796.0,0,0,152.01857223874,151.0158,1.0
2017-05-11,244103.19469514792,0,796.0,-1,153.32788005131,153.22968,-1.0
2017-05-12,16.56358546022301,774.0,0,1,155.46919178961,152.96707,1.0
2017-05-15,16.56358546022301,774.0,0,0,155.07080821039,154.45526,1.0
2017-05-16,16.56358546022301,774.0,0,0,154.84173765234,156.07277,1.0
2017-05-17,16.56358546022301,774.0,0,0,149.64283194355,156.62466,1.0
2017-05-18,235194.2622281746,0,774.0,-1,151.92357793457,157.33594,-1.0
2017-05-19,130.74031926132852,769.0,0,1,152.34188069275,153.33167,1.0
2017-05-22,130.74031926132852,769.0,0,0,153.36771840924,154.45464,1.0
2017-05-23,130.74031926132852,769.0,0,0,153.17848620911,155.0295,1.0
2017-05-24,130.74031926132852,769.0,0,0,152.72034509301,155.03459,1.0
2017-05-25,235826.4770492142,0,769.0,-1,153.24820333547,155.87897,-1.0
2017-05-26,70.03662137602976,772.0,0,1,152.98925400898,155.80518,1.0
2017-05-30,236377.71044818388,0,772.0,-1,153.04901154586,156.47234,-1.0
2017-05-31,236377.71044818388,0,772.0,0,152.14268890314,155.11722,-1.0
2017-06-01,60.73436479919431,777.0,0,1,152.56099166132,154.71027,1.0
2017-06-02,60.73436479919431,777.0,0,0,154.82181847338,154.82938,1.0
2017-06-05,60.73436479919431,777.0,0,0,153.30796087235,155.6282,1.0
2017-06-06,239106.12006717757,0,777.0,-1,153.82585952534,156.08499,-1.0
2017-06-07,239106.12006717757,0,777.0,0,154.74214175754,153.26099,-1.0
2017-06-08,151.1475181081108,771.0,0,1,154.36367735728,153.14404,1.0
2017-06-09,229098.34609283833,0,772.0,-1,148.37796407954,155.19925,-1.0
2017-06-12,229098.34609283833,0,772.0,0,144.7327543297,154.46008,-1.0
2017-06-13,229098.34609283833,0,772.0,0,145.99762219371,149.6642,-1.0
2017-06-14,94.07907039049655,812.0,0,1,144.57340089801,147.11359,1.0
2017-06-15,94.07907039049655,812.0,0,0,143.70691661321,147.71727,1.0
2017-06-16,230206.88824037858,0,812.0,-1,141.69507953817,150.69592,-1.0
2017-06-19,230206.88824037858,0,812.0,0,145.7486324567,148.20981,-1.0
2017-06-20,139.44500048920142,781.0,0,1,144.4240070558,146.4451,1.0
2017-06-21,227067.63559573865,0,781.0,-1,145.28053175112,148.09793,-1.0
2017-06-22,77.68558612029938,784.0,0,1,145.04150160359,147.65933,1.0
2017-06-23,228627.15791453054,0,784.0,-1,145.75859204618,148.15837,-1.0
2017-06-26,33.9829074752663,790.0,0,1,145.23073380372,147.6533,1.0
2017-06-27,226225.42283050343,0,790.0,-1,143.15913919179,147.93887,-1.0
2017-06-28,226225.42283050343,0,790.0,0,145.2406933932,147.1679,-1.0
2017-06-29,128.39981574565041,790.0,0,1,143.09938165491,146.05186,1.0
2017-06-30,226760.45197738486,0,790.0,-1,143.43800769724,146.76996,-1.0
2017-07-03,89.15903318851622,796.0,0,1,142.92010904426,144.116,1.0
2017-07-05,228553.4569523597,0,796.0,-1,143.5077248236,144.218,-1.0
2017-07-06,228553.4569523597,0,796.0,0,142.15322065427,143.42398,-1.0
2017-07-07,228553.4569523597,0,796.0,0,143.59736112893,142.50851,-1.0
2017-07-10,140.37124228468988,785.0,0,1,144.47380500321,141.87695,1.0
2017-07-11,140.37124228468988,785.0,0,0,144.94190570879,145.72554,1.0
2017-07-12,228027.53087025628,0,785.0,-1,145.15105708788,148.62051,-1.0
2017-07-13,56.78040777319802,764.0,0,1,147.17285375241,147.35995,1.0
2017-07-14,56.78040777319802,764.0,0,0,148.43772161642,148.50607,1.0
2017-07-17,56.78040777319802,764.0,0,0,148.9556202694,150.82768,1.0
2017-07-18,228452.31732118514,0,764.0,-1,149.47351892239,152.4682,-1.0
2017-07-19,130.36185485622536,754.0,0,1,150.40972033355,150.1574,1.0
2017-07-20,130.36185485622536,754.0,0,0,149.73246824888,151.12418,1.0
2017-07-21,225821.7905476013,0,754.0,-1,149.66275112251,151.39572,-1.0
2017-07-24,225821.7905476013,0,754.0,0,151.47539640795,150.96884,-1.0
2017-07-25,71.60027691818732,730.0,0,1,152.12276972418,150.42482,1.0
2017-07-26,71.60027691818732,730.0,0,0,152.83986016677,151.9401,1.0
2017-07-27,219000.90593439515,0,730.0,-1,149.95157921745,153.85468,-1.0
2017-07-28,219000.90593439515,0,730.0,0,148.89586273252,153.25647,-1.0
2017-07-31,219000.90593439515,0,730.0,0,148.24848941629,152.7273,-1.0
2017-08-01,219000.90593439515,0,730.0,0,149.44364015394,151.3361,-1.0
2017-08-02,50.426189692701826,669.0,0,1,156.50498909557,151.31248,1.0
2017-08-03,50.426189692701826,669.0,0,0,154.94133354715,151.62292,1.0
2017-08-04,208454.65679520724,0,669.0,-1,155.75801988454,156.8599,-1.0
2017-08-08,75.58411272147731,638.0,0,1,159.43310840282,156.09236,1.0
2017-08-09,75.58411272147731,638.0,0,0,160.40914817191,156.64342,1.0
2017-08-10,75.58411272147731,638.0,0,0,155.27,159.80858,1.0
2017-08-11,201020.06411272148,0,638.0,-1,157.48,160.8954,-1.0
2017-08-14,88.61411272147731,619.0,0,1,159.85,157.00822,1.0
2017-08-15,88.61411272147731,619.0,0,0,161.6,157.46637,1.0
2017-08-16,88.61411272147731,619.0,0,0,160.95,159.7294,1.0
2017-08-17,195531.67411272146,0,619.0,-1,157.87,160.63737,-1.0
2017-08-18,195531.67411272146,0,619.0,0,157.5,160.55595,-1.0
2017-08-21,195531.67411272146,0,619.0,0,157.21,159.34528,-1.0
2017-08-22,195531.67411272146,0,619.0,0,159.78,159.27802,-1.0
2017-08-23,36.11411272147356,603.0,0,1,159.98,158.48239,1.0
2017-08-24,36.11411272147356,603.0,0,0,159.27,160.0705,1.0
2017-08-25,36.11411272147356,603.0,0,0,159.86,160.79791,1.0
2017-08-28,36.11411272147356,603.0,0,0,161.47,162.16829,1.0
2017-08-29,36.11411272147356,603.0,0,0,162.91,163.9605,1.0
2017-08-30,36.11411272147356,603.0,0,0,163.35,165.73874,1.0
2017-08-31,197820.11411272147,0,603.0,-1,164.0,166.97063,-1.0
2017-09-01,139.8641127214495,602.0,0,1,164.05,163.16101,1.0
2017-09-05,139.8641127214495,602.0,0,0,162.08,165.22208,1.0
2017-09-06,195079.50411272142,0,602.0,-1,161.91,165.7254,-1.0
2017-09-07,195079.50411272142,0,602.0,0,161.26,162.1311,-1.0
2017-09-08,123.23411272142891,627.0,0,1,158.63,161.28812,1.0
2017-09-11,202644.23411272143,0,627.0,-1,161.5,165.01796,-1.0
2017-09-12,202644.23411272143,0,627.0,0,160.82,161.96324,-1.0
2017-09-13,202644.23411272143,0,627.0,0,159.65,161.91235,-1.0
2017-09-14,202644.23411272143,0,627.0,0,158.28,161.39346,-1.0
2017-09-15,76.27411272143945,640.0,0,1,159.88,160.82306,1.0
2017-09-18,76.27411272143945,640.0,0,0,158.67,162.18253,1.0
2017-09-19,203250.67411272143,0,640.0,-1,158.73,163.36726,-1.0
2017-09-20,203250.67411272143,0,640.0,0,156.07,163.18054,-1.0
2017-09-21,203250.67411272143,0,640.0,0,153.39,161.3624,-1.0
2017-09-22,203250.67411272143,0,640.0,0,151.89,159.79031,-1.0
2017-09-25,203250.67411272143,0,640.0,0,150.55,158.28596,-1.0
2017-09-26,203250.67411272143,0,640.0,0,153.14,157.17267,-1.0
2017-09-27,129.76411272144347,677.0,0,1,154.23,155.16899,1.0
2017-09-28,129.76411272144347,677.0,0,0,153.28,155.34297,1.0
2017-09-29,208808.24411272147,0,677.0,-1,154.12,156.28442,-1.0
2017-10-02,88.07411272147283,680.0,0,1,153.81,154.14413,1.0
2017-10-03,88.07411272147283,680.0,0,0,154.48,154.36752,1.0
2017-10-04,88.07411272147283,680.0,0,0,153.4508,155.3045,1.0
2017-10-05,211418.47411272145,0,680.0,-1,155.39,155.31921,-1.0
2017-10-06,55.1741127214288,681.0,0,1,155.3,154.93053,1.0
2017-10-09,212309.25411272145,0,681.0,-1,155.84,157.8241,-1.0
2017-10-10,212309.25411272145,0,681.0,0,155.9,156.04262,-1.0
2017-10-11,27.454112721439344,675.0,0,1,156.55,155.97733,1.0
2017-10-12,27.454112721439344,675.0,0,0,156.0,156.89418,1.0
2017-10-13,211963.95411272143,0,675.0,-1,156.99,157.90524,-1.0
2017-10-16,122.95411272143542,650.0,0,1,159.88,156.85185,1.0
2017-10-17,122.95411272143542,650.0,0,0,160.47,157.9163,1.0
2017-10-18,122.95411272143542,650.0,0,0,159.76,159.88196,1.0
2017-10-19,122.95411272143542,650.0,0,0,155.98,161.76999,1.0
2017-10-20,203130.95411272143,0,650.0,-1,156.16,163.17474,-1.0
2017-10-23,109.95411272145515,650.0,0,1,156.17,161.7612,1.0
2017-10-24,204339.95411272146,0,650.0,-1,157.1,161.98407,-1.0
