,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,82.90593487607471,871.0,0,0,114.71537780152,118.77774,
2017-01-04,82.90593487607471,871.0,0,0,114.58698349145,117.78825,0.0
2017-01-05,82.90593487607471,871.0,0,0,115.16969612944,118.64058,0.0
2017-01-06,82.90593487607471,871.0,0,0,116.45363923011,118.06329,0.0
2017-01-09,82.90593487607471,871.0,0,0,117.5202996522,118.12428,0.0
2017-01-10,82.90593487607471,871.0,0,0,117.63881747687,118.83873,0.0
2017-01-11,82.90593487607471,871.0,0,0,118.27091254181,118.90457,0.0
2017-01-12,82.90593487607471,871.0,0,0,117.77708827233,119.86718,0.0
2017-01-13,82.90593487607471,871.0,0,0,117.56968207915,119.357925,0.0
2017-01-17,82.90593487607471,871.0,0,0,118.51782467656,119.25507,0.0
2017-01-18,82.90593487607471,871.0,0,0,118.50794819117,118.872734,0.0
2017-01-19,82.90593487607471,871.0,0,0,118.30054199798,119.789276,0.0
2017-01-20,82.90593487607471,871.0,0,0,118.51782467656,119.595535,0.0
2017-01-23,82.90593487607471,871.0,0,0,118.59683655968,119.39525,0.0
2017-01-24,82.90593487607471,871.0,0,0,118.48819522039,119.67035,0.0
2017-01-25,82.90593487607471,871.0,0,0,120.37460392982,120.49069,0.0
2017-01-26,82.90593487607471,871.0,0,0,120.43386284216,120.43892,0.0
2017-01-27,82.90593487607471,871.0,0,0,120.44373932755,121.54204,0.0
2017-01-30,82.90593487607471,871.0,0,0,120.12769179508,122.21687,0.0
2017-01-31,82.90593487607471,871.0,0,0,119.85115020417,122.513435,0.0
2017-02-01,82.90593487607471,871.0,0,0,127.15974939256,123.18439,0.0
2017-02-02,82.90593487607471,871.0,0,0,126.94246671398,122.950806,1.0
2017-02-03,82.90593487607471,871.0,0,0,127.48567341042,129.1387,0.0
2017-02-06,82.90593487607471,871.0,0,0,128.68072814257,128.37912,0.0
2017-02-07,82.90593487607471,871.0,0,0,129.9054123309,128.85516,0.0
2017-02-08,82.90593487607471,871.0,0,0,130.40911308577,129.10881,0.0
2017-02-09,82.90593487607471,871.0,0,0,131.34737919779,130.51929,0.0
2017-02-10,82.90593487607471,871.0,0,0,131.04980924039,130.73935,0.0
2017-02-13,82.90593487607471,871.0,0,0,132.21033207426,132.3836,0.0
2017-02-14,82.90593487607471,871.0,0,0,133.92631882862,132.666,0.0
2017-02-15,82.90593487607471,871.0,0,0,134.41234975905,133.35992,0.0
2017-02-16,82.90593487607471,871.0,0,0,134.24868628248,135.15527,0.0
2017-02-17,82.90593487607471,871.0,0,0,134.62064872923,136.03352,0.0
