,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,114.71537780152,118.77774,
2017-01-04,100000.0,0,0,1,114.58698349145,117.78825,1.0
2017-01-05,199967.2962403539,0,868.0,-1,115.16969612944,118.64058,-1.0
2017-01-06,98885.53738861842,0,0,1,116.45363923011,118.06329,1.0
2017-01-09,98885.53738861842,0,0,1,117.5202996522,118.12428,1.0
2017-01-10,98885.53738861842,0,0,1,117.63881747687,118.83873,1.0
2017-01-11,98885.53738861842,0,0,1,118.27091254181,118.90457,1.0
2017-01-12,197700.5144491033,0,839.0,-1,117.77708827233,119.86718,-1.0
2017-01-13,197700.5144491033,0,839.0,0,117.56968207915,119.357925,-1.0
2017-01-17,197700.5144491033,0,839.0,0,118.51782467656,119.25507,-1.0
2017-01-18,98272.34591671167,0,0,1,118.50794819117,118.872734,1.0
2017-01-19,196461.79577503508,0,830.0,-1,118.30054199798,119.789276,-1.0
2017-01-20,196461.79577503508,0,830.0,0,118.51782467656,119.595535,-1.0
2017-01-23,98026.42143050068,0,0,1,118.59683655968,119.39525,1.0
2017-01-24,98026.42143050068,0,0,1,118.48819522039,119.67035,1.0
2017-01-25,196011.34902937413,0,814.0,-1,120.37460392982,120.49069,-1.0
2017-01-26,97978.1846758559,0,0,1,120.43386284216,120.43892,1.0
2017-01-27,97978.1846758559,0,0,1,120.44373932755,121.54204,1.0
2017-01-30,97978.1846758559,0,0,1,120.12769179508,122.21687,1.0
2017-01-31,97978.1846758559,0,0,1,119.85115020417,122.513435,1.0
2017-02-01,195891.1917081271,0,770.0,-1,127.15974939256,123.18439,-1.0
2017-02-02,98145.4923383625,0,0,1,126.94246671398,122.950806,1.0
2017-02-03,196181.97519097547,0,769.0,-1,127.48567341042,129.1387,-1.0
2017-02-06,97226.49524933915,0,0,1,128.68072814257,128.37912,1.0
2017-02-07,97226.49524933915,0,0,1,129.9054123309,128.85516,1.0
2017-02-08,97226.49524933915,0,0,1,130.40911308577,129.10881,1.0
2017-02-09,97226.49524933915,0,0,1,131.34737919779,130.51929,1.0
2017-02-10,97226.49524933915,0,0,1,131.04980924039,130.73935,1.0
2017-02-13,97226.49524933915,0,0,1,132.21033207426,132.3836,1.0
2017-02-14,97226.49524933915,0,0,1,133.92631882862,132.666,1.0
2017-02-15,97226.49524933915,0,0,1,134.41234975905,133.35992,1.0
2017-02-16,97226.49524933915,0,0,1,134.24868628248,135.15527,1.0
2017-02-17,97226.49524933915,0,0,1,134.62064872923,136.03352,1.0
2017-02-21,97226.49524933915,0,0,1,135.59271059008,136.1671,1.0
2017-02-22,97226.49524933915,0,0,1,135.99938953187,136.89117,1.0
2017-02-23,194325.56606873492,0,717.0,-1,135.42408761422,138.26225,-1.0
2017-02-24,194325.56606873492,0,717.0,0,135.55303459576,137.57529,-1.0
2017-02-27,96942.01837006478,0,0,1,135.82084755742,137.55313,1.0
2017-02-28,96942.01837006478,0,0,1,135.8803615489,138.07317,1.0
2017-03-01,96942.01837006478,0,0,1,138.65768115133,139.25656,1.0
2017-03-02,193839.60457130533,0,703.0,-1,137.83440426919,140.29247,-1.0
2017-03-03,96370.22777792207,0,0,1,138.64776215275,137.65701,1.0
2017-03-06,96370.22777792207,0,0,1,138.21132621523,138.09518,1.0
2017-03-07,192689.57603793242,0,696.0,-1,138.38986818967,139.24445,-1.0
2017-03-08,192689.57603793242,0,696.0,0,137.87408026351,138.51,-1.0
2017-03-09,96950.13211091018,0,0,1,137.55667230894,138.37157,1.0
2017-03-10,193835.22037393844,0,702.0,-1,138.01294624363,138.37476,-1.0
2017-03-13,96908.35328889123,0,0,1,138.07246023511,138.03285,1.0
2017-03-14,193688.9944968721,0,702.0,-1,137.86416126493,139.24983,-1.0
2017-03-15,193688.9944968721,0,702.0,0,139.3222540562,138.99655,-1.0
2017-03-16,95724.61999834703,0,0,1,139.55039102354,137.95267,1.0
2017-03-17,95724.61999834703,0,0,1,138.85606112294,139.2642,1.0
2017-03-20,191418.87296783825,0,682.0,-1,140.31415391421,140.20538,-1.0
2017-03-21,96820.51063746656,0,0,1,138.70727614424,139.63483,1.0
2017-03-22,193609.90040219066,0,690.0,-1,140.27447791989,140.32077,-1.0
2017-03-23,97162.71608847655,0,0,1,139.77852799089,139.16707,1.0
2017-03-24,97162.71608847655,0,0,1,139.50079603064,141.16046,1.0
2017-03-27,194281.2182260927,0,695.0,-1,139.73885199657,141.37527,-1.0
2017-03-28,95149.75451663049,0,0,1,142.63519958196,141.1306,1.0
2017-03-29,95149.75451663049,0,0,1,142.95260753652,141.65207,1.0
2017-03-30,95149.75451663049,0,0,1,142.7641465635,142.10855,1.0
2017-03-31,190194.8090290578,0,667.0,-1,142.49633360184,143.17104,-1.0
2017-04-03,95123.29062841908,0,0,1,142.53600959616,142.64612,1.0
2017-04-04,95123.29062841908,0,0,1,143.59734244423,142.93256,1.0
2017-04-05,95123.29062841908,0,0,1,142.85341755072,143.09169,1.0
2017-04-06,190168.3451408464,0,667.0,-1,142.49633360184,144.62027,-1.0
2017-04-07,190168.3451408464,0,667.0,0,142.17892564727,144.42354,-1.0
2017-04-10,95447.47325901593,0,0,1,142.01030267141,143.81096,1.0
2017-04-11,95447.47325901593,0,0,1,140.48277689007,143.83264,1.0
2017-04-12,190809.12236812324,0,678.0,-1,140.65139986594,144.16396,-1.0
2017-04-13,95951.8543368157,0,0,1,139.90747497243,142.11508,1.0
2017-04-17,95951.8543368157,0,0,1,140.68115686168,142.29112,1.0
2017-04-18,191890.39240333973,0,685.0,-1,140.05625995113,142.7856,-1.0
2017-04-19,96305.16906624213,0,0,1,139.54047202496,142.19212,1.0
2017-04-20,192521.08200905798,0,681.0,-1,141.28621577506,142.94044,-1.0
2017-04-21,96420.00131280278,0,0,1,141.1175927992,141.34926,1.0
2017-04-24,96420.00131280278,0,0,1,142.47649560468,142.95453,1.0
2017-04-25,96420.00131280278,0,0,1,143.36920547689,143.164,1.0
2017-04-26,192741.35400404542,0,676.0,-1,142.48720812314,143.70316,-1.0
2017-04-27,192741.35400404542,0,676.0,0,142.62528058338,142.18224,-1.0
2017-04-28,96420.53773224168,0,0,1,142.48641460326,141.27644,1.0
2017-05-01,96420.53773224168,0,0,1,145.41251918439,141.94243,1.0
2017-05-02,96420.53773224168,0,0,1,146.31514805518,142.3277,1.0
2017-05-03,192839.80998394697,0,661.0,-1,145.86879311907,144.67175,-1.0
2017-05-04,96768.03000949483,0,0,1,145.34308619433,144.55746,1.0
2017-05-05,96768.03000949483,0,0,1,147.75340284929,144.88179,1.0
2017-05-08,96768.03000949483,0,0,1,151.76067827566,145.0385,1.0
2017-05-09,96768.03000949483,0,0,1,152.71290213935,147.28969,1.0
2017-05-10,96768.03000949483,0,0,1,152.01857223874,150.59372,1.0
2017-05-11,193517.92232187145,0,631.0,-1,153.32788005131,151.99849,-1.0
2017-05-12,95416.86230262755,0,0,1,155.46919178961,151.21954,1.0
2017-05-15,95416.86230262755,0,0,1,155.07080821039,153.3792,1.0
2017-05-16,95416.86230262755,0,0,1,154.84173765234,154.69698,1.0
2017-05-17,95416.86230262755,0,0,1,149.64283194355,155.21849,1.0
2017-05-18,190824.8692455375,0,628.0,-1,151.92357793457,156.07591,-1.0
2017-05-19,95154.16817049049,0,0,1,152.34188069275,151.53,1.0
2017-05-22,95154.16817049049,0,0,1,153.36771840924,154.68033,1.0
2017-05-23,190278.0081063478,0,621.0,-1,153.17848620911,155.65074,-1.0
2017-05-24,95438.67380358861,0,0,1,152.72034509301,155.12225,1.0
2017-05-25,190759.05627825094,0,622.0,-1,153.24820333547,155.85002,-1.0
2017-05-26,95599.74028466537,0,0,1,152.98925400898,155.53065,1.0
2017-05-30,191102.323489282,0,624.0,-1,153.04901154586,156.35606,-1.0
2017-05-31,191102.323489282,0,624.0,0,152.14268890314,154.09732,-1.0
2017-06-01,95904.26469261831,0,0,1,152.56099166132,153.57326,1.0
2017-06-02,95904.26469261831,0,0,1,154.82181847338,153.85168,1.0
2017-06-05,95904.26469261831,0,0,1,153.30796087235,154.92892,1.0
2017-06-06,191737.77517690515,0,623.0,-1,153.82585952534,155.24155,-1.0
2017-06-07,95333.42086195774,0,0,1,154.74214175754,151.54158,1.0
2017-06-08,95333.42086195774,0,0,1,154.36367735728,151.94733,1.0
2017-06-09,190592.07380102243,0,642.0,-1,148.37796407954,155.11473,-1.0
2017-06-12,190592.07380102243,0,642.0,0,144.7327543297,153.5621,-1.0
2017-06-13,190592.07380102243,0,642.0,0,145.99762219371,147.80138,-1.0
2017-06-14,97775.95042450001,0,0,1,144.57340089801,145.69675,1.0
2017-06-15,97775.95042450001,0,0,1,143.70691661321,148.92029,1.0
2017-06-16,195545.5553058373,0,690.0,-1,141.69507953817,150.8147,-1.0
2017-06-19,195545.5553058373,0,690.0,0,145.7486324567,146.59885,-1.0
2017-06-20,95892.9904373353,0,0,1,144.4240070558,143.81416,1.0
2017-06-21,191778.14139307453,0,660.0,-1,145.28053175112,145.95595,-1.0
2017-06-22,191778.14139307453,0,660.0,0,145.04150160359,144.90634,-1.0
2017-06-23,191778.14139307453,0,660.0,0,145.75859204618,144.66212,-1.0
2017-06-26,191778.14139307453,0,660.0,0,145.23073380372,143.44374,-1.0
2017-06-27,191778.14139307453,0,660.0,0,143.15913919179,143.37051,-1.0
2017-06-28,191778.14139307453,0,660.0,0,145.2406933932,142.5431,-1.0
2017-06-29,97332.54950083393,0,0,1,143.09938165491,141.51181,1.0
2017-06-30,194583.51871956268,0,678.0,-1,143.43800769724,142.55191,-1.0
2017-07-03,97683.6847875544,0,0,1,142.92010904426,139.31386,1.0
2017-07-05,195268.9376676024,0,680.0,-1,143.5077248236,140.42735,-1.0
2017-07-06,195268.9376676024,0,680.0,0,142.15322065427,140.24574,-1.0
2017-07-07,195268.9376676024,0,680.0,0,143.59736112893,138.94295,-1.0
2017-07-10,97026.75026541961,0,0,1,144.47380500321,137.04968,1.0
2017-07-11,97026.75026541961,0,0,1,144.94190570879,141.83755,1.0
2017-07-12,193987.65640012344,0,668.0,-1,145.15105708788,144.27393,-1.0
2017-07-13,95676.19009351356,0,0,1,147.17285375241,142.34218,1.0
2017-07-14,95676.19009351356,0,0,1,148.43772161642,143.19716,1.0
2017-07-17,95676.19009351356,0,0,1,148.9556202694,145.2435,1.0
2017-07-18,191339.24220384317,0,640.0,-1,149.47351892239,147.35844,-1.0
2017-07-19,95077.02119037116,0,0,1,150.40972033355,144.32857,1.0
2017-07-20,95077.02119037116,0,0,1,149.73246824888,146.36093,1.0
2017-07-21,190112.868153165,0,635.0,-1,149.66275112251,147.13855,-1.0
2017-07-24,93925.99143411676,0,0,1,151.47539640795,147.07364,1.0
2017-07-25,93925.99143411676,0,0,1,152.12276972418,147.19351,1.0
2017-07-26,93925.99143411676,0,0,1,152.83986016677,149.82343,1.0
2017-07-27,187795.68002424046,0,626.0,-1,149.95157921745,152.2078,-1.0
2017-07-28,187795.68002424046,0,626.0,0,148.89586273252,150.77136,-1.0
2017-07-31,187795.68002424046,0,626.0,0,148.24848941629,150.173,-1.0
2017-08-01,187795.68002424046,0,626.0,0,149.44364015394,148.63367,-1.0
2017-08-02,89823.55685041363,0,0,1,156.50498909557,148.54118,1.0
2017-08-03,89823.55685041363,0,0,1,154.94133354715,149.53555,1.0
2017-08-04,179540.1763039087,0,576.0,-1,155.75801988454,157.34573,-1.0
