,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,114.71537780152,112.29837,
2017-01-04,100000.0,0,0,1,114.58698349145,111.22983,1.0
2017-01-05,199967.2962403539,0,868.0,-1,115.16969612944,111.95984,-1.0
2017-01-06,98885.53738861842,0,0,1,116.45363923011,111.41961,1.0
2017-01-09,98885.53738861842,0,0,1,117.5202996522,111.68375,1.0
2017-01-10,197702.1440691892,0,840.0,-1,117.63881747687,111.977875,-1.0
2017-01-11,98354.5775340688,0,0,1,118.27091254181,111.56723,1.0
2017-01-12,196698.44624146435,0,835.0,-1,117.77708827233,112.258545,-1.0
2017-01-13,98527.7617053741,0,0,1,117.56968207915,111.85546,1.0
2017-01-17,197016.07401159545,0,831.0,-1,118.51782467656,112.03501,-1.0
2017-01-18,98535.96906473319,0,0,1,118.50794819117,111.861404,1.0
2017-01-19,196962.02000705255,0,832.0,-1,118.30054199798,112.598816,-1.0
2017-01-20,98355.18987615463,0,0,1,118.51782467656,112.388725,1.0
2017-01-23,98355.18987615463,0,0,1,118.59683655968,112.39934,1.0
2017-01-24,98355.18987615463,0,0,1,118.48819522039,112.636185,1.0
2017-01-25,98355.18987615463,0,0,1,120.37460392982,113.31196,1.0
2017-01-26,98355.18987615463,0,0,1,120.43386284216,113.339325,1.0
2017-01-27,98355.18987615463,0,0,1,120.44373932755,114.260605,1.0
2017-01-30,98355.18987615463,0,0,1,120.12769179508,114.56073,1.0
2017-01-31,98355.18987615463,0,0,1,119.85115020417,114.74558,1.0
2017-02-01,196649.6761566035,0,773.0,-1,127.15974939256,115.31818,-1.0
2017-02-02,98523.14938669695,0,0,1,126.94246671398,115.1001,1.0
2017-02-03,196942.0892595412,0,772.0,-1,127.48567341042,121.14781,-1.0
2017-02-06,97600.56713347715,0,0,1,128.68072814257,120.03997,1.0
2017-02-07,195159.53179398304,0,751.0,-1,129.9054123309,120.75912,-1.0
2017-02-08,97222.28786656976,0,0,1,130.40911308577,120.74268,1.0
2017-02-09,97222.28786656976,0,0,1,131.34737919779,122.39079,1.0
2017-02-10,97222.28786656976,0,0,1,131.04980924039,122.71845,1.0
2017-02-13,97222.28786656976,0,0,1,132.21033207426,124.37648,1.0
2017-02-14,97222.28786656976,0,0,1,133.92631882862,124.522995,1.0
2017-02-15,97222.28786656976,0,0,1,134.41234975905,125.412125,1.0
2017-02-16,97222.28786656976,0,0,1,134.24868628248,126.80961,1.0
2017-02-17,97222.28786656976,0,0,1,134.62064872923,127.766174,1.0
2017-02-21,97222.28786656976,0,0,1,135.59271059008,128.19315,1.0
2017-02-22,97222.28786656976,0,0,1,135.99938953187,128.92183,1.0
2017-02-23,194321.35868596553,0,717.0,-1,135.42408761422,130.01566,-1.0
2017-02-24,97129.83288080561,0,0,1,135.55303459576,129.69067,1.0
2017-02-27,97129.83288080561,0,0,1,135.82084755742,129.92094,1.0
2017-02-28,97129.83288080561,0,0,1,135.8803615489,130.24258,1.0
2017-03-01,194190.2096867366,0,700.0,-1,138.65768115133,130.54741,-1.0
2017-03-02,194190.2096867366,0,700.0,0,137.83440426919,130.52084,-1.0
2017-03-03,97136.7761798116,0,0,1,138.64776215275,128.91666,1.0
2017-03-06,97136.7761798116,0,0,1,138.21132621523,129.42323,1.0
2017-03-07,194148.07378077027,0,701.0,-1,138.38986818967,129.85086,-1.0
2017-03-08,194148.07378077027,0,701.0,0,137.87408026351,129.05405,-1.0
2017-03-09,97720.84649220333,0,0,1,137.55667230894,128.58244,1.0
2017-03-10,97720.84649220333,0,0,1,138.01294624363,128.7329,1.0
2017-03-13,195338.07587842608,0,707.0,-1,138.07246023511,128.84167,-1.0
2017-03-14,195338.07587842608,0,707.0,0,137.86416126493,128.75346,-1.0
2017-03-15,195338.07587842608,0,707.0,0,139.3222540562,128.6772,-1.0
2017-03-16,96675.9494247833,0,0,1,139.55039102354,128.26706,1.0
2017-03-17,96675.9494247833,0,0,1,138.85606112294,129.0557,1.0
2017-03-20,193212.0873177598,0,688.0,-1,140.31415391421,129.53014,-1.0
2017-03-21,97781.48133052269,0,0,1,138.70727614424,129.49008,1.0
2017-03-22,97781.48133052269,0,0,1,140.27447791989,130.32588,1.0
2017-03-23,97781.48133052269,0,0,1,139.77852799089,130.46442,1.0
2017-03-24,195432.03855197068,0,700.0,-1,139.50079603064,132.11278,-1.0
2017-03-27,97614.84215437168,0,0,1,139.73885199657,131.49127,1.0
