,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,114.71537780152,117.76692,
2017-01-04,100000,0,0,0,114.58698349145,117.39555,0.0
2017-01-05,100000,0,0,0,115.16969612944,117.81519,0.0
2017-01-06,100000,0,0,0,116.45363923011,117.69765,0.0
2017-01-09,100000,0,0,0,117.5202996522,117.30215,0.0
2017-01-10,100000,0,0,0,117.63881747687,117.90156,0.0
2017-01-11,100000,0,0,0,118.27091254181,117.816216,0.0
2017-01-12,100000,0,0,0,117.77708827233,118.555336,0.0
2017-01-13,100000,0,0,0,117.56968207915,118.37986,0.0
2017-01-17,100000,0,0,0,118.51782467656,118.134796,0.0
2017-01-18,100000,0,0,0,118.50794819117,117.707466,0.0
2017-01-19,100000,0,0,0,118.30054199798,118.39204,0.0
2017-01-20,100000,0,0,0,118.51782467656,118.37327,0.0
2017-01-23,100000,0,0,0,118.59683655968,118.10885,0.0
2017-01-24,100000,0,0,0,118.48819522039,118.47494,0.0
2017-01-25,100000,0,0,0,120.37460392982,119.29788,0.0
2017-01-26,100000,0,0,0,120.43386284216,119.33492,0.0
2017-01-27,100000,0,0,0,120.44373932755,120.286125,0.0
2017-01-30,100000,0,0,0,120.12769179508,121.18527,0.0
2017-01-31,100000,0,0,0,119.85115020417,121.50803,0.0
2017-02-01,100000,0,0,0,127.15974939256,122.23487,0.0
2017-02-02,100000.0,0,0,1,126.94246671398,122.133095,1.0
2017-02-03,100000.0,0,0,0,127.48567341042,127.00775,0.0
2017-02-06,100000.0,0,0,0,128.68072814257,127.853615,0.0
2017-02-07,100000.0,0,0,0,129.9054123309,127.2024,0.0
2017-02-08,100000.0,0,0,0,130.40911308577,127.941895,0.0
2017-02-09,100000.0,0,0,0,131.34737919779,128.99655,0.0
2017-02-10,100000.0,0,0,0,131.04980924039,129.5306,0.0
2017-02-13,100000.0,0,0,0,132.21033207426,130.78357,0.0
2017-02-14,100000.0,0,0,0,133.92631882862,131.38039,0.0
2017-02-15,100000.0,0,0,0,134.41234975905,131.84363,0.0
2017-02-16,100000.0,0,0,0,134.24868628248,133.65234,0.0
2017-02-17,100000.0,0,0,0,134.62064872923,134.83208,0.0
2017-02-21,100000.0,0,0,0,135.59271059008,135.13782,0.0
2017-02-22,100000.0,0,0,0,135.99938953187,135.93013,0.0
2017-02-23,100000.0,0,0,0,135.42408761422,137.34195,0.0
2017-02-24,100000.0,0,0,0,135.55303459576,137.13583,0.0
2017-02-27,100000.0,0,0,0,135.82084755742,137.24425,0.0
2017-02-28,100000.0,0,0,0,135.8803615489,138.01944,0.0
2017-03-01,100000.0,0,0,0,138.65768115133,138.94885,0.0
2017-03-02,100000.0,0,0,0,137.83440426919,139.98863,0.0
2017-03-03,100000.0,0,0,0,138.64776215275,137.74614,0.0
2017-03-06,100000.0,0,0,0,138.21132621523,138.18921,0.0
2017-03-07,100000.0,0,0,0,138.38986818967,139.13277,0.0
2017-03-08,100000.0,0,0,0,137.87408026351,138.6324,0.0
2017-03-09,100000.0,0,0,0,137.55667230894,138.37285,0.0
2017-03-10,100000.0,0,0,0,138.01294624363,138.53093,0.0
2017-03-13,100000.0,0,0,0,138.07246023511,138.08382,0.0
2017-03-14,100000.0,0,0,0,137.86416126493,139.2009,0.0
2017-03-15,100000.0,0,0,0,139.3222540562,139.33278,0.0
2017-03-16,100000.0,0,0,0,139.55039102354,138.44473,0.0
2017-03-17,100000.0,0,0,0,138.85606112294,139.59666,0.0
2017-03-20,100000.0,0,0,0,140.31415391421,140.66068,0.0
2017-03-21,100000.0,0,0,0,138.70727614424,140.42139,0.0
2017-03-22,100000.0,0,0,0,140.27447791989,141.02605,0.0
2017-03-23,100000.0,0,0,0,139.77852799089,140.5081,0.0
2017-03-24,100000.0,0,0,0,139.50079603064,141.76898,0.0
2017-03-27,100000.0,0,0,0,139.73885199657,142.19281,0.0
2017-03-28,100000.0,0,0,0,142.63519958196,141.98286,0.0
2017-03-29,100000.0,0,0,0,142.95260753652,142.33649,0.0
2017-03-30,100000.0,0,0,0,142.7641465635,142.98816,0.0
2017-03-31,100000.0,0,0,0,142.49633360184,143.5532,0.0
2017-04-03,100000.0,0,0,0,142.53600959616,143.27518,0.0
2017-04-04,100000.0,0,0,0,143.59734244423,143.55212,0.0
2017-04-05,100000.0,0,0,0,142.85341755072,143.6783,0.0
2017-04-06,100000.0,0,0,0,142.49633360184,144.74258,0.0
2017-04-07,100000.0,0,0,0,142.17892564727,144.9231,0.0
2017-04-10,100000.0,0,0,0,142.01030267141,144.46689,0.0
2017-04-11,100000.0,0,0,0,140.48277689007,144.49812,0.0
2017-04-12,100000.0,0,0,0,140.65139986594,144.62042,0.0
2017-04-13,100000.0,0,0,0,139.90747497243,142.84987,0.0
2017-04-17,100000.0,0,0,0,140.68115686168,142.67302,0.0
2017-04-18,100000.0,0,0,0,140.05625995113,142.96602,0.0
2017-04-19,100000.0,0,0,0,139.54047202496,142.44852,0.0
2017-04-20,100000.0,0,0,0,141.28621577506,143.1351,0.0
2017-04-21,100000.0,0,0,0,141.1175927992,141.98578,0.0
2017-04-24,100000.0,0,0,0,142.47649560468,143.2528,0.0
2017-04-25,100000.0,0,0,0,143.36920547689,143.83504,0.0
2017-04-26,100000.0,0,0,0,142.48720812314,144.40356,0.0
2017-04-27,100000.0,0,0,0,142.62528058338,143.53879,0.0
2017-04-28,100000.0,0,0,0,142.48641460326,142.617,0.0
2017-05-01,100000.0,0,0,0,145.41251918439,142.98038,0.0
2017-05-02,100000.0,0,0,0,146.31514805518,143.1228,0.0
2017-05-03,100000.0,0,0,0,145.86879311907,145.0358,0.0
2017-05-04,100000.0,0,0,0,145.34308619433,145.52058,0.0
2017-05-05,100000.0,0,0,0,147.75340284929,145.82455,0.0
2017-05-08,100000.0,0,0,0,151.76067827566,146.01825,0.0
2017-05-09,100000.0,0,0,0,152.71290213935,147.8053,0.0
2017-05-10,100000.0,0,0,0,152.01857223874,151.0158,0.0
2017-05-11,100000.0,0,0,0,153.32788005131,153.22968,0.0
2017-05-12,100000.0,0,0,0,155.46919178961,152.96707,0.0
