,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,36.42042349180983,36.590935,
2017-01-04,29.5954614462527,2692.0,1,37.13610866959649,36.080357,1.0
2017-01-05,29.5954614462527,2692.0,0,37.71263284059129,36.121197,1.0
2017-01-06,101471.72704754294,0,-1,37.68281262485018,36.519794,-1.0
2017-01-09,29.4165401518013,2707.0,1,37.47407111466241,36.4755,1.0
2017-01-10,29.4165401518013,2707.0,0,38.149996004794254,36.71724,1.0
2017-01-11,29.4165401518013,2707.0,0,38.965081901717944,37.126503,1.0
2017-01-12,29.4165401518013,2707.0,0,38.89550139832202,37.16277,1.0
2017-01-13,29.4165401518013,2707.0,0,38.71658010387536,37.912663,1.0
2017-01-17,104835.1988813424,0,-1,38.71658010387536,38.22671,-1.0
2017-01-18,29.227678785453534,2698.0,1,38.8458010387535,37.968517,1.0
2017-01-19,29.227678785453534,2698.0,0,38.62711945665202,38.2227,1.0
2017-01-20,104540.19742708749,0,-1,38.73646024770276,38.451153,-1.0
2017-01-23,21.961486216531924,2729.0,1,38.2990970834998,38.3181,1.0
2017-01-24,21.961486216531924,2729.0,0,38.86568118258091,38.582714,1.0
2017-01-25,21.961486216531924,2729.0,0,39.32292449061127,38.62038,1.0
2017-01-26,21.961486216531924,2729.0,0,39.23346384338794,38.897305,1.0
2017-01-27,21.961486216531924,2729.0,0,39.37262485017979,39.222626,1.0
2017-01-30,21.961486216531924,2729.0,0,39.37262485017979,39.25648,1.0
2017-01-31,21.961486216531924,2729.0,0,39.969029165002,39.57279,1.0
2017-02-01,21.961486216531924,2729.0,0,40.227471034758295,40.017048,1.0
2017-02-02,109802.72994007192,0,-1,40.227471034758295,40.103695,-1.0
2017-02-03,109802.72994007192,0,0,39.770227726727924,39.945835,-1.0
2017-02-06,109802.72994007192,0,0,39.94914902117459,39.79195,-1.0
2017-02-07,6.782996404325701,2758.0,1,39.80998801438274,39.575695,1.0
2017-02-08,107445.0641630044,0,-1,38.955141829804234,39.843422,-1.0
2017-02-09,107445.0641630044,0,0,39.49190571314423,39.555336,-1.0
2017-02-10,30.42048741510075,2288.0,1,46.946959648421895,38.708317,1.0
2017-02-13,30.42048741510075,2288.0,0,45.426128645625255,39.088036,1.0
2017-02-14,102327.91514182981,0,-1,44.710443467838594,43.592545,-1.0
2017-02-15,23.462437075514913,2263.0,1,45.20744706352377,43.50043,1.0
2017-02-16,23.462437075514913,2263.0,0,45.11798641630045,43.57731,1.0
2017-02-17,23.462437075514913,2263.0,0,45.05834598481822,44.197895,1.0
2017-02-21,23.462437075514913,2263.0,0,45.06828605673193,44.28349,1.0
2017-02-22,101765.55557331203,0,-1,44.95894526568118,44.74847,-1.0
2017-02-23,2.399424690368285,2271.0,1,44.80984418697563,44.71999,1.0
2017-02-24,2.399424690368285,2271.0,0,45.2770275669197,44.733776,1.0
2017-02-27,2.399424690368285,2271.0,0,45.416188573711544,44.991596,1.0
2017-02-28,2.399424690368285,2271.0,0,44.85954454654415,45.42322,1.0
2017-03-01,106415.77965641233,0,-1,46.85749900119857,45.692974,-1.0
2017-03-02,19.993351977649347,2293.0,1,46.4002556931682,45.30286,1.0
2017-03-03,107304.69046743911,0,-1,46.78791849780264,46.42078,-1.0
2017-03-06,44.18748701561082,2257.0,1,47.523483819416704,46.360096,1.0
2017-03-07,44.18748701561082,2257.0,0,47.7719856172593,46.97084,1.0
2017-03-08,44.18748701561082,2257.0,0,48.288869356771876,47.485905,1.0
2017-03-09,44.18748701561082,2257.0,0,48.72623252097484,48.06386,1.0
2017-03-10,44.18748701561082,2257.0,0,48.9051538154215,48.98938,1.0
2017-03-13,111096.1619176988,0,-1,49.203355972832604,49.050705,-1.0
2017-03-14,10.729204954088402,2277.0,1,48.785872952457055,45.57967,1.0
2017-03-15,10.729204954088402,2277.0,0,48.92503395924891,47.71381,1.0
2017-03-16,111141.4290051938,0,-1,48.80575309628446,47.737907,-1.0
2017-03-17,40.499720335620836,2275.0,1,48.83557331202557,47.666203,1.0
2017-03-20,40.499720335620836,2275.0,0,48.66659208949261,48.018772,1.0
2017-03-21,40.499720335620836,2275.0,0,47.93102676787855,48.279453,1.0
2017-03-22,110123.8141430284,0,-1,48.38827007590891,48.48118,-1.0
2017-03-23,8.313767479047819,2271.0,1,48.48767079504595,48.24798,1.0
2017-03-24,110891.3268557731,0,-1,48.82563324011187,48.640503,-1.0
2017-03-27,43.02449860171224,2262.0,1,49.00455453455853,48.621082,1.0
2017-03-28,43.02449860171224,2262.0,0,49.76,48.962322,1.0
2017-03-29,113459.70449860171,0,-1,50.14,49.53297,-1.0
2017-03-30,30.304498601718706,2260.0,1,50.19,48.89326,1.0
2017-03-31,112713.90449860173,0,-1,49.86,49.7879,-1.0
2017-04-03,112713.90449860173,0,0,49.53,49.7202,-1.0
2017-04-04,112713.90449860173,0,0,49.04,49.45496,-1.0
2017-04-05,112713.90449860173,0,0,49.2,49.330685,-1.0
2017-04-06,25.024498601726506,2283.0,1,49.36,48.919888,1.0
2017-04-07,25.024498601726506,2283.0,0,49.61,49.04327,1.0
2017-04-10,111983.34449860171,0,-1,49.04,49.081844,-1.0
2017-04-11,31.864498601716875,2281.0,1,49.08,47.95608,1.0
2017-04-12,31.864498601716875,2281.0,0,48.64,48.242832,1.0
2017-04-13,110477.88449860172,0,-1,48.42,48.295986,-1.0
2017-04-17,110477.88449860172,0,0,48.8,48.08771,-1.0
2017-04-18,42.064498601717304,2246.0,1,49.17,47.944584,1.0
2017-04-19,42.064498601717304,2246.0,0,49.35,48.26418,1.0
2017-04-20,112229.76449860173,0,-1,49.95,48.904606,-1.0
2017-04-21,22.264498601731546,2250.0,1,49.87,48.793644,1.0
2017-04-24,114502.26449860173,0,-1,50.88,49.28678,-1.0
2017-04-25,20.824498601727058,2229.0,1,51.36,49.104614,1.0
2017-04-26,20.824498601727058,2229.0,0,51.36,49.686657,1.0
