,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,25.937514982022236,2745.0,0,0,36.42042349180983,37.177994,
2017-01-04,203903.17411106674,0,2745.0,-1,37.13610866959649,37.07944,-1.0
2017-01-05,28.680974830220684,2661.0,0,1,37.71263284059129,37.00697,1.0
2017-01-06,200576.60976428288,0,2661.0,-1,37.68281262485018,37.365692,-1.0
2017-01-09,15.381158609676149,2691.0,0,1,37.47407111466241,36.95178,1.0
2017-01-10,205338.65965641235,0,2691.0,-1,38.149996004794254,37.80909,-1.0
2017-01-11,31.6431162604904,2578.0,0,1,38.965081901717944,36.929703,1.0
2017-01-12,31.6431162604904,2578.0,0,0,38.89550139832202,38.208214,1.0
2017-01-13,31.6431162604904,2578.0,0,0,38.71658010387536,38.72546,1.0
2017-01-17,199654.33013184182,0,2578.0,-1,38.71658010387536,38.842083,-1.0
2017-01-18,25.758593687588935,2561.0,0,1,38.8458010387535,38.176605,1.0
2017-01-19,197873.86445065922,0,2561.0,-1,38.62711945665202,39.124565,-1.0
2017-01-20,8.025505393535873,2547.0,0,1,38.73646024770276,38.841938,1.0
2017-01-23,8.025505393535873,2547.0,0,0,38.2990970834998,39.08091,1.0
2017-01-24,197989.8054494607,0,2547.0,-1,38.86568118258091,39.90447,-1.0
2017-01-25,38.203563723550914,2487.0,0,1,39.32292449061127,39.78873,1.0
2017-01-26,195185.45272073516,0,2487.0,-1,39.23346384338794,39.84813,-1.0
2017-01-27,195185.45272073516,0,2487.0,0,39.37262485017979,39.567924,-1.0
2017-01-30,15.351338393952744,2470.0,0,1,39.37262485017979,39.510468,1.0
2017-01-31,15.351338393952744,2470.0,0,0,39.969029165002,40.142643,1.0
2017-02-01,15.351338393952744,2470.0,0,0,40.227471034758295,40.55192,1.0
2017-02-02,15.351338393952744,2470.0,0,0,40.227471034758295,40.557156,1.0
2017-02-03,15.351338393952744,2470.0,0,0,39.770227726727924,40.577312,1.0
2017-02-06,197364.14750299643,0,2470.0,-1,39.94914902117459,40.65622,-1.0
2017-02-07,26.036915701201124,2487.0,0,1,39.80998801438274,40.51738,1.0
2017-02-08,193788.91237714747,0,2487.0,-1,38.955141829804234,40.530468,-1.0
2017-02-09,193788.91237714747,0,2487.0,0,39.49190571314423,40.123074,-1.0
2017-02-10,38.809908110312904,1640.0,0,1,46.946959648421895,39.11333,1.0
2017-02-13,38.809908110312904,1640.0,0,0,45.426128645625255,39.41411,1.0
2017-02-14,146689.06448262092,0,1640.0,-1,44.710443467838594,41.22384,-1.0
2017-02-15,36.106208549803796,1604.0,0,1,45.20744706352377,41.20804,1.0
2017-02-16,36.106208549803796,1604.0,0,0,45.11798641630045,42.003483,1.0
2017-02-17,144583.28012784664,0,1604.0,-1,45.05834598481822,43.205788,-1.0
2017-02-21,4.218457850604494,1604.0,0,1,45.06828605673193,42.98336,1.0
2017-02-22,144232.51487015584,0,1604.0,-1,44.95894526568118,43.752792,-1.0
2017-02-23,34.43627646825952,1614.0,0,1,44.80984418697563,43.57475,1.0
2017-02-24,34.43627646825952,1614.0,0,0,45.2770275669197,44.10229,1.0
2017-02-27,34.43627646825952,1614.0,0,0,45.416188573711544,44.172577,1.0
2017-02-28,144841.04607271275,0,1614.0,-1,44.85954454654415,44.68482,-1.0
2017-03-01,4.516660007979077,1477.0,0,1,46.85749900119857,44.596737,1.0
2017-03-02,4.516660007979077,1477.0,0,0,46.4002556931682,45.246555,1.0
2017-03-03,4.516660007979077,1477.0,0,0,46.78791849780264,45.601692,1.0
2017-03-06,4.516660007979077,1477.0,0,0,47.523483819416704,45.907265,1.0
2017-03-07,4.516660007979077,1477.0,0,0,47.7719856172593,45.945656,1.0
2017-03-08,4.516660007979077,1477.0,0,0,48.288869356771876,46.152493,1.0
2017-03-09,143941.80752696766,0,1477.0,-1,48.72623252097484,46.804012,-1.0
2017-03-10,143941.80752696766,0,1477.0,0,48.9051538154215,46.366684,-1.0
2017-03-13,143941.80752696766,0,1477.0,0,49.203355972832604,45.548508,-1.0
2017-03-14,23.482317219356275,1473.0,0,1,48.785872952457055,44.41694,1.0
2017-03-15,144156.63236116664,0,1473.0,-1,48.92503395924891,47.900177,-1.0
2017-03-16,144156.63236116664,0,1473.0,0,48.80575309628446,47.859035,-1.0
2017-03-17,42.85551737917419,1478.0,0,1,48.83557331202557,47.184845,1.0
2017-03-20,143901.3017339193,0,1478.0,-1,48.66659208949261,48.37748,-1.0
2017-03-21,12.35937674789426,1524.0,0,1,47.93102676787855,47.944756,1.0
2017-03-22,147499.80656811825,0,1524.0,-1,48.38827007590891,49.11711,-1.0
2017-03-23,0.31200958846621063,1518.0,0,1,48.48767079504595,48.505783,1.0
2017-03-24,148234.9345265681,0,1518.0,-1,48.82563324011187,49.32631,-1.0
2017-03-27,45.16161406310705,1506.0,0,1,49.00455453455853,48.86732,1.0
2017-03-28,149922.2816140631,0,1506.0,-1,49.76,49.706604,-1.0
2017-03-29,149922.2816140631,0,1506.0,0,50.14,49.57902,-1.0
2017-03-30,4.751614063107866,1481.0,0,1,50.19,49.248188,1.0
2017-03-31,4.751614063107866,1481.0,0,0,49.86,49.461746,1.0
2017-04-03,146712.61161406312,0,1481.0,-1,49.53,49.87245,-1.0
2017-04-04,33.97161406311626,1510.0,0,1,49.04,49.13957,1.0
2017-04-05,148617.97161406314,0,1510.0,-1,49.2,50.124573,-1.0
2017-04-06,44.37161406313038,1500.0,0,1,49.36,48.745983,1.0
2017-04-07,148874.37161406313,0,1500.0,-1,49.61,50.15816,-1.0
2017-04-10,148874.37161406313,0,1500.0,0,49.04,49.949554,-1.0
2017-04-11,148874.37161406313,0,1500.0,0,49.08,49.35896,-1.0
2017-04-12,35.97161406312864,1560.0,0,1,48.64,49.18199,1.0
2017-04-13,151106.37161406313,0,1560.0,-1,48.42,49.2395,-1.0
2017-04-17,151106.37161406313,0,1560.0,0,48.8,49.093086,-1.0
2017-04-18,6.961614063129858,1513.0,0,1,49.17,49.000443,1.0
2017-04-19,6.961614063129858,1513.0,0,0,49.35,49.16993,1.0
2017-04-20,151155.66161406314,0,1513.0,-1,49.95,49.772564,-1.0
2017-04-21,49.561614063143885,1517.0,0,1,49.87,49.770866,1.0
2017-04-24,49.561614063143885,1517.0,0,0,50.88,50.096367,1.0
2017-04-25,49.561614063143885,1517.0,0,0,51.36,50.220577,1.0
2017-04-26,155875.80161406315,0,1517.0,-1,51.36,50.911537,-1.0
2017-04-27,41.98161406315555,1485.0,0,1,51.91,50.660683,1.0
2017-04-28,41.98161406315555,1485.0,0,0,52.25,50.84693,1.0
2017-05-01,41.98161406315555,1485.0,0,0,52.7,51.190166,1.0
2017-05-02,41.98161406315555,1485.0,0,0,53.04,51.71953,1.0
2017-05-03,41.98161406315555,1485.0,0,0,52.84,52.06667,1.0
2017-05-04,41.98161406315555,1485.0,0,0,53.1,52.261738,1.0
2017-05-05,41.98161406315555,1485.0,0,0,53.83,52.610226,1.0
2017-05-08,41.98161406315555,1485.0,0,0,53.99,52.927834,1.0
2017-05-09,41.98161406315555,1485.0,0,0,54.62,53.23441,1.0
2017-05-10,41.98161406315555,1485.0,0,0,55.99,53.557343,1.0
2017-05-11,41.98161406315555,1485.0,0,0,55.75,53.900898,1.0
2017-05-12,41.98161406315555,1485.0,0,0,56.01,54.32247,1.0
2017-05-15,41.98161406315555,1485.0,0,0,56.41,54.582256,1.0
2017-05-16,41.98161406315555,1485.0,0,0,56.78,54.926605,1.0
2017-05-17,41.98161406315555,1485.0,0,0,54.25,55.53127,1.0
2017-05-18,41.98161406315555,1485.0,0,0,55.15,55.738544,1.0
2017-05-19,41.98161406315555,1485.0,0,0,55.88,55.793243,1.0
2017-05-22,41.98161406315555,1485.0,0,0,57.12,56.112354,1.0
2017-05-23,171707.98161406314,0,1485.0,-1,57.8,56.469357,-1.0
2017-05-24,39.641614063156275,1449.0,0,1,58.51,56.18566,1.0
2017-05-25,171659.20161406317,0,1449.0,-1,59.22,56.616817,-1.0
2017-05-26,24.601614063172065,1496.0,0,1,58.28,56.527363,1.0
2017-05-30,175295.96161406316,0,1496.0,-1,58.58,57.170002,-1.0
2017-05-31,24.601614063164675,1496.0,0,1,58.58,56.990063,1.0
2017-06-01,178228.1216140632,0,1496.0,-1,59.56,57.7155,-1.0
2017-06-02,53.571614063195675,1491.0,0,1,59.65,57.39969,1.0
2017-06-05,178377.1716140632,0,1491.0,-1,59.8,57.816338,-1.0
2017-06-06,24.17161406319726,1489.0,0,1,59.85,57.815376,1.0
2017-06-07,180312.2916140632,0,1489.0,-1,60.54,58.33941,-1.0
2017-06-08,24.17161406320414,1489.0,0,1,60.54,58.16212,1.0
2017-06-09,24.17161406320414,1489.0,0,0,58.03,59.18004,1.0
2017-06-12,169055.4516140632,0,1489.0,-1,56.76,59.77563,-1.0
2017-06-13,169055.4516140632,0,1489.0,0,57.9,59.625706,-1.0
2017-06-14,18.051614063197135,1403.0,0,1,58.45,59.127167,1.0
2017-06-15,18.051614063197135,1403.0,0,0,58.91,59.344776,1.0
