,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,36.42042349180983,37.52286,
2017-01-04,199970.40453855373,0,2692.0,-1,37.13610866959649,37.375565,-1.0
2017-01-05,98447.99693168198,0,0,1,37.71263284059129,37.23264,1.0
2017-01-06,98447.99693168198,0,0,1,37.68281262485018,37.370087,1.0
2017-01-09,98447.99693168198,0,0,1,37.47407111466241,37.38243,1.0
2017-01-10,98447.99693168198,0,0,1,38.149996004794254,37.476913,1.0
2017-01-11,98447.99693168198,0,0,1,38.965081901717944,37.62738,1.0
2017-01-12,98447.99693168198,0,0,1,38.89550139832202,37.85352,1.0
2017-01-13,98447.99693168198,0,0,1,38.71658010387536,38.246033,1.0
2017-01-17,196865.54355573314,0,2542.0,-1,38.71658010387536,38.608383,-1.0
2017-01-18,98119.51731522175,0,0,1,38.8458010387535,38.554493,1.0
2017-01-19,98119.51731522175,0,0,1,38.62711945665202,38.82778,1.0
2017-01-20,196238.97112265282,0,2533.0,-1,38.73646024770276,38.980778,-1.0
2017-01-23,99227.35821014781,0,0,1,38.2990970834998,38.95401,1.0
2017-01-24,99227.35821014781,0,0,1,38.86568118258091,38.993572,1.0
2017-01-25,99227.35821014781,0,0,1,39.32292449061127,39.07462,1.0
2017-01-26,99227.35821014781,0,0,1,39.23346384338794,39.43026,1.0
2017-01-27,99227.35821014781,0,0,1,39.37262485017979,39.77354,1.0
2017-01-30,99227.35821014781,0,0,1,39.37262485017979,39.91388,1.0
2017-01-31,99227.35821014781,0,0,1,39.969029165002,39.977776,1.0
2017-02-01,99227.35821014781,0,0,1,40.227471034758295,40.223404,1.0
2017-02-02,198428.30178186175,0,2466.0,-1,40.227471034758295,40.402702,-1.0
2017-02-03,198428.30178186175,0,2466.0,0,39.770227726727924,40.323124,-1.0
2017-02-06,198428.30178186175,0,2466.0,0,39.94914902117459,40.11746,-1.0
2017-02-07,100256.87133839392,0,0,1,39.80998801438274,39.997406,1.0
2017-02-08,200488.4512664802,0,2573.0,-1,38.955141829804234,40.318027,-1.0
2017-02-09,200488.4512664802,0,2573.0,0,39.49190571314423,40.126247,-1.0
2017-02-10,79693.92409109067,0,0,1,46.946959648421895,39.391483,1.0
2017-02-13,79693.92409109067,0,0,1,45.426128645625255,39.41564,1.0
2017-02-14,79693.92409109067,0,0,1,44.710443467838594,43.090755,1.0
2017-02-15,159349.44581701956,0,1762.0,-1,45.20744706352377,43.54648,-1.0
2017-02-16,79851.55375149817,0,0,1,45.11798641630045,43.425488,1.0
2017-02-17,79851.55375149817,0,0,1,45.05834598481822,43.50044,1.0
2017-02-21,79851.55375149817,0,0,1,45.06828605673193,44.089092,1.0
2017-02-22,79851.55375149817,0,0,1,44.95894526568118,44.812386,1.0
2017-02-23,79851.55375149817,0,0,1,44.80984418697563,44.855762,1.0
2017-02-24,79851.55375149817,0,0,1,45.2770275669197,44.879772,1.0
2017-02-27,79851.55375149817,0,0,1,45.416188573711544,45.009575,1.0
2017-02-28,79851.55375149817,0,0,1,44.85954454654415,45.696,1.0
2017-03-01,159696.73204954053,0,1704.0,-1,46.85749900119857,46.078556,-1.0
2017-03-02,80630.69634838191,0,0,1,46.4002556931682,45.765984,1.0
2017-03-03,80630.69634838191,0,0,1,46.78791849780264,46.5353,1.0
2017-03-06,80630.69634838191,0,0,1,47.523483819416704,46.666744,1.0
2017-03-07,80630.69634838191,0,0,1,47.7719856172593,47.370285,1.0
2017-03-08,80630.69634838191,0,0,1,48.288869356771876,47.80126,1.0
