,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,14.875724937862,15.235204,
2017-01-04,0.3211657496098823,6572.0,1,15.216019299186,14.943567,1.0
2017-01-05,0.3211657496098823,6572.0,0,14.584044056728,15.106034,1.0
2017-01-06,93610.2441639447,0,-1,14.243749695404,15.390731,-1.0
2017-01-09,93610.2441639447,0,0,13.806228373702,14.77121,-1.0
2017-01-10,93610.2441639447,0,0,14.243749695404,14.060389,-1.0
2017-01-11,0.3211657496156093,6572.0,1,14.243749695404,13.925252,1.0
2017-01-12,0.3211657496156093,6572.0,0,13.95206881427,14.074718,1.0
2017-01-13,90415.36624591706,0,-1,13.757614893513,14.103424,-1.0
2017-01-17,90415.36624591706,0,0,13.222866611433,14.075131,-1.0
2017-01-18,90415.36624591706,0,0,14.097909254837,13.883163,-1.0
2017-01-19,5.960329447461959,6480.0,1,13.95206881427,13.764487,1.0
2017-01-20,89470.32019103643,0,-1,13.806228373702,13.886108,-1.0
2017-01-23,89470.32019103643,0,0,13.903455334081,13.7431555,-1.0
2017-01-24,4.015790236275279,6620.0,1,13.514547492568,13.6793785,1.0
2017-01-25,87861.2139967739,0,-1,13.271480091622,13.693549,-1.0
2017-01-26,87861.2139967739,0,0,13.222866611433,13.5818405,-1.0
2017-01-27,87861.2139967739,0,0,13.41732053219,13.301978,-1.0
2017-01-30,87861.2139967739,0,0,12.88257225011,13.198676,-1.0
2017-01-31,87861.2139967739,0,0,12.979799210488,13.191505,-1.0
2017-02-01,87861.2139967739,0,0,10.840806082168,13.054037,-1.0
2017-02-02,87861.2139967739,0,0,9.6254690774404,12.948557,-1.0
2017-02-03,87861.2139967739,0,0,9.2851747161168,11.456001,-1.0
2017-02-06,87861.2139967739,0,0,8.9448803547931,10.609016,-1.0
2017-02-07,87861.2139967739,0,0,8.7504264340367,10.308494,-1.0
2017-02-08,87861.2139967739,0,0,8.6045859934695,10.038581,-1.0
2017-02-09,87861.2139967739,0,0,8.6045859934695,9.454317,-1.0
2017-02-10,87861.2139967739,0,0,8.7504264340367,9.059114,-1.0
2017-02-13,87861.2139967739,0,0,8.7990399142258,8.955662,-1.0
2017-02-14,7.710414727528473,10096.0,1,8.7018129538477,8.931974,1.0
2017-02-15,99149.65300452242,0,-1,9.8199229981968,9.031505,-1.0
2017-02-16,7.321506886303894,10300.0,1,9.6254690774404,8.474238,1.0
2017-02-17,7.321506886303894,10300.0,0,9.382401676495,8.844914,1.0
2017-02-21,96646.0587747848,0,-1,9.382401676495,9.030889,-1.0
2017-02-22,7.80764168865667,9890.0,1,9.7713095180077,8.815339,1.0
2017-02-23,7.80764168865667,9890.0,0,9.5768555972513,8.843869,1.0
2017-02-24,91838.18558408381,0,-1,9.2851747161168,9.128006,-1.0
2017-02-27,91838.18558408381,0,0,8.9934938349822,8.996548,-1.0
2017-02-28,91838.18558408381,0,0,8.7504264340367,8.53678,-1.0
2017-03-01,91838.18558408381,0,0,8.7018129538477,8.3152,-1.0
2017-03-02,7.953482129034519,10553.0,1,8.7018129538477,7.931597,1.0
2017-03-03,7.953482129034519,10553.0,0,8.6531994736586,8.506997,1.0
2017-03-06,93377.23975338947,0,-1,8.8476533944149,8.706864,-1.0
2017-03-07,6.786758603650085,10730.0,1,8.7018129538477,8.618737,1.0
2017-03-08,92333.99446853138,0,-1,8.6045859934695,8.670814,-1.0
2017-03-09,92333.99446853138,0,0,8.7990399142258,8.630328,-1.0
2017-03-10,92333.99446853138,0,0,8.7018129538477,8.372194,-1.0
2017-03-13,92333.99446853138,0,0,8.6531994736586,8.346867,-1.0
2017-03-14,7.564574286966284,10978.0,1,8.4101320727131,8.308767,1.0
2017-03-15,91800.31568301543,0,-1,8.361518592524,8.315995,-1.0
2017-03-16,91800.31568301543,0,0,8.7018129538477,8.141714,-1.0
2017-03-17,4.842219396392522,10152.0,1,9.0421073151713,7.4726067,1.0
2017-03-20,4.842219396392522,10152.0,0,8.6531994736586,7.6065974,1.0
2017-03-21,85878.02707245953,0,-1,8.4587455529022,7.9194765,-1.0
2017-03-22,85878.02707245953,0,0,8.2642916321458,7.6540804,-1.0
2017-03-23,85878.02707245953,0,0,8.5073590330913,7.2208586,-1.0
2017-03-24,2.168477986064179,10211.0,1,8.4101320727131,7.095899,1.0
2017-03-27,2.168477986064179,10211.0,0,8.3129051123349,7.4396873,1.0
2017-03-28,2.168477986064179,10211.0,0,8.2642916321458,7.649547,1.0
2017-03-29,86076.58397094348,0,-1,8.4295774647887,7.764437,-1.0
2017-03-30,0.9853793937494739,9865.0,1,8.7253521126761,7.7548223,1.0
2017-03-31,0.9853793937494739,9865.0,0,8.8239436619718,7.99218,1.0
2017-04-03,0.9853793937494739,9865.0,0,8.5281690140845,8.280572,1.0
2017-04-04,83158.76706953428,0,-1,8.4295774647887,8.333497,-1.0
2017-04-05,83158.76706953428,0,0,8.330985915493,8.283566,-1.0
2017-04-06,83158.76706953428,0,0,8.4788732394366,8.217314,-1.0
2017-04-07,83158.76706953428,0,0,8.5774647887324,8.036481,-1.0
