,presupuesto,acciones,estado,valor,pred,dif
2016-12-30,100000,0,0,14.827111457673,15.076525,
2017-01-03,100000,0,0,14.875724937862,14.425147,-1.0
2017-01-04,100000,0,0,15.216019299186,13.160701,-1.0
2017-01-05,100000,0,0,14.584044056728,12.265684,-1.0
2017-01-06,100000,0,0,14.243749695404,11.898539,-1.0
2017-01-09,1.4878892764143163,7243.0,1,13.806228373702,11.330156,1.0
2017-01-10,1.4878892764143163,7243.0,0,14.243749695404,11.33861,1.0
2017-01-11,1.4878892764143163,7243.0,0,14.243749695404,11.688999,1.0
2017-01-12,1.4878892764143163,7243.0,0,13.95206881427,12.217775,1.0
2017-01-13,1.4878892764143163,7243.0,0,13.757614893513,12.615432,1.0
2017-01-17,1.4878892764143163,7243.0,0,13.222866611433,12.955603,1.0
2017-01-18,1.4878892764143163,7243.0,0,14.097909254837,13.168945,1.0
2017-01-19,1.4878892764143163,7243.0,0,13.95206881427,13.260039,1.0
2017-01-20,100000.0,0,-1,13.806228373702,13.421173,-1.0
2017-01-23,6.349237289445725,7192.0,1,13.903455334081,13.405256,1.0
2017-01-24,6.349237289445725,7192.0,0,13.514547492568,13.478811,1.0
2017-01-25,6.349237289445725,7192.0,0,13.271480091622,13.618322,1.0
2017-01-26,95105.20590671558,0,-1,13.222866611433,13.648766,-1.0
2017-01-27,95105.20590671558,0,0,13.41732053219,13.413696,-1.0
2017-01-30,95105.20590671558,0,0,12.88257225011,13.073642,-1.0
2017-01-31,95105.20590671558,0,0,12.979799210488,12.702506,-1.0
2017-02-01,95105.20590671558,0,0,10.840806082168,12.240514,-1.0
2017-02-02,95105.20590671558,0,0,9.6254690774404,11.687749,-1.0
2017-02-03,95105.20590671558,0,0,9.2851747161168,10.530116,-1.0
2017-02-06,95105.20590671558,0,0,8.9448803547931,9.950382,-1.0
2017-02-07,95105.20590671558,0,0,8.7504264340367,9.654739,-1.0
2017-02-08,95105.20590671558,0,0,8.6045859934695,9.426633,-1.0
2017-02-09,95105.20590671558,0,0,8.6045859934695,9.138037,-1.0
2017-02-10,95105.20590671558,0,0,8.7504264340367,8.917522,-1.0
2017-02-13,5.182513763137067,10808.0,1,8.7990399142258,8.881809,1.0
