,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,5.3769676916389315,6722.0,0,0,14.875724937862,15.564279,
2017-01-04,204569.54042594822,0,6722.0,-1,15.216019299186,15.286409,-1.0
2017-01-05,13.738486281284423,7304.0,0,1,14.584044056728,15.280022,1.0
2017-01-06,208086.43403674295,0,7304.0,-1,14.243749695404,15.517823,-1.0
2017-01-09,208086.43403674295,0,7304.0,0,13.806228373702,14.93428,-1.0
2017-01-10,208086.43403674295,0,7304.0,0,14.243749695404,14.190152,-1.0
2017-01-11,13.738486281310813,7304.0,0,1,14.243749695404,13.841795,1.0
2017-01-12,13.738486281310813,7304.0,0,0,13.95206881427,14.073501,1.0
2017-01-13,200984.97685071922,0,7304.0,-1,13.757614893513,14.2277155,-1.0
2017-01-17,200984.97685071922,0,7304.0,0,13.222866611433,14.219198,-1.0
2017-01-18,200984.97685071922,0,7304.0,0,14.097909254837,14.078038,-1.0
2017-01-19,5.425581159877602,7101.0,0,1,13.95206881427,13.931167,1.0
2017-01-20,196081.48094447568,0,7101.0,-1,13.806228373702,14.127647,-1.0
2017-01-23,1.0503679313310847,7002.0,0,1,13.903455334081,13.983522,1.0
2017-01-24,1.0503679313310847,7002.0,0,0,13.514547492568,14.028269,1.0
2017-01-25,185854.85757100582,0,7002.0,-1,13.271480091622,14.054041,-1.0
2017-01-26,185854.85757100582,0,7002.0,0,13.222866611433,13.988174,-1.0
2017-01-27,185854.85757100582,0,7002.0,0,13.41732053219,13.722754,-1.0
2017-01-30,185854.85757100582,0,7002.0,0,12.88257225011,13.589838,-1.0
2017-01-31,185854.85757100582,0,7002.0,0,12.979799210488,13.511739,-1.0
2017-02-01,185854.85757100582,0,7002.0,0,10.840806082168,13.361107,-1.0
2017-02-02,185854.85757100582,0,7002.0,0,9.6254690774404,13.264741,-1.0
2017-02-03,185854.85757100582,0,7002.0,0,9.2851747161168,11.741379,-1.0
2017-02-06,185854.85757100582,0,7002.0,0,8.9448803547931,10.693405,-1.0
2017-02-07,185854.85757100582,0,7002.0,0,8.7504264340367,10.246378,-1.0
2017-02-08,185854.85757100582,0,7002.0,0,8.6045859934695,10.025078,-1.0
2017-02-09,185854.85757100582,0,7002.0,0,8.6045859934695,9.520334,-1.0
2017-02-10,185854.85757100582,0,7002.0,0,8.7504264340367,9.0734215,-1.0
2017-02-13,185854.85757100582,0,7002.0,0,8.7990399142258,8.840818,-1.0
2017-02-14,185854.85757100582,0,7002.0,0,8.7018129538477,8.708574,-1.0
2017-02-15,185854.85757100582,0,7002.0,0,9.8199229981968,8.700897,-1.0
2017-02-16,6.300623786583998,12306.0,0,1,9.6254690774404,8.306013,1.0
2017-02-17,6.300623786583998,12306.0,0,0,9.382401676495,8.5231695,1.0
2017-02-21,6.300623786583998,12306.0,0,0,9.382401676495,8.726051,1.0
2017-02-22,6.300623786583998,12306.0,0,0,9.7713095180077,8.736809,1.0
2017-02-23,6.300623786583998,12306.0,0,0,9.5768555972513,8.862001,1.0
2017-02-24,6.300623786583998,12306.0,0,0,9.2851747161168,9.170824,1.0
2017-02-27,221354.1708903685,0,12306.0,-1,8.9934938349822,9.228651,-1.0
2017-02-28,221354.1708903685,0,12306.0,0,8.7504264340367,8.935854,-1.0
2017-03-01,221354.1708903685,0,12306.0,0,8.7018129538477,8.669004,-1.0
2017-03-02,6.154783344556073,13131.0,0,1,8.7018129538477,8.176432,1.0
2017-03-03,6.154783344556073,13131.0,0,0,8.6531994736586,8.417029,1.0
2017-03-06,6.154783344556073,13131.0,0,0,8.8476533944149,8.71047,1.0
2017-03-07,6.154783344556073,13131.0,0,0,8.7018129538477,8.71787,1.0
2017-03-08,6.154783344556073,13131.0,0,0,8.6045859934695,8.771099,1.0
2017-03-09,6.154783344556073,13131.0,0,0,8.7990399142258,8.778888,1.0
2017-03-10,6.154783344556073,13131.0,0,0,8.7018129538477,8.790657,1.0
2017-03-13,6.154783344556073,13131.0,0,0,8.6531994736586,8.927843,1.0
2017-03-14,220873.043276936,0,13131.0,-1,8.4101320727131,8.945925,-1.0
2017-03-15,220873.043276936,0,13131.0,0,8.361518592524,8.933643,-1.0
2017-03-16,220873.043276936,0,13131.0,0,8.7018129538477,8.887711,-1.0
2017-03-17,220873.043276936,0,13131.0,0,9.0421073151713,8.401701,-1.0
2017-03-20,0.12671180023966855,12394.0,0,1,8.6531994736586,8.378905,1.0
2017-03-21,209675.51147714,0,12394.0,-1,8.4587455529022,8.659014,-1.0
2017-03-22,209675.51147714,0,12394.0,0,8.2642916321458,8.6295395,-1.0
2017-03-23,209675.51147714,0,12394.0,0,8.5073590330913,8.324001,-1.0
2017-03-24,2.5087723296987683,12537.0,0,1,8.4101320727131,8.151859,1.0
2017-03-27,2.5087723296987683,12537.0,0,0,8.3129051123349,8.31069,1.0
2017-03-28,2.5087723296987683,12537.0,0,0,8.2642916321458,8.498549,1.0
2017-03-29,2.5087723296987683,12537.0,0,0,8.4295774647887,8.658976,1.0
2017-03-30,2.5087723296987683,12537.0,0,0,8.7253521126761,8.777417,1.0
2017-03-31,2.5087723296987683,12537.0,0,0,8.8239436619718,8.9278,1.0
2017-04-03,2.5087723296987683,12537.0,0,0,8.5281690140845,9.165583,1.0
2017-04-04,211365.73412444157,0,12537.0,-1,8.4295774647887,9.246809,-1.0
2017-04-05,211365.73412444157,0,12537.0,0,8.330985915493,9.186159,-1.0
2017-04-06,211365.73412444157,0,12537.0,0,8.4788732394366,9.142061,-1.0
2017-04-07,211365.73412444157,0,12537.0,0,8.5774647887324,8.988819,-1.0
2017-04-10,5.811589231046611,11416.0,0,1,8.8239436619718,8.97336,1.0
2017-04-11,5.811589231046611,11416.0,0,0,9.2183098591549,9.004596,1.0
2017-04-12,5.811589231046611,11416.0,0,0,9.2676056338028,9.1949,1.0
2017-04-13,5.811589231046611,11416.0,0,0,9.2676056338028,9.504168,1.0
2017-04-17,218356.91018077938,0,11416.0,-1,9.5633802816901,9.560357,-1.0
2017-04-18,6.008772329023893,11183.0,0,1,9.6619718309859,9.40181,1.0
2017-04-19,6.008772329023893,11183.0,0,0,9.7605633802817,9.641086,1.0
2017-04-20,6.008772329023893,11183.0,0,0,10.056338028169,9.984779,1.0
2017-04-21,6.008772329023893,11183.0,0,0,9.8098591549296,10.305618,1.0
2017-04-24,226028.61440613403,0,11183.0,-1,10.105633802817,10.489378,-1.0
