,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,5.3769676916389315,6722.0,0,0,14.875724937862,15.235204,
2017-01-04,5.3769676916389315,6722.0,0,0,15.216019299186,14.943567,0.0
2017-01-05,5.3769676916389315,6722.0,0,0,14.584044056728,15.106034,0.0
2017-01-06,191498.34787270302,0,6722.0,-1,14.243749695404,15.390731,-1.0
2017-01-09,191498.34787270302,0,6722.0,0,13.806228373702,14.77121,-1.0
2017-01-10,191498.34787270302,0,6722.0,0,14.243749695404,14.060389,0.0
2017-01-11,191498.34787270302,0,6722.0,0,14.243749695404,13.925252,0.0
2017-01-12,191498.34787270302,0,6722.0,0,13.95206881427,14.074718,0.0
2017-01-13,191498.34787270302,0,6722.0,0,13.757614893513,14.103424,0.0
2017-01-17,191498.34787270302,0,6722.0,0,13.222866611433,14.075131,0.0
2017-01-18,191498.34787270302,0,6722.0,0,14.097909254837,13.883163,0.0
2017-01-19,191498.34787270302,0,6722.0,0,13.95206881427,13.764487,0.0
2017-01-20,191498.34787270302,0,6722.0,0,13.806228373702,13.886108,0.0
2017-01-23,191498.34787270302,0,6722.0,0,13.903455334081,13.7431555,0.0
2017-01-24,191498.34787270302,0,6722.0,0,13.514547492568,13.6793785,0.0
2017-01-25,191498.34787270302,0,6722.0,0,13.271480091622,13.693549,0.0
2017-01-26,191498.34787270302,0,6722.0,0,13.222866611433,13.5818405,0.0
2017-01-27,191498.34787270302,0,6722.0,0,13.41732053219,13.301978,0.0
2017-01-30,191498.34787270302,0,6722.0,0,12.88257225011,13.198676,0.0
2017-01-31,191498.34787270302,0,6722.0,0,12.979799210488,13.191505,0.0
2017-02-01,191498.34787270302,0,6722.0,0,10.840806082168,13.054037,0.0
2017-02-02,191498.34787270302,0,6722.0,0,9.6254690774404,12.948557,-1.0
2017-02-03,191498.34787270302,0,6722.0,0,9.2851747161168,11.456001,-1.0
2017-02-06,191498.34787270302,0,6722.0,0,8.9448803547931,10.609016,0.0
2017-02-07,191498.34787270302,0,6722.0,0,8.7504264340367,10.308494,0.0
2017-02-08,191498.34787270302,0,6722.0,0,8.6045859934695,10.038581,-1.0
2017-02-09,191498.34787270302,0,6722.0,0,8.6045859934695,9.454317,-1.0
2017-02-10,191498.34787270302,0,6722.0,0,8.7504264340367,9.059114,0.0
2017-02-13,191498.34787270302,0,6722.0,0,8.7990399142258,8.955662,0.0
2017-02-14,191498.34787270302,0,6722.0,0,8.7018129538477,8.931974,0.0
2017-02-15,191498.34787270302,0,6722.0,0,9.8199229981968,9.031505,-1.0
2017-02-16,9.266046103707197,13172.0,0,1,9.6254690774404,8.474238,1.0
2017-02-17,9.266046103707197,13172.0,0,0,9.382401676495,8.844914,0.0
2017-02-21,9.266046103707197,13172.0,0,0,9.382401676495,9.030889,0.0
2017-02-22,9.266046103707197,13172.0,0,0,9.7713095180077,8.815339,0.0
2017-02-23,9.266046103707197,13172.0,0,0,9.5768555972513,8.843869,1.0
2017-02-24,9.266046103707197,13172.0,0,0,9.2851747161168,9.128006,0.0
2017-02-27,236942.86112870974,0,13173.0,-1,8.9934938349822,8.996548,-1.0
2017-02-28,236942.86112870974,0,13173.0,0,8.7504264340367,8.53678,0.0
2017-03-01,236942.86112870974,0,13173.0,0,8.7018129538477,8.3152,-1.0
2017-03-02,1.1962083907263263,14056.0,0,1,8.7018129538477,7.931597,1.0
