,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,14.875724937862,15.564279,
2017-01-04,199999.67883425037,0,6572.0,-1,15.216019299186,15.286409,-1.0
2017-01-05,104153.34129343396,0,0,1,14.584044056728,15.280022,1.0
2017-01-06,208303.639066228,0,7312.0,-1,14.243749695404,15.517823,-1.0
2017-01-09,208303.639066228,0,7312.0,0,13.806228373702,14.93428,-1.0
2017-01-10,208303.639066228,0,7312.0,0,14.243749695404,14.190152,-1.0
2017-01-11,104153.34129343396,0,0,1,14.243749695404,13.841795,1.0
2017-01-12,104153.34129343396,0,0,1,13.95206881427,14.073501,1.0
2017-01-13,208298.48603732738,0,7570.0,-1,13.757614893513,14.2277155,-1.0
2017-01-17,208298.48603732738,0,7570.0,0,13.222866611433,14.219198,-1.0
2017-01-18,208298.48603732738,0,7570.0,0,14.097909254837,14.078038,-1.0
2017-01-19,102681.3251133035,0,0,1,13.95206881427,13.931167,1.0
2017-01-20,205358.24552852527,0,7437.0,-1,13.806228373702,14.127647,-1.0
2017-01-23,101958.24820896487,0,0,1,13.903455334081,13.983522,1.0
2017-01-24,101958.24820896487,0,0,1,13.514547492568,14.028269,1.0
2017-01-25,203909.75827280508,0,7682.0,-1,13.271480091622,14.054041,-1.0
2017-01-26,203909.75827280508,0,7682.0,0,13.222866611433,13.988174,-1.0
2017-01-27,203909.75827280508,0,7682.0,0,13.41732053219,13.722754,-1.0
2017-01-30,203909.75827280508,0,7682.0,0,12.88257225011,13.589838,-1.0
2017-01-31,203909.75827280508,0,7682.0,0,12.979799210488,13.511739,-1.0
2017-02-01,203909.75827280508,0,7682.0,0,10.840806082168,13.361107,-1.0
2017-02-02,203909.75827280508,0,7682.0,0,9.6254690774404,13.264741,-1.0
2017-02-03,203909.75827280508,0,7682.0,0,9.2851747161168,11.741379,-1.0
2017-02-06,203909.75827280508,0,7682.0,0,8.9448803547931,10.693405,-1.0
2017-02-07,203909.75827280508,0,7682.0,0,8.7504264340367,10.246378,-1.0
2017-02-08,203909.75827280508,0,7682.0,0,8.6045859934695,10.025078,-1.0
2017-02-09,203909.75827280508,0,7682.0,0,8.6045859934695,9.520334,-1.0
2017-02-10,203909.75827280508,0,7682.0,0,8.7504264340367,9.0734215,-1.0
2017-02-13,203909.75827280508,0,7682.0,0,8.7990399142258,8.840818,-1.0
2017-02-14,203909.75827280508,0,7682.0,0,8.7018129538477,8.708574,-1.0
2017-02-15,203909.75827280508,0,7682.0,0,9.8199229981968,8.700897,-1.0
2017-02-16,129966.90481990793,0,0,1,9.6254690774404,8.306013,1.0
2017-02-17,129966.90481990793,0,0,1,9.382401676495,8.5231695,1.0
2017-02-21,129966.90481990793,0,0,1,9.382401676495,8.726051,1.0
2017-02-22,129966.90481990793,0,0,1,9.7713095180077,8.736809,1.0
2017-02-23,129966.90481990793,0,0,1,9.5768555972513,8.862001,1.0
2017-02-24,129966.90481990793,0,0,1,9.2851747161168,9.170824,1.0
2017-02-27,259931.8842292357,0,14451.0,-1,8.9934938349822,9.228651,-1.0
2017-02-28,259931.8842292357,0,14451.0,0,8.7504264340367,8.935854,-1.0
2017-03-01,259931.8842292357,0,14451.0,0,8.7018129538477,8.669004,-1.0
2017-03-02,134181.9852331826,0,0,1,8.7018129538477,8.176432,1.0
2017-03-03,134181.9852331826,0,0,1,8.6531994736586,8.417029,1.0
2017-03-06,134181.9852331826,0,0,1,8.8476533944149,8.71047,1.0
2017-03-07,134181.9852331826,0,0,1,8.7018129538477,8.71787,1.0
2017-03-08,134181.9852331826,0,0,1,8.6045859934695,8.771099,1.0
2017-03-09,134181.9852331826,0,0,1,8.7990399142258,8.778888,1.0
2017-03-10,134181.9852331826,0,0,1,8.7018129538477,8.790657,1.0
2017-03-13,134181.9852331826,0,0,1,8.6531994736586,8.927843,1.0
2017-03-14,268357.2323212474,0,15954.0,-1,8.4101320727131,8.945925,-1.0
2017-03-15,268357.2323212474,0,15954.0,0,8.361518592524,8.933643,-1.0
2017-03-16,268357.2323212474,0,15954.0,0,8.7018129538477,8.887711,-1.0
2017-03-17,268357.2323212474,0,15954.0,0,9.0421073151713,8.401701,-1.0
2017-03-20,130304.08791849812,0,0,1,8.6531994736586,8.378905,1.0
2017-03-21,260602.60441540362,0,15404.0,-1,8.4587455529022,8.659014,-1.0
2017-03-22,260602.60441540362,0,15404.0,0,8.2642916321458,8.6295395,-1.0
2017-03-23,260602.60441540362,0,15404.0,0,8.5073590330913,8.324001,-1.0
2017-03-24,131052.92996733102,0,0,1,8.4101320727131,8.151859,1.0
2017-03-27,131052.92996733102,0,0,1,8.3129051123349,8.31069,1.0
2017-03-28,131052.92996733102,0,0,1,8.2642916321458,8.498549,1.0
2017-03-29,131052.92996733102,0,0,1,8.4295774647887,8.658976,1.0
2017-03-30,131052.92996733102,0,0,1,8.7253521126761,8.777417,1.0
2017-03-31,131052.92996733102,0,0,1,8.8239436619718,8.9278,1.0
2017-04-03,131052.92996733102,0,0,1,8.5281690140845,9.165583,1.0
2017-04-04,262099.14123493613,0,15546.0,-1,8.4295774647887,9.246809,-1.0
2017-04-05,262099.14123493613,0,15546.0,0,8.330985915493,9.186159,-1.0
2017-04-06,262099.14123493613,0,15546.0,0,8.4788732394366,9.142061,-1.0
2017-04-07,262099.14123493613,0,15546.0,0,8.5774647887324,8.988819,-1.0
2017-04-10,124922.11306592255,0,0,1,8.8239436619718,8.97336,1.0
2017-04-11,124922.11306592255,0,0,1,9.2183098591549,9.004596,1.0
2017-04-12,124922.11306592255,0,0,1,9.2676056338028,9.1949,1.0
2017-04-13,124922.11306592255,0,0,1,9.2676056338028,9.504168,1.0
2017-04-17,249838.98630535862,0,13062.0,-1,9.5633802816901,9.560357,-1.0
2017-04-18,123634.3102490208,0,0,1,9.6619718309859,9.40181,1.0
2017-04-19,123634.3102490208,0,0,1,9.7605633802817,9.641086,1.0
2017-04-20,123634.3102490208,0,0,1,10.056338028169,9.984779,1.0
2017-04-21,123634.3102490208,0,0,1,9.8098591549296,10.305618,1.0
2017-04-24,247266.63419268397,0,12234.0,-1,10.105633802817,10.489378,-1.0
2017-04-25,124840.47926310805,0,0,1,10.007042253521,10.476453,1.0
2017-04-26,124840.47926310805,0,0,1,10.154929577465,10.645727,1.0
2017-04-27,249678.33137578252,0,12475.0,-1,10.007042253521,10.69096,-1.0
2017-04-28,249678.33137578252,0,12475.0,0,9.7605633802817,10.651663,-1.0
2017-05-01,249678.33137578252,0,12475.0,0,9.4401408450704,10.381321,-1.0
2017-05-02,249678.33137578252,0,12475.0,0,9.612676056338,10.055348,-1.0
2017-05-03,129145.23278423342,0,0,1,9.6619718309859,9.87501,1.0
2017-05-04,129145.23278423342,0,0,1,9.3169014084507,9.916964,1.0
2017-05-05,258289.12010817652,0,13504.0,-1,9.5633802816901,10.014452,-1.0
2017-05-08,131807.99334761302,0,0,1,9.3661971830986,9.843769,1.0
2017-05-09,263614.6412349371,0,13504.0,-1,9.7605633802817,9.871502,-1.0
2017-05-10,131807.99334761302,0,0,1,9.7605633802817,9.786225,1.0
2017-05-11,131807.99334761302,0,0,1,9.1197183098592,9.827785,1.0
2017-05-12,263613.1623616982,0,15106.0,-1,8.7253521126761,9.947901,-1.0
2017-05-15,263613.1623616982,0,15106.0,0,8.8732394366197,9.814769,-1.0
2017-05-16,263613.1623616982,0,15106.0,0,8.7253521126761,9.485583,-1.0
2017-05-17,263613.1623616982,0,15106.0,0,8.5774647887324,9.389835,-1.0
2017-05-18,263613.1623616982,0,15106.0,0,8.7746478873239,9.294252,-1.0
2017-05-19,132552.65531944425,0,0,1,8.6760563380282,9.039045,1.0
2017-05-22,265097.45813634555,0,15542.0,-1,8.5281690140845,9.099287,-1.0
2017-05-23,265097.45813634555,0,15542.0,0,8.2323943661972,8.987656,-1.0
2017-05-24,265097.45813634555,0,15542.0,0,7.9859154929577,8.866765,-1.0
2017-05-25,265097.45813634555,0,15542.0,0,8.0105633802817,8.612702,-1.0
2017-05-26,140980.359544797,0,0,1,7.9859154929577,8.416419,1.0
2017-05-30,140980.359544797,0,0,1,8.1830985915493,8.443554,1.0
2017-05-31,140980.359544797,0,0,1,8.0845070422535,8.59243,1.0
2017-06-01,281958.14123493724,0,17545.0,-1,8.0352112676056,8.664793,-1.0
2017-06-02,141845.2539109944,0,0,1,7.9859154929577,8.605394,1.0
2017-06-05,283685.760953247,0,18684.0,-1,7.5915492957746,8.6677265,-1.0
2017-06-06,283685.760953247,0,18684.0,0,7.6901408450704,8.5713825,-1.0
2017-06-07,283685.760953247,0,18684.0,0,7.7394366197183,8.37479,-1.0
2017-06-08,283685.760953247,0,18684.0,0,7.887323943662,8.1150875,-1.0
2017-06-09,136319.0003898662,0,0,1,7.887323943662,7.9485006,1.0
2017-06-12,136319.0003898662,0,0,1,8.1338028169014,8.117391,1.0
2017-06-13,136319.0003898662,0,0,1,8.0845070422535,8.316072,1.0
2017-06-14,136319.0003898662,0,0,1,7.887323943662,8.393758,1.0
2017-06-15,272635.6201081766,0,17283.0,-1,7.887323943662,8.42351,-1.0
2017-06-16,272635.6201081766,0,17283.0,0,7.7394366197183,8.401993,-1.0
2017-06-19,272635.6201081766,0,17283.0,0,7.887323943662,8.3042555,-1.0
2017-06-20,139726.9158828249,0,0,1,7.6901408450704,8.197636,1.0
2017-06-21,139726.9158828249,0,0,1,7.6901408450704,8.236896,1.0
2017-06-22,139726.9158828249,0,0,1,7.7394366197183,8.2589855,1.0
2017-06-23,279447.4088405707,0,18286.0,-1,7.6408450704225,8.307404,-1.0
2017-06-26,279447.4088405707,0,18286.0,0,8.1338028169014,8.296355,-1.0
2017-06-27,126205.57785465606,0,0,1,8.3802816901408,8.207526,1.0
2017-06-28,126205.57785465606,0,0,1,8.4,8.25371,1.0
2017-06-29,126205.57785465606,0,0,1,8.5,8.4350815,1.0
2017-06-30,126205.57785465606,0,0,1,8.55,8.5768795,1.0
2017-07-03,126205.57785465606,0,0,1,8.55,8.721382,1.0
2017-07-05,126205.57785465606,0,0,1,8.15,9.030204,1.0
2017-07-06,252403.27785465604,0,15924.0,-1,7.925,9.198351,-1.0
2017-07-07,252403.27785465604,0,15924.0,0,8.35,9.093355,-1.0
2017-07-10,122224.57785465603,0,0,1,8.175,8.856683,1.0
2017-07-11,244448.32785465603,0,14815.0,-1,8.25,8.897968,-1.0
2017-07-12,244448.32785465603,0,14815.0,0,7.9,8.736052,-1.0
2017-07-13,244448.32785465603,0,14815.0,0,8.15,8.621055,-1.0
2017-07-14,244448.32785465603,0,14815.0,0,8.1,8.447371,-1.0
2017-07-17,122965.32785465605,0,0,1,8.2,8.429649,1.0
2017-07-18,122965.32785465605,0,0,1,8.1,8.470002,1.0
2017-07-19,122965.32785465605,0,0,1,8.15,8.485529,1.0
2017-07-20,122965.32785465605,0,0,1,8.1,8.558634,1.0
2017-07-21,122965.32785465605,0,0,1,7.95,8.695097,1.0
2017-07-24,122965.32785465605,0,0,1,7.8,8.806119,1.0
2017-07-25,245923.32785465603,0,15180.0,-1,8.1,8.899025,-1.0
2017-07-26,245923.32785465603,0,15180.0,0,8.05,8.721909,-1.0
2017-07-27,245923.32785465603,0,15180.0,0,7.95,8.657635,-1.0
2017-07-28,245923.32785465603,0,15180.0,0,7.95,8.634205,-1.0
2017-07-31,245923.32785465603,0,15180.0,0,7.9,8.523304,-1.0
2017-08-01,245923.32785465603,0,15180.0,0,8.0,8.400364,-1.0
2017-08-02,126001.32785465603,0,0,1,7.9,8.276712,1.0
2017-08-03,126001.32785465603,0,0,1,7.85,8.401656,1.0
2017-08-04,251998.42785465604,0,15949.0,-1,7.9,8.531667,-1.0
2017-08-07,126798.77785465604,0,0,1,7.85,8.396549,1.0
2017-08-08,126798.77785465604,0,0,1,7.8,8.408537,1.0
2017-08-09,126798.77785465604,0,0,1,7.65,8.43574,1.0
2017-08-10,253590.32785465603,0,17019.0,-1,7.45,8.573501,-1.0
2017-08-11,253590.32785465603,0,17019.0,0,4.05,8.485395,-1.0
2017-08-14,253590.32785465603,0,17019.0,0,4.4,8.326479,-1.0
