,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,808.01,817.6156,
2017-01-04,100000,0,0,807.77,811.1798,-1.0
2017-01-05,811.5600000000022,122.0,1,813.02,810.1514,1.0
2017-01-06,811.5600000000022,122.0,0,825.21,816.56067,1.0
2017-01-09,811.5600000000022,122.0,0,827.18,819.0712,1.0
2017-01-10,101584.78,0,-1,826.01,823.4591,-1.0
2017-01-11,341.85999999999717,122.0,1,829.86,823.31836,1.0
2017-01-12,341.85999999999717,122.0,0,829.53,825.38806,1.0
2017-01-13,101716.54000000001,0,-1,830.94,827.8521,-1.0
2017-01-17,766.4200000000037,122.0,1,827.46,827.2698,1.0
2017-01-18,766.4200000000037,122.0,0,829.02,830.34143,1.0
2017-01-19,766.4200000000037,122.0,0,824.37,831.48596,1.0
2017-01-20,101803.15999999999,0,-1,828.17,832.3742,-1.0
2017-01-23,471.55999999999494,120.0,1,844.43,830.55554,1.0
2017-01-24,471.55999999999494,120.0,0,849.53,833.85767,1.0
2017-01-25,471.55999999999494,120.0,0,858.45,844.961,1.0
2017-01-26,471.55999999999494,120.0,0,856.98,850.6745,1.0
2017-01-27,471.55999999999494,120.0,0,845.03,851.82947,1.0
2017-01-30,471.55999999999494,120.0,0,823.83,857.98596,1.0
2017-01-31,98894.36,0,-1,820.19,863.69727,-1.0
2017-02-01,98894.36,0,0,815.24,862.606,-1.0
2017-02-02,98894.36,0,0,818.26,851.9764,-1.0
2017-02-03,98894.36,0,0,820.13,845.9569,-1.0
2017-02-06,98894.36,0,0,821.62,842.6864,-1.0
2017-02-07,98894.36,0,0,829.23,837.6761,-1.0
2017-02-08,138.64000000000112,119.0,1,829.88,835.7188,1.0
2017-02-09,138.64000000000112,119.0,0,830.06,837.8341,1.0
2017-02-10,99485.79000000001,0,-1,834.85,839.9161,-1.0
2017-02-13,99485.79000000001,0,0,838.96,838.81165,-1.0
2017-02-14,362.25000000001137,118.0,1,840.03,838.80865,1.0
2017-02-15,362.25000000001137,118.0,0,837.32,843.891,1.0
2017-02-16,362.25000000001137,118.0,0,842.17,846.84656,1.0
2017-02-17,362.25000000001137,118.0,0,846.55,846.9752,1.0
2017-02-21,362.25000000001137,118.0,0,849.27,849.3352,1.0
2017-02-22,362.25000000001137,118.0,0,851.36,851.0796,1.0
2017-02-23,100780.25000000001,0,-1,851.0,853.4242,-1.0
2017-02-24,100780.25000000001,0,0,847.81,852.4447,-1.0
2017-02-27,519.1900000000194,118.0,1,849.67,851.807,1.0
2017-02-28,519.1900000000194,118.0,0,844.93,852.9726,1.0
2017-03-01,519.1900000000194,118.0,0,856.75,859.31934,1.0
2017-03-02,519.1900000000194,118.0,0,849.85,861.86273,1.0
2017-03-03,519.1900000000194,118.0,0,849.08,870.12714,1.0
2017-03-06,519.1900000000194,118.0,0,847.27,874.3379,1.0
2017-03-07,100954.89000000001,0,-1,851.15,874.38306,-1.0
2017-03-08,100954.89000000001,0,0,853.64,871.9695,-1.0
2017-03-09,100954.89000000001,0,0,857.84,864.27167,-1.0
2017-03-10,100954.89000000001,0,0,861.405,860.307,-1.0
2017-03-13,663.6100000000092,116.0,1,864.58,859.57544,1.0
2017-03-14,663.6100000000092,116.0,0,865.91,862.7333,1.0
2017-03-15,663.6100000000092,116.0,0,868.39,868.2296,1.0
2017-03-16,663.6100000000092,116.0,0,870.0,873.3228,1.0
2017-03-17,101858.53000000001,0,-1,872.37,877.82227,-1.0
2017-03-20,101858.53000000001,0,0,867.91,877.4753,-1.0
2017-03-21,101858.53000000001,0,0,850.14,872.889,-1.0
2017-03-22,101858.53000000001,0,0,849.8,868.2114,-1.0
2017-03-23,101858.53000000001,0,0,839.65,862.0648,-1.0
2017-03-24,101858.53000000001,0,0,835.14,860.2665,-1.0
2017-03-27,101858.53000000001,0,0,838.51,858.6948,-1.0
2017-03-28,142.30000000001394,121.0,1,840.63,856.22266,1.0
2017-03-29,102976.57000000002,0,-1,849.87,857.53265,-1.0
2017-03-30,189.49000000001934,121.0,1,849.48,855.7789,1.0
