,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,808.01,831.1111,
2017-01-04,644.2900000000022,123.0,1,807.77,829.31165,1.0
2017-01-05,644.2900000000022,123.0,0,813.02,829.8475,1.0
2017-01-06,102145.12000000001,0,-1,825.21,831.14246,-1.0
2017-01-09,401.98000000001605,123.0,1,827.18,825.6076,1.0
2017-01-10,102001.21,0,-1,826.01,826.35547,-1.0
2017-01-11,102001.21,0,0,829.86,826.19006,-1.0
2017-01-12,798.5500000000097,122.0,1,829.53,825.42084,1.0
2017-01-13,798.5500000000097,122.0,0,830.94,826.7931,1.0
2017-01-17,798.5500000000097,122.0,0,827.46,828.4853,1.0
2017-01-18,101938.99,0,-1,829.02,828.50665,-1.0
2017-01-19,541.4800000000047,123.0,1,824.37,826.54297,1.0
2017-01-20,541.4800000000047,123.0,0,828.17,828.28937,1.0
2017-01-23,541.4800000000047,123.0,0,844.43,828.9954,1.0
2017-01-24,541.4800000000047,123.0,0,849.53,832.31116,1.0
2017-01-25,541.4800000000047,123.0,0,858.45,835.23126,1.0
2017-01-26,541.4800000000047,123.0,0,856.98,837.90936,1.0
2017-01-27,541.4800000000047,123.0,0,845.03,842.07544,1.0
2017-01-30,541.4800000000047,123.0,0,823.83,850.8088,1.0
2017-01-31,541.4800000000047,123.0,0,820.19,860.2767,1.0
2017-02-01,541.4800000000047,123.0,0,815.24,866.6628,1.0
2017-02-02,101187.46,0,-1,818.26,867.2045,-1.0
2017-02-03,101187.46,0,0,820.13,862.28864,-1.0
2017-02-06,101187.46,0,0,821.62,852.9767,-1.0
2017-02-07,101187.46,0,0,829.23,847.13,-1.0
2017-02-08,101187.46,0,0,829.88,844.8298,-1.0
2017-02-09,101187.46,0,0,830.06,843.0447,-1.0
2017-02-10,101187.46,0,0,834.85,841.4118,-1.0
2017-02-13,101187.46,0,0,838.96,838.22876,-1.0
2017-02-14,383.8600000000097,120.0,1,840.03,835.91376,1.0
2017-02-15,100862.26000000002,0,-1,837.32,836.4349,-1.0
2017-02-16,644.0300000000287,119.0,1,842.17,836.2221,1.0
2017-02-17,644.0300000000287,119.0,0,846.55,839.5175,1.0
2017-02-21,644.0300000000287,119.0,0,849.27,843.6334,1.0
2017-02-22,644.0300000000287,119.0,0,851.36,845.7823,1.0
2017-02-23,644.0300000000287,119.0,0,851.0,848.8753,1.0
2017-02-24,101533.42000000003,0,-1,847.81,850.6135,-1.0
2017-02-27,101533.42000000003,0,0,849.67,850.2541,-1.0
2017-02-28,141.82000000003336,120.0,1,844.93,847.5272,1.0
2017-03-01,141.82000000003336,120.0,0,856.75,848.09686,1.0
2017-03-02,141.82000000003336,120.0,0,849.85,852.42255,1.0
2017-03-03,141.82000000003336,120.0,0,849.08,858.7443,1.0
2017-03-06,141.82000000003336,120.0,0,847.27,868.07983,1.0
2017-03-07,141.82000000003336,120.0,0,851.15,874.1087,1.0
2017-03-08,141.82000000003336,120.0,0,853.64,875.9738,1.0
2017-03-09,103082.62000000004,0,-1,857.84,876.1078,-1.0
2017-03-10,103082.62000000004,0,0,861.405,873.8267,-1.0
2017-03-13,197.60000000003413,119.0,1,864.58,872.6844,1.0
2017-03-14,197.60000000003413,119.0,0,865.91,874.62305,1.0
2017-03-15,197.60000000003413,119.0,0,868.39,876.0315,1.0
2017-03-16,197.60000000003413,119.0,0,870.0,879.4825,1.0
2017-03-17,104009.63000000003,0,-1,872.37,880.4168,-1.0
2017-03-20,728.3400000000375,119.0,1,867.91,878.8564,1.0
2017-03-21,101895.00000000004,0,-1,850.14,880.5528,-1.0
2017-03-22,101895.00000000004,0,0,849.8,880.4886,-1.0
2017-03-23,101895.00000000004,0,0,839.65,878.3777,-1.0
2017-03-24,101895.00000000004,0,0,835.14,873.71405,-1.0
2017-03-27,101895.00000000004,0,0,838.51,867.88116,-1.0
2017-03-28,101895.00000000004,0,0,840.63,859.66846,-1.0
2017-03-29,101895.00000000004,0,0,849.87,854.59424,-1.0
2017-03-30,806.8800000000415,119.0,1,849.48,852.6859,1.0
2017-03-31,806.8800000000415,119.0,0,847.8,855.2277,1.0
2017-04-03,806.8800000000415,119.0,0,856.75,855.3332,1.0
2017-04-04,102262.71000000005,0,-1,852.57,860.575,-1.0
2017-04-05,393.5100000000539,120.0,1,848.91,859.40625,1.0
2017-04-06,393.5100000000539,120.0,0,845.095,863.71796,1.0
2017-04-07,101445.51000000005,0,-1,842.1,864.3552,-1.0
2017-04-10,101445.51000000005,0,0,841.7,862.2275,-1.0
2017-04-11,101445.51000000005,0,0,839.88,861.3337,-1.0
2017-04-12,101445.51000000005,0,0,841.46,856.4871,-1.0
2017-04-13,623.910000000059,120.0,1,840.18,851.27924,1.0
2017-04-17,103239.51000000007,0,-1,855.13,851.6512,-1.0
2017-04-18,760.7100000000664,120.0,1,853.99,850.51886,1.0
2017-04-19,760.7100000000664,120.0,0,856.51,852.57434,1.0
2017-04-20,760.7100000000664,120.0,0,860.08,855.2358,1.0
2017-04-21,760.7100000000664,120.0,0,858.95,857.27094,1.0
2017-04-24,760.7100000000664,120.0,0,878.93,864.9494,1.0
2017-04-25,760.7100000000664,120.0,0,888.84,874.1898,1.0
2017-04-26,760.7100000000664,120.0,0,889.14,878.1237,1.0
2017-04-27,760.7100000000664,120.0,0,891.44,884.17523,1.0
2017-04-28,760.7100000000664,120.0,0,924.52,891.42365,1.0
2017-05-01,760.7100000000664,120.0,0,932.82,901.6749,1.0
2017-05-02,760.7100000000664,120.0,0,937.09,912.75433,1.0
2017-05-03,760.7100000000664,120.0,0,948.45,921.244,1.0
2017-05-04,760.7100000000664,120.0,0,954.72,929.8665,1.0
2017-05-05,760.7100000000664,120.0,0,950.28,942.4641,1.0
2017-05-08,760.7100000000664,120.0,0,958.69,948.4621,1.0
2017-05-09,760.7100000000664,120.0,0,956.71,956.88184,1.0
2017-05-10,760.7100000000664,120.0,0,954.84,970.5712,1.0
2017-05-11,760.7100000000664,120.0,0,955.89,974.7147,1.0
2017-05-12,760.7100000000664,120.0,0,955.14,975.00006,1.0
2017-05-15,760.7100000000664,120.0,0,959.22,983.1833,1.0
2017-05-16,760.7100000000664,120.0,0,964.61,984.73395,1.0
2017-05-17,760.7100000000664,120.0,0,942.17,988.16144,1.0
2017-05-18,114820.71000000006,0,-1,950.5,991.212,-1.0
2017-05-19,262.71000000006734,120.0,1,954.65,988.97205,1.0
2017-05-22,115951.11000000007,0,-1,964.07,990.7286,-1.0
2017-05-23,115951.11000000007,0,0,970.55,989.4209,-1.0
2017-05-24,593.1300000000717,118.0,1,977.61,984.97186,1.0
2017-05-25,117632.61000000007,0,-1,991.86,986.43713,-1.0
2017-05-26,117632.61000000007,0,0,993.27,984.7868,-1.0
2017-05-30,84.55000000007817,118.0,1,996.17,984.35333,1.0
2017-05-31,84.55000000007817,118.0,0,987.09,993.9527,1.0
2017-06-01,116702.77000000008,0,-1,988.29,994.9453,-1.0
2017-06-02,116702.77000000008,0,0,996.12,991.5606,-1.0
2017-06-05,116702.77000000008,0,0,1003.88,988.52386,-1.0
2017-06-06,116702.77000000008,0,0,996.68,985.4899,-1.0
2017-06-07,518.3300000000731,116.0,1,1001.59,983.22046,1.0
