,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,614.7700000000011,123.0,0,0,808.01,817.6156,
2017-01-04,199326.19,0,123.0,-1,807.77,811.1798,-1.0
2017-01-05,136.2900000000127,122.0,0,1,813.02,810.1514,1.0
2017-01-06,136.2900000000127,122.0,0,0,825.21,816.56067,1.0
2017-01-09,136.2900000000127,122.0,0,0,827.18,819.0712,1.0
2017-01-10,201682.73,0,122.0,-1,826.01,823.4591,-1.0
2017-01-11,26.750000000010573,121.0,0,1,829.86,823.31836,1.0
2017-01-12,26.750000000010573,121.0,0,0,829.53,825.38806,1.0
2017-01-13,201114.23000000004,0,121.0,-1,830.94,827.8521,-1.0
2017-01-17,41.45000000003165,122.0,0,1,827.46,827.2698,1.0
2017-01-18,41.45000000003165,122.0,0,0,829.02,830.34143,1.0
2017-01-19,41.45000000003165,122.0,0,0,824.37,831.48596,1.0
2017-01-20,202114.93,0,122.0,-1,828.17,832.3742,-1.0
2017-01-23,296.160000000007,117.0,0,1,844.43,830.55554,1.0
2017-01-24,296.160000000007,117.0,0,0,849.53,833.85767,1.0
2017-01-25,296.160000000007,117.0,0,0,858.45,844.961,1.0
2017-01-26,296.160000000007,117.0,0,0,856.98,850.6745,1.0
2017-01-27,296.160000000007,117.0,0,0,845.03,851.82947,1.0
2017-01-30,296.160000000007,117.0,0,0,823.83,857.98596,1.0
2017-01-31,192220.62000000002,0,117.0,-1,820.19,863.69727,-1.0
2017-02-01,192220.62000000002,0,117.0,0,815.24,862.606,-1.0
2017-02-02,192220.62000000002,0,117.0,0,818.26,851.9764,-1.0
2017-02-03,192220.62000000002,0,117.0,0,820.13,845.9569,-1.0
2017-02-06,192220.62000000002,0,117.0,0,821.62,842.6864,-1.0
2017-02-07,192220.62000000002,0,117.0,0,829.23,837.6761,-1.0
2017-02-08,518.3400000000186,114.0,0,1,829.88,835.7188,1.0
2017-02-09,518.3400000000186,114.0,0,0,830.06,837.8341,1.0
2017-02-10,190864.14000000004,0,114.0,-1,834.85,839.9161,-1.0
2017-02-13,190864.14000000004,0,114.0,0,838.96,838.81165,-1.0
2017-02-14,177.3300000000479,113.0,0,1,840.03,838.80865,1.0
2017-02-15,177.3300000000479,113.0,0,0,837.32,843.891,1.0
2017-02-16,177.3300000000479,113.0,0,0,842.17,846.84656,1.0
2017-02-17,177.3300000000479,113.0,0,0,846.55,846.9752,1.0
2017-02-21,177.3300000000479,113.0,0,0,849.27,849.3352,1.0
2017-02-22,177.3300000000479,113.0,0,0,851.36,851.0796,1.0
2017-02-23,192503.33000000005,0,113.0,-1,851.0,853.4242,-1.0
2017-02-24,192503.33000000005,0,113.0,0,847.81,852.4447,-1.0
2017-02-27,477.9100000000582,113.0,0,1,849.67,851.807,1.0
2017-02-28,477.9100000000582,113.0,0,0,844.93,852.9726,1.0
