,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,808.01,817.6156,
2017-01-04,199355.71,0,123.0,-1,807.77,811.1798,-1.0
2017-01-05,99354.25,0,0,1,813.02,810.1514,1.0
2017-01-06,99354.25,0,0,1,825.21,816.56067,1.0
2017-01-09,99354.25,0,0,1,827.18,819.0712,1.0
2017-01-10,198475.45,0,120.0,-1,826.01,823.4591,-1.0
2017-01-11,98892.25000000001,0,0,1,829.86,823.31836,1.0
2017-01-12,98892.25000000001,0,0,1,829.53,825.38806,1.0
2017-01-13,197774.11000000002,0,119.0,-1,830.94,827.8521,-1.0
2017-01-17,99306.37000000001,0,0,1,827.46,827.2698,1.0
2017-01-18,99306.37000000001,0,0,1,829.02,830.34143,1.0
2017-01-19,99306.37000000001,0,0,1,824.37,831.48596,1.0
2017-01-20,197858.6,0,119.0,-1,828.17,832.3742,-1.0
2017-01-23,97371.43000000001,0,0,1,844.43,830.55554,1.0
2017-01-24,97371.43000000001,0,0,1,849.53,833.85767,1.0
2017-01-25,97371.43000000001,0,0,1,858.45,844.961,1.0
2017-01-26,97371.43000000001,0,0,1,856.98,850.6745,1.0
2017-01-27,97371.43000000001,0,0,1,845.03,851.82947,1.0
2017-01-30,97371.43000000001,0,0,1,823.83,857.98596,1.0
2017-01-31,194153.85000000003,0,118.0,-1,820.19,863.69727,-1.0
2017-02-01,194153.85000000003,0,118.0,0,815.24,862.606,-1.0
2017-02-02,194153.85000000003,0,118.0,0,818.26,851.9764,-1.0
2017-02-03,194153.85000000003,0,118.0,0,820.13,845.9569,-1.0
2017-02-06,194153.85000000003,0,118.0,0,821.62,842.6864,-1.0
2017-02-07,194153.85000000003,0,118.0,0,829.23,837.6761,-1.0
2017-02-08,96228.01000000004,0,0,1,829.88,835.7188,1.0
2017-02-09,96228.01000000004,0,0,1,830.06,837.8341,1.0
2017-02-10,192235.76000000004,0,115.0,-1,834.85,839.9161,-1.0
2017-02-13,192235.76000000004,0,115.0,0,838.96,838.81165,-1.0
2017-02-14,95632.31000000004,0,0,1,840.03,838.80865,1.0
2017-02-15,95632.31000000004,0,0,1,837.32,843.891,1.0
2017-02-16,95632.31000000004,0,0,1,842.17,846.84656,1.0
2017-02-17,95632.31000000004,0,0,1,846.55,846.9752,1.0
2017-02-21,95632.31000000004,0,0,1,849.27,849.3352,1.0
2017-02-22,95632.31000000004,0,0,1,851.36,851.0796,1.0
2017-02-23,190944.31000000006,0,112.0,-1,851.0,853.4242,-1.0
2017-02-24,190944.31000000006,0,112.0,0,847.81,852.4447,-1.0
2017-02-27,95781.27000000006,0,0,1,849.67,851.807,1.0
2017-02-28,95781.27000000006,0,0,1,844.93,852.9726,1.0
2017-03-01,95781.27000000006,0,0,1,856.75,859.31934,1.0
2017-03-02,95781.27000000006,0,0,1,849.85,861.86273,1.0
2017-03-03,95781.27000000006,0,0,1,849.08,870.12714,1.0
2017-03-06,95781.27000000006,0,0,1,847.27,874.3379,1.0
2017-03-07,191110.07000000007,0,112.0,-1,851.15,874.38306,-1.0
2017-03-08,191110.07000000007,0,112.0,0,853.64,871.9695,-1.0
2017-03-09,191110.07000000007,0,112.0,0,857.84,864.27167,-1.0
2017-03-10,191110.07000000007,0,112.0,0,861.405,860.307,-1.0
2017-03-13,94277.11000000006,0,0,1,864.58,859.57544,1.0
2017-03-14,94277.11000000006,0,0,1,865.91,862.7333,1.0
2017-03-15,94277.11000000006,0,0,1,868.39,868.2296,1.0
2017-03-16,94277.11000000006,0,0,1,870.0,873.3228,1.0
2017-03-17,188493.07000000007,0,108.0,-1,872.37,877.82227,-1.0
2017-03-20,188493.07000000007,0,108.0,0,867.91,877.4753,-1.0
2017-03-21,188493.07000000007,0,108.0,0,850.14,872.889,-1.0
2017-03-22,188493.07000000007,0,108.0,0,849.8,868.2114,-1.0
2017-03-23,188493.07000000007,0,108.0,0,839.65,862.0648,-1.0
2017-03-24,188493.07000000007,0,108.0,0,835.14,860.2665,-1.0
2017-03-27,188493.07000000007,0,108.0,0,838.51,858.6948,-1.0
2017-03-28,97705.03000000007,0,0,1,840.63,856.22266,1.0
2017-03-29,194590.21000000008,0,114.0,-1,849.87,857.53265,-1.0
2017-03-30,97749.49000000008,0,0,1,849.48,855.7789,1.0
2017-03-31,97749.49000000008,0,0,1,847.8,862.71405,1.0
2017-04-03,97749.49000000008,0,0,1,856.75,867.19885,1.0
2017-04-04,97749.49000000008,0,0,1,852.57,867.68286,1.0
2017-04-05,97749.49000000008,0,0,1,848.91,869.2413,1.0
2017-04-06,194935.4150000001,0,115.0,-1,845.095,869.6268,-1.0
2017-04-07,194935.4150000001,0,115.0,0,842.1,866.0874,-1.0
2017-04-10,194935.4150000001,0,115.0,0,841.7,863.06934,-1.0
2017-04-11,194935.4150000001,0,115.0,0,839.88,859.7389,-1.0
2017-04-12,194935.4150000001,0,115.0,0,841.46,857.0789,-1.0
2017-04-13,194935.4150000001,0,115.0,0,840.18,854.6133,-1.0
2017-04-17,194935.4150000001,0,115.0,0,855.13,852.7645,-1.0
2017-04-18,96726.56500000009,0,0,1,853.99,850.58484,1.0
2017-04-19,96726.56500000009,0,0,1,856.51,856.7678,1.0
2017-04-20,96726.56500000009,0,0,1,860.08,865.6277,1.0
2017-04-21,96726.56500000009,0,0,1,858.95,866.8424,1.0
2017-04-24,96726.56500000009,0,0,1,878.93,872.73267,1.0
2017-04-25,96726.56500000009,0,0,1,888.84,880.64435,1.0
2017-04-26,96726.56500000009,0,0,1,889.14,894.8867,1.0
2017-04-27,193002.08500000008,0,108.0,-1,891.44,905.0776,-1.0
2017-04-28,193002.08500000008,0,108.0,0,924.52,896.4371,-1.0
2017-05-01,92257.52500000007,0,0,1,932.82,893.39655,1.0
2017-05-02,92257.52500000007,0,0,1,937.09,913.5894,1.0
2017-05-03,184257.17500000008,0,97.0,-1,948.45,921.28973,-1.0
2017-05-04,91649.33500000008,0,0,1,954.72,918.1356,1.0
2017-05-05,91649.33500000008,0,0,1,950.28,927.2183,1.0
2017-05-08,91649.33500000008,0,0,1,958.69,946.37506,1.0
2017-05-09,182536.7850000001,0,95.0,-1,956.71,952.85034,-1.0
2017-05-10,91826.98500000009,0,0,1,954.84,945.717,1.0
2017-05-11,91826.98500000009,0,0,1,955.89,948.87396,1.0
2017-05-12,91826.98500000009,0,0,1,955.14,951.74567,1.0
2017-05-15,91826.98500000009,0,0,1,959.22,953.1627,1.0
2017-05-16,91826.98500000009,0,0,1,964.61,954.7884,1.0
2017-05-17,91826.98500000009,0,0,1,942.17,961.4674,1.0
2017-05-18,183074.9850000001,0,96.0,-1,950.5,968.5325,-1.0
2017-05-19,91428.58500000011,0,0,1,954.65,965.01324,1.0
2017-05-22,91428.58500000011,0,0,1,964.07,966.56006,1.0
2017-05-23,91428.58500000011,0,0,1,970.55,968.0792,1.0
2017-05-24,91428.58500000011,0,0,1,977.61,969.0699,1.0
2017-05-25,91428.58500000011,0,0,1,991.86,972.78046,1.0
2017-05-26,91428.58500000011,0,0,1,993.27,974.1922,1.0
2017-05-30,91428.58500000011,0,0,1,996.17,977.53076,1.0
2017-05-31,91428.58500000011,0,0,1,987.09,982.6645,1.0
2017-06-01,182351.2650000001,0,92.0,-1,988.29,991.34705,-1.0
2017-06-02,182351.2650000001,0,92.0,0,996.12,990.08093,-1.0
2017-06-05,89994.3050000001,0,0,1,1003.88,988.57635,1.0
2017-06-06,89994.3050000001,0,0,1,996.68,990.9354,1.0
2017-06-07,89994.3050000001,0,0,1,1001.59,997.6564,1.0
2017-06-08,89994.3050000001,0,0,1,1004.28,1002.28235,1.0
2017-06-09,89994.3050000001,0,0,1,970.12,1011.3976,1.0
2017-06-12,179442.6350000001,0,93.0,-1,961.81,1020.72235,-1.0
2017-06-13,179442.6350000001,0,93.0,0,970.5,1011.639,-1.0
2017-06-14,179442.6350000001,0,93.0,0,967.93,1001.2964,-1.0
2017-06-15,90145.8950000001,0,0,1,960.18,1000.3609,1.0
2017-06-16,180256.1750000001,0,94.0,-1,958.62,1005.51917,-1.0
2017-06-19,180256.1750000001,0,94.0,0,975.22,997.34875,-1.0
2017-06-20,89171.1150000001,0,0,1,968.99,991.72894,1.0
2017-06-21,89171.1150000001,0,0,1,978.59,996.86066,1.0
2017-06-22,89171.1150000001,0,0,1,976.62,1002.9796,1.0
2017-06-23,177919.2150000001,0,90.0,-1,986.09,1006.6122,-1.0
2017-06-26,177919.2150000001,0,90.0,0,972.09,998.26965,-1.0
2017-06-27,177919.2150000001,0,90.0,0,948.09,991.09607,-1.0
2017-06-28,177919.2150000001,0,90.0,0,961.01,982.5945,-1.0
2017-06-29,177919.2150000001,0,90.0,0,937.82,976.34546,-1.0
