,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,808.01,820.2722,
2017-01-04,100000,0,0,0,807.77,825.64246,0.0
2017-01-05,100000,0,0,0,813.02,827.7731,0.0
2017-01-06,100000,0,0,0,825.21,828.08264,0.0
2017-01-09,100000,0,0,0,827.18,828.39526,0.0
2017-01-10,100000,0,0,0,826.01,825.37756,0.0
2017-01-11,100000,0,0,0,829.86,829.20074,0.0
2017-01-12,100000,0,0,0,829.53,835.89966,0.0
2017-01-13,100000,0,0,0,830.94,839.849,0.0
2017-01-17,100000,0,0,0,827.46,836.36646,0.0
2017-01-18,100000,0,0,0,829.02,833.82825,0.0
2017-01-19,100000,0,0,0,824.37,836.59863,0.0
2017-01-20,100000,0,0,0,828.17,839.81647,0.0
2017-01-23,100000,0,0,0,844.43,839.69696,0.0
2017-01-24,100000,0,0,0,849.53,838.9497,0.0
2017-01-25,100000,0,0,0,858.45,841.3877,0.0
2017-01-26,100000,0,0,0,856.98,847.8467,0.0
2017-01-27,100000,0,0,0,845.03,860.04803,0.0
2017-01-30,100000,0,0,0,823.83,867.69965,0.0
2017-01-31,100000,0,0,0,820.19,874.1303,0.0
2017-02-01,100000,0,0,0,815.24,873.11584,0.0
2017-02-02,100000,0,0,0,818.26,866.7629,0.0
2017-02-03,100000,0,0,0,820.13,854.54047,0.0
2017-02-06,100000,0,0,0,821.62,848.1881,0.0
2017-02-07,100000,0,0,0,829.23,843.2265,0.0
2017-02-08,100000,0,0,0,829.88,840.9077,0.0
2017-02-09,100000,0,0,0,830.06,839.7445,0.0
2017-02-10,100000,0,0,0,834.85,840.05554,0.0
2017-02-13,100000,0,0,0,838.96,837.5451,0.0
2017-02-14,100000,0,0,0,840.03,838.29895,0.0
2017-02-15,100000,0,0,0,837.32,841.23376,0.0
2017-02-16,100000,0,0,0,842.17,845.62866,0.0
2017-02-17,100000,0,0,0,846.55,850.8024,0.0
2017-02-21,100000,0,0,0,849.27,853.4259,0.0
2017-02-22,100000,0,0,0,851.36,855.966,0.0
2017-02-23,100000,0,0,0,851.0,857.4573,0.0
2017-02-24,100000,0,0,0,847.81,859.95215,0.0
2017-02-27,100000,0,0,0,849.67,858.1909,0.0
2017-02-28,100000,0,0,0,844.93,859.50415,0.0
2017-03-01,100000,0,0,0,856.75,861.7257,0.0
2017-03-02,100000,0,0,0,849.85,868.58826,0.0
2017-03-03,100000,0,0,0,849.08,873.77344,0.0
2017-03-06,100000,0,0,0,847.27,881.83746,0.0
2017-03-07,100000,0,0,0,851.15,881.217,0.0
2017-03-08,100000,0,0,0,853.64,876.9183,0.0
2017-03-09,100000,0,0,0,857.84,876.30884,0.0
2017-03-10,100000,0,0,0,861.405,876.25793,0.0
2017-03-13,100000,0,0,0,864.58,875.179,0.0
2017-03-14,100000,0,0,0,865.91,876.0726,0.0
2017-03-15,100000,0,0,0,868.39,877.9361,0.0
2017-03-16,100000,0,0,0,870.0,879.8241,0.0
2017-03-17,100000,0,0,0,872.37,881.1528,0.0
2017-03-20,100000,0,0,0,867.91,878.5886,0.0
2017-03-21,100000,0,0,0,850.14,881.32654,0.0
2017-03-22,100000,0,0,0,849.8,878.40356,0.0
2017-03-23,100000,0,0,0,839.65,878.8905,0.0
2017-03-24,100000,0,0,0,835.14,867.7538,0.0
2017-03-27,100000,0,0,0,838.51,864.66064,0.0
2017-03-28,100000,0,0,0,840.63,857.75006,0.0
2017-03-29,100000,0,0,0,849.87,857.8395,0.0
2017-03-30,100000,0,0,0,849.48,857.1636,0.0
2017-03-31,100000,0,0,0,847.8,857.8882,0.0
2017-04-03,100000,0,0,0,856.75,861.38196,0.0
2017-04-04,100000,0,0,0,852.57,864.647,0.0
2017-04-05,100000,0,0,0,848.91,867.6313,0.0
2017-04-06,100000,0,0,0,845.095,872.2114,0.0
2017-04-07,100000,0,0,0,842.1,872.666,0.0
2017-04-10,100000,0,0,0,841.7,872.637,0.0
2017-04-11,100000,0,0,0,839.88,868.8455,0.0
2017-04-12,100000,0,0,0,841.46,866.1365,0.0
2017-04-13,100000,0,0,0,840.18,862.98517,0.0
2017-04-17,100000,0,0,0,855.13,861.2763,0.0
2017-04-18,100000,0,0,0,853.99,857.37885,0.0
2017-04-19,100000,0,0,0,856.51,856.3734,0.0
2017-04-20,100000,0,0,0,860.08,858.83923,0.0
2017-04-21,100000,0,0,0,858.95,866.9609,0.0
2017-04-24,100000,0,0,0,878.93,873.4146,0.0
2017-04-25,100000,0,0,0,888.84,883.3357,0.0
2017-04-26,100000,0,0,0,889.14,888.13416,0.0
2017-04-27,100000,0,0,0,891.44,897.1702,0.0
2017-04-28,100000,0,0,0,924.52,909.57666,0.0
2017-05-01,100000,0,0,0,932.82,917.3393,0.0
2017-05-02,100000,0,0,0,937.09,922.4251,0.0
2017-05-03,100000,0,0,0,948.45,931.66315,0.0
2017-05-04,100000,0,0,0,954.72,941.905,0.0
2017-05-05,100000,0,0,0,950.28,950.8894,0.0
2017-05-08,100000,0,0,0,958.69,959.39185,0.0
2017-05-09,100000,0,0,0,956.71,961.73206,0.0
2017-05-10,100000,0,0,0,954.84,967.2227,0.0
2017-05-11,100000,0,0,0,955.89,971.22266,0.0
2017-05-12,100000,0,0,0,955.14,979.2323,0.0
2017-05-15,100000,0,0,0,959.22,981.7815,0.0
2017-05-16,100000,0,0,0,964.61,985.09326,0.0
2017-05-17,100000,0,0,0,942.17,979.73315,0.0
2017-05-18,100000,0,0,0,950.5,982.05084,0.0
2017-05-19,100000,0,0,0,954.65,975.49023,0.0
2017-05-22,100000,0,0,0,964.07,971.41724,0.0
2017-05-23,100000,0,0,0,970.55,970.31586,0.0
2017-05-24,100000,0,0,0,977.61,967.1222,0.0
2017-05-25,100000,0,0,0,991.86,971.79083,0.0
2017-05-26,100000,0,0,0,993.27,980.6579,0.0
2017-05-30,100000,0,0,0,996.17,985.891,0.0
2017-05-31,100000,0,0,0,987.09,991.6183,0.0
2017-06-01,100000,0,0,0,988.29,991.1138,0.0
2017-06-02,100000,0,0,0,996.12,985.5968,0.0
2017-06-05,100000,0,0,0,1003.88,981.92035,0.0
2017-06-06,100000,0,0,0,996.68,982.06036,0.0
2017-06-07,100000,0,0,0,1001.59,982.0969,0.0
2017-06-08,100000,0,0,0,1004.28,998.7028,0.0
2017-06-09,100000,0,0,0,970.12,1002.09424,0.0
2017-06-12,100000,0,0,0,961.81,1008.1692,0.0
2017-06-13,100000,0,0,0,970.5,1011.86084,0.0
2017-06-14,100000,0,0,0,967.93,995.837,0.0
2017-06-15,100000,0,0,0,960.18,982.9225,0.0
2017-06-16,100000,0,0,0,958.62,987.4053,0.0
2017-06-19,100000,0,0,0,975.22,993.29755,0.0
2017-06-20,100000,0,0,0,968.99,998.17645,0.0
2017-06-21,100000,0,0,0,978.59,995.1621,0.0
2017-06-22,100000,0,0,0,976.62,993.9802,0.0
2017-06-23,100000,0,0,0,986.09,997.5198,0.0
2017-06-26,100000,0,0,0,972.09,1000.6489,0.0
2017-06-27,100000,0,0,0,948.09,993.4994,0.0
2017-06-28,100000,0,0,0,961.01,991.7954,0.0
2017-06-29,100000,0,0,0,937.82,985.7572,0.0
2017-06-30,100000,0,0,0,929.68,980.67163,0.0
2017-07-03,100000,0,0,0,919.46,975.54785,0.0
2017-07-05,100000,0,0,0,932.26,968.12573,0.0
2017-07-06,100000,0,0,0,927.69,953.2918,0.0
2017-07-07,100000,0,0,0,940.81,941.7904,0.0
2017-07-10,100000,0,0,0,951.0,937.8888,0.0
2017-07-11,100000,0,0,0,953.53,945.14294,0.0
2017-07-12,100000,0,0,0,967.66,963.7793,0.0
2017-07-13,100000,0,0,0,968.7175,978.50806,0.0
2017-07-14,100000,0,0,0,976.91,979.39404,0.0
2017-07-17,100000,0,0,0,975.96,982.9617,0.0
2017-07-18,100000,0,0,0,986.95,996.13074,0.0
2017-07-19,100000,0,0,0,992.77,1004.9002,0.0
2017-07-20,100000,0,0,0,992.19,1006.0648,0.0
2017-07-21,100000,0,0,0,993.84,1011.22174,0.0
2017-07-24,100000,0,0,0,998.31,1007.8695,0.0
2017-07-25,100000,0,0,0,969.03,1003.34894,0.0
2017-07-26,100000,0,0,0,965.31,998.9779,0.0
2017-07-27,100000,0,0,0,952.51,1000.8185,0.0
2017-07-28,100000,0,0,0,958.33,996.7204,0.0
2017-07-31,100000,0,0,0,945.5,995.8143,0.0
2017-08-01,100000,0,0,0,946.56,993.10394,0.0
2017-08-02,100000,0,0,0,947.64,991.8496,0.0
2017-08-03,100000,0,0,0,940.3,995.1576,0.0
2017-08-04,100000,0,0,0,945.79,987.10547,0.0
2017-08-07,100000,0,0,0,945.75,977.8583,0.0
2017-08-08,100000,0,0,0,944.19,978.8606,0.0
2017-08-09,100000,0,0,0,940.08,982.3237,0.0
2017-08-10,100000,0,0,0,923.59,969.12897,0.0
2017-08-11,100000,0,0,0,930.09,969.41016,0.0
2017-08-14,100000,0,0,0,938.93,959.73145,0.0
2017-08-15,100000,0,0,0,938.08,952.3323,0.0
2017-08-16,100000,0,0,0,944.27,942.3281,0.0
2017-08-17,100000,0,0,0,927.66,943.3828,0.0
2017-08-18,100000,0,0,0,926.18,942.6373,0.0
2017-08-21,100000,0,0,0,920.87,936.46985,0.0
2017-08-22,100000,0,0,0,940.4,928.79016,0.0
2017-08-23,100000,0,0,0,942.58,931.46204,0.0
2017-08-24,100000,0,0,0,936.89,940.15076,0.0
2017-08-25,100000,0,0,0,930.5,957.149,0.0
2017-08-28,100000,0,0,0,928.13,969.4492,0.0
2017-08-29,100000,0,0,0,935.75,966.4499,0.0
2017-08-30,100000,0,0,0,943.63,971.3856,0.0
2017-08-31,100000,0,0,0,955.24,973.99756,0.0
2017-09-01,100000,0,0,0,951.99,975.5875,0.0
2017-09-05,100000,0,0,0,941.48,978.63354,0.0
2017-09-06,100000,0,0,0,942.02,980.18414,0.0
2017-09-07,100000,0,0,0,949.89,978.3891,0.0
2017-09-08,100000,0,0,0,941.41,974.23114,0.0
2017-09-11,100000,0,0,0,943.29,972.1928,0.0
2017-09-12,100000,0,0,0,946.65,969.8506,0.0
2017-09-13,100000,0,0,0,950.44,974.3475,0.0
2017-09-14,100000,0,0,0,940.13,966.1152,0.0
2017-09-15,100000,0,0,0,935.29,969.3467,0.0
2017-09-18,100000,0,0,0,929.75,966.20874,0.0
2017-09-19,100000,0,0,0,936.86,968.57104,0.0
2017-09-20,100000,0,0,0,947.54,961.2647,0.0
2017-09-21,100000,0,0,0,947.55,963.98303,0.0
2017-09-22,100000,0,0,0,943.26,960.4238,0.0
2017-09-25,100000,0,0,0,934.28,962.6283,0.0
2017-09-26,100000,0,0,0,937.43,964.0489,0.0
2017-09-27,100000,0,0,0,959.9,968.73615,0.0
2017-09-28,100000,0,0,0,964.81,966.2668,0.0
2017-09-29,100000,0,0,0,973.72,964.994,0.0
2017-10-02,100000,0,0,0,967.47,968.0666,0.0
2017-10-03,100000,0,0,0,972.08,976.24036,0.0
2017-10-04,100000,0,0,0,966.78,981.5738,0.0
2017-10-05,100000,0,0,0,985.19,983.6153,0.0
2017-10-06,100000,0,0,0,993.64,988.14386,0.0
2017-10-09,100000,0,0,0,992.31,992.6568,0.0
2017-10-10,100000,0,0,0,987.8,999.7698,0.0
2017-10-11,100000,0,0,0,1005.65,1004.4887,0.0
2017-10-12,100000,0,0,0,1005.65,1011.0545,0.0
2017-10-13,100000,0,0,0,1007.87,1011.27527,0.0
2017-10-16,100000,0,0,0,1009.35,1017.40283,0.0
2017-10-17,100000,0,0,0,1011.0,1028.8077,0.0
2017-10-18,100000,0,0,0,1012.74,1036.9122,0.0
2017-10-19,100000,0,0,0,1001.84,1037.7454,0.0
2017-10-20,100000,0,0,0,1005.07,1028.8168,0.0
2017-10-23,100000,0,0,0,985.54,1031.5004,0.0
2017-10-24,100000,0,0,0,988.49,1026.3064,0.0
2017-10-25,100000,0,0,0,991.46,1029.1097,0.0
2017-10-26,100000,0,0,0,991.42,1023.2484,0.0
2017-10-27,100000,0,0,0,1033.67,1020.4482,0.0
2017-10-30,100000,0,0,0,1033.13,1006.0217,0.0
2017-10-31,100000,0,0,0,1033.04,1012.1334,0.0
2017-11-01,100000,0,0,0,1042.6,1024.3091,0.0
2017-11-02,100000,0,0,0,1042.97,1040.1117,0.0
2017-11-03,100000,0,0,0,1049.99,1048.1106,0.0
2017-11-06,100000,0,0,0,1042.68,1052.2555,0.0
2017-11-07,100000,0,0,0,1052.39,1043.7133,0.0
2017-11-09,100000,0,0,0,1047.72,1052.4799,0.0
2017-11-10,100000,0,0,0,1044.15,1052.7188,0.0
2017-11-13,100000,0,0,0,1041.2,1056.4575,0.0
2017-11-14,100000,0,0,0,1041.64,1059.6571,0.0
2017-11-15,100000,0,0,0,1036.41,1059.6649,0.0
2017-11-16,100000,0,0,0,1048.47,1055.6937,0.0
2017-11-17,100000,0,0,0,1035.89,1053.5109,0.0
2017-11-20,100000,0,0,0,1034.66,1048.0182,0.0
2017-11-21,100000,0,0,0,1050.3,1054.8683,0.0
2017-11-22,100000,0,0,0,1051.92,1055.9784,0.0
2017-11-24,100000,0,0,0,1056.52,1068.6804,0.0
2017-11-27,100000,0,0,0,1072.01,1073.02,0.0
2017-11-28,100000,0,0,0,1063.29,1080.3185,0.0
2017-11-29,100000,0,0,0,1037.38,1086.3307,0.0
2017-11-30,100000,0,0,0,1036.17,1089.0105,0.0
2017-12-01,100000,0,0,0,1025.07,1080.669,0.0
2017-12-04,100000,0,0,0,1011.87,1069.5845,0.0
2017-12-05,100000,0,0,0,1019.6,1058.4642,0.0
2017-12-06,100000,0,0,0,1032.72,1042.5364,0.0
2017-12-07,100000,0,0,0,1044.57,1035.1764,0.0
2017-12-08,100000,0,0,0,1049.38,1029.8293,0.0
2017-12-11,100000,0,0,0,1051.97,1034.7512,0.0
2017-12-12,100000,0,0,0,1048.77,1044.0057,0.0
2017-12-13,100000,0,0,0,1051.39,1055.6182,0.0
2017-12-14,100000,0,0,0,1057.47,1057.6844,0.0
2017-12-15,100000,0,0,0,1072.0,1062.1606,0.0
2017-12-18,100000,0,0,0,1085.09,1069.6053,0.0
2017-12-19,100000,0,0,0,1079.78,1080.0925,0.0
2017-12-20,100000,0,0,0,1073.56,1096.5679,0.0
2017-12-21,100000,0,0,0,1070.85,1110.0048,0.0
2017-12-22,100000,0,0,0,1068.86,1112.7722,0.0
2017-12-26,100000,0,0,0,1065.85,1102.8004,0.0
2017-12-27,100000,0,0,0,1060.2,1094.6892,0.0
2017-12-28,100000,0,0,0,1055.95,1085.0474,0.0
2017-12-29,100000,0,0,0,1053.4,1081.5265,0.0
2018-01-02,100000,0,0,0,1073.21,1086.6252,0.0
2018-01-03,100000,0,0,0,1091.52,1085.8044,0.0
2018-01-04,100000,0,0,0,1095.76,1095.5084,0.0
2018-01-05,100000,0,0,0,1110.29,1102.8336,0.0
2018-01-08,100000,0,0,0,1114.21,1117.6754,0.0
2018-01-09,100000,0,0,0,1112.79,1122.9346,0.0
2018-01-10,100000,0,0,0,1110.14,1130.8079,0.0
2018-01-11,100000,0,0,0,1111.88,1129.4159,0.0
2018-01-12,100000,0,0,0,1130.65,1135.871,0.0
2018-01-16,100000,0,0,0,1130.7,1141.8315,0.0
2018-01-17,100000,0,0,0,1139.1,1144.381,0.0
2018-01-18,100000,0,0,0,1135.97,1148.7302,0.0
2018-01-19,100000,0,0,0,1143.5,1149.456,0.0
2018-01-22,100000,0,0,0,1164.16,1147.6858,0.0
2018-01-23,100000,0,0,0,1176.17,1139.4298,0.0
2018-01-24,100000,0,0,0,1171.29,1143.957,0.0
2018-01-25,100000,0,0,0,1182.14,1154.9452,0.0
2018-01-26,100000,0,0,0,1187.56,1168.5397,0.0
2018-01-29,100000,0,0,0,1186.48,1186.8077,0.0
2018-01-30,100000,0,0,0,1177.37,1200.7333,0.0
2018-01-31,100000,0,0,0,1182.22,1208.608,0.0
2018-02-01,100000,0,0,0,1181.59,1216.9196,0.0
2018-02-02,100000,0,0,0,1119.2,1217.5011,0.0
2018-02-05,100000,0,0,0,1068.76,1209.7452,0.0
2018-02-06,100000,0,0,0,1084.43,1197.4436,0.0
2018-02-07,100000,0,0,0,1055.41,1166.4084,0.0
2018-02-08,100000,0,0,0,1005.6,1141.0968,0.0
2018-02-09,100000,0,0,0,1043.43,1126.6912,0.0
2018-02-12,100000,0,0,0,1054.56,1102.9197,0.0
2018-02-13,100000,0,0,0,1054.14,1080.6465,0.0
2018-02-14,100000,0,0,0,1072.7,1060.0057,0.0
2018-02-15,100000,0,0,0,1091.36,1055.0089,0.0
2018-02-16,100000,0,0,0,1095.5,1060.9817,0.0
2018-02-20,100000,0,0,0,1103.59,1070.748,0.0
2018-02-21,100000,0,0,0,1113.75,1090.9868,0.0
2018-02-22,100000,0,0,0,1109.9,1098.5076,0.0
2018-02-23,100000,0,0,0,1128.09,1108.3187,0.0
2018-02-26,100000,0,0,0,1143.7,1121.108,0.0
2018-02-27,100000,0,0,0,1117.51,1125.3704,0.0
2018-02-28,100000,0,0,0,1103.92,1120.3821,0.0
2018-03-01,100000,0,0,0,1071.41,1127.7609,0.0
2018-03-02,100000,0,0,0,1084.14,1119.874,0.0
2018-03-05,100000,0,0,0,1094.76,1117.7357,0.0
2018-03-06,100000,0,0,0,1100.9,1107.9154,0.0
2018-03-07,100000,0,0,0,1115.04,1120.0287,0.0
2018-03-08,100000,0,0,0,1129.38,1106.4376,0.0
2018-03-09,100000,0,0,0,1160.84,1112.5447,0.0
2018-03-12,100000,0,0,0,1165.93,1126.0942,0.0
2018-03-13,100000.0,0,0,1,1139.91,1125.741,1.0
2018-03-14,100000.0,0,0,0,1148.89,1174.6271,0.0
2018-03-15,100000.0,0,0,0,1150.61,1185.2115,0.0
2018-03-16,100000.0,0,0,0,1134.42,1179.3629,0.0
2018-03-19,100000.0,0,0,0,1100.07,1176.3,0.0
2018-03-20,100000.0,0,0,0,1095.8,1176.6554,0.0
2018-03-21,100000.0,0,0,0,1094.0,1164.6907,0.0
2018-03-22,100000.0,0,0,0,1053.15,1142.4423,0.0
2018-03-23,100000.0,0,0,0,1026.55,1120.2949,0.0
2018-03-26,100000.0,0,0,0,1054.09,1103.4674,0.0
