,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,29.832843767788,29.952955,
2017-01-04,100000,0,0,29.979562671564,30.22882,-1.0
2017-01-05,100000,0,0,29.148155550166,30.222754,-1.0
2017-01-06,100000,0,0,28.952530345132,29.559776,-1.0
2017-01-09,100000,0,0,28.365654730028,28.661627,-1.0
2017-01-10,100000,0,0,28.316748428769,28.336042,-1.0
2017-01-11,10.040044327240317,3483.0,1,28.707998838838,27.976868,1.0
2017-01-12,10.040044327240317,3483.0,0,28.218935826252,28.199646,1.0
2017-01-13,101192.38453098871,0,-1,29.050342947649,28.914925,-1.0
2017-01-17,26.765999357658984,3536.0,1,28.610186236321,28.86112,1.0
2017-01-18,26.765999357658984,3536.0,0,28.903624043873,29.306816,1.0
2017-01-19,98944.25967472914,0,-1,27.974404319958,29.30713,-1.0
2017-01-20,98944.25967472914,0,0,28.072216922476,29.165882,-1.0
2017-01-23,21.97318183312906,3530.0,1,28.023310621217,27.677517,1.0
2017-01-24,21.97318183312906,3530.0,0,29.73503116527,27.762398,1.0
2017-01-25,21.97318183312906,3530.0,0,31.251126504289,28.20728,1.0
2017-01-26,21.97318183312906,3530.0,0,31.520111161212,29.755585,1.0
2017-01-27,21.97318183312906,3530.0,0,31.5934706131,30.693062,1.0
2017-01-30,21.97318183312906,3530.0,0,31.544564311841,31.121805,1.0
2017-01-31,112410.12066329042,0,-1,31.838002119393,31.209028,-1.0
2017-02-01,112410.12066329042,0,0,32.473784035756,31.019487,-1.0
2017-02-02,14.881768149690423,3355.0,1,33.500816362188,30.951622,1.0
2017-02-03,14.881768149690423,3355.0,0,33.79425416974,31.270388,1.0
2017-02-06,14.881768149690423,3355.0,0,32.816128144567,32.79324,1.0
2017-02-07,108144.02400449805,0,-1,32.229252529463,33.28919,-1.0
2017-02-08,108144.02400449805,0,0,31.397845408065,33.037098,-1.0
2017-02-09,108144.02400449805,0,0,32.669409240791,32.678062,-1.0
2017-02-10,18.060677733784956,3290.0,1,32.865034445825,31.939018,1.0
2017-02-13,108787.63092906319,0,-1,33.06065965086,33.26508,-1.0
2017-02-14,31.950067292320796,3324.0,1,32.718315542049,33.02563,1.0
2017-02-15,110413.27638290239,0,-1,33.207378554636,33.335968,-1.0
2017-02-16,20.701618001680323,3349.0,1,32.962847048343,32.801014,1.0
2017-02-17,109430.55316541073,0,-1,32.669409240791,33.600433,-1.0
2017-02-21,3.4376936574420256,3305.0,1,33.109565952119,33.56811,1.0
2017-02-22,108784.01186277006,0,-1,32.913940747084,33.70689,-1.0
2017-02-23,108784.01186277006,0,0,32.620502939532,33.019855,-1.0
2017-02-24,14.441611440646227,3290.0,1,33.06065965086,31.925789,1.0
2017-02-27,14.441611440646227,3290.0,0,32.940350149764,32.018074,1.0
2017-02-28,14.441611440646227,3290.0,0,32.054062701788,32.365673,1.0
2017-03-01,107578.22535309763,0,-1,32.694159191993,32.6632,-1.0
2017-03-02,28.622210609935507,3376.0,1,31.857109935571,31.66484,1.0
2017-03-03,107910.68162247023,0,-1,31.955586318679,31.953302,-1.0
2017-03-06,26.60344475342512,3397.0,1,31.758633552463,30.532303,1.0
2017-03-07,26.60344475342512,3397.0,0,31.069298870704,30.74327,1.0
2017-03-08,26.60344475342512,3397.0,0,30.133773231174,31.275265,1.0
2017-03-09,100885.67188066426,0,-1,29.690629507186,31.424273,-1.0
2017-03-10,100885.67188066426,0,0,30.08453503962,31.201895,-1.0
2017-03-13,16.0172335685668,3403.0,1,29.641391315632,29.994625,1.0
2017-03-14,100718.114314806,0,-1,29.592153124078,30.045322,-1.0
2017-03-15,11.044176222482996,3342.0,1,30.133773231174,29.738691,1.0
2017-03-16,11.044176222482996,3342.0,0,30.478440572053,29.901537,1.0
2017-03-17,11.044176222482996,3342.0,0,30.872346104487,29.982796,1.0
2017-03-20,11.044176222482996,3342.0,0,29.838344081849,30.3308,1.0
2017-03-21,96933.37148279951,0,-1,29.001294825427,30.861156,-1.0
2017-03-22,96933.37148279951,0,0,28.952056633873,29.664635,-1.0
2017-03-23,17.395902931795348,3297.0,1,29.395200357861,28.997595,1.0
2017-03-24,17.395902931795348,3297.0,0,29.050533016981,29.126076,1.0
2017-03-27,96608.69484768913,0,-1,29.296723974752,29.257055,-1.0
2017-03-28,17.39590293178823,3297.0,1,29.296723974752,29.023842,1.0
2017-03-29,97582.72475301696,0,-1,29.592153124078,29.61491,-1.0
2017-03-30,29.656212629557785,3264.0,1,29.887582273403,28.966284,1.0
2017-03-31,29.656212629557785,3264.0,0,30.035296848065,29.606655,1.0
2017-04-03,29.656212629557785,3264.0,0,28.656627484548,29.670311,1.0
2017-04-04,94850.59598005554,0,-1,29.050533016981,29.871323,-1.0
2017-04-05,16.361900909578456,3379.0,1,28.065769185897,29.048965,1.0
2017-04-06,98510.8646638137,0,-1,29.14900940009,29.698761,-1.0
2017-04-07,18.03599942222291,3437.0,1,28.656627484548,28.915854,1.0
2017-04-10,101049.33962939048,0,-1,29.395200357861,29.421547,-1.0
2017-04-11,4.003114830684623,3426.0,1,29.493676740969,29.255997,1.0
2017-04-12,97000.77856703725,0,-1,28.311960143668,29.602745,-1.0
2017-04-13,97000.77856703725,0,0,27.86881641968,29.535816,-1.0
2017-04-17,97000.77856703725,0,0,28.164245569006,28.176304,-1.0
2017-04-18,17.297426550848286,3480.0,1,27.86881641968,27.2312,1.0
2017-04-19,17.297426550848286,3480.0,0,28.361198335222,27.785881,1.0
2017-04-20,17.297426550848286,3480.0,0,28.755103867656,28.467838,1.0
2017-04-21,17.297426550848286,3480.0,0,29.395200357861,28.545782,1.0
2017-04-24,17.297426550848286,3480.0,0,29.444438549415,28.596428,1.0
2017-04-25,17.297426550848286,3480.0,0,30.133773231174,29.11251,1.0
2017-04-26,17.297426550848286,3480.0,0,29.986058656511,29.355963,1.0
2017-04-27,100770.45451242889,0,-1,28.952056633873,29.4898,-1.0
2017-04-28,100770.45451242889,0,0,28.262721952114,29.468647,-1.0
2017-05-01,100770.45451242889,0,0,28.410436526777,28.177505,-1.0
2017-05-02,23.20600953713995,3540.0,1,28.459674718331,27.810589,1.0
2017-05-03,23.20600953713995,3540.0,0,27.819578228126,28.67964,1.0
2017-05-04,97981.6033427997,0,-1,27.671863653464,28.868553,-1.0
2017-05-05,97981.6033427997,0,0,28.115007377451,28.780807,-1.0
2017-05-08,2.5259690862635296,3618.0,1,27.081005354813,27.842104,1.0
2017-05-09,99763.04111323065,0,-1,27.573387270355,28.293526,-1.0
2017-05-10,0.16253589049046013,3536.0,1,28.21348376056,27.026619,1.0
2017-05-11,0.16253589049046013,3536.0,0,27.376434504138,27.056114,1.0
2017-05-12,94888.066243831,0,-1,26.834814397042,28.419603,-1.0
2017-05-15,94888.066243831,0,0,27.501499510686,27.853306,-1.0
2017-05-16,1.7373616767501971,3488.0,1,27.20364933548,27.459202,1.0
2017-05-17,94541.76577345931,0,-1,27.104365943745,27.904919,-1.0
2017-05-18,94541.76577345931,0,0,27.302932727215,27.500221,-1.0
2017-05-19,94541.76577345931,0,0,27.551141206554,27.05198,-1.0
2017-05-22,94541.76577345931,0,0,27.84899138176,26.970905,-1.0
2017-05-23,22.289023765864414,3394.0,1,27.84899138176,26.778374,1.0
2017-05-24,94204.79794190731,0,-1,27.749707990024,26.89169,-1.0
2017-05-25,3.3258959444395266,3413.0,1,27.600782902421,26.772213,1.0
2017-05-26,3.3258959444395266,3413.0,0,27.551141206554,27.428858,1.0
2017-05-30,3.3258959444395266,3413.0,0,27.898633077627,27.599041,1.0
2017-05-31,94882.50637389383,0,-1,27.799349685892,27.807026,-1.0
2017-06-01,24.771108559075856,3272.0,1,28.990750386716,27.634933,1.0
2017-06-02,24.771108559075856,3272.0,0,29.040392082584,28.15222,1.0
2017-06-05,93420.65771398277,0,-1,28.543975123907,28.916275,-1.0
2017-06-06,19.608372190110885,3384.0,1,27.600782902421,28.857666,1.0
2017-06-07,95268.52020096304,0,-1,28.146841556966,28.878082,-1.0
2017-06-08,95268.52020096304,0,0,28.494333428039,27.930622,-1.0
2017-06-09,4.914430214263234,3286.0,1,28.990750386716,27.869991,1.0
2017-06-12,4.914430214263234,3286.0,0,30.082867695805,28.795357,1.0
2017-06-13,4.914430214263234,3286.0,0,29.139675474319,29.414215,1.0
2017-06-14,95757.8880388265,0,-1,29.139675474319,30.004017,-1.0
2017-06-15,1.4395115035416097,3303.0,1,28.990750386716,29.185644,1.0
2017-06-16,95429.95499592579,0,-1,28.891466994981,29.244762,-1.0
2017-06-19,95429.95499592579,0,0,28.990750386716,28.896091,-1.0
2017-06-20,95429.95499592579,0,0,28.792183603245,28.821098,-1.0
2017-06-21,12.658534771854775,3314.0,1,28.792183603245,28.578547,1.0
2017-06-22,12.658534771854775,3314.0,0,28.990750386716,28.670094,1.0
2017-06-23,12.658534771854775,3314.0,0,29.487167345393,28.806797,1.0
2017-06-26,12.658534771854775,3314.0,0,29.586450737128,29.18391,1.0
2017-06-27,97897.64369750749,0,-1,29.53680904126,29.54274,-1.0
2017-06-28,10.126808282541198,3281.0,1,29.834659216466,29.399109,1.0
2017-06-29,96757.52286851697,0,-1,29.487167345393,29.404339,-1.0
2017-06-30,96757.52286851697,0,0,29.636092432996,28.909489,-1.0
2017-07-03,4.6662217390860405,3164.0,1,30.579284654481,28.668339,1.0
2017-07-05,4.6662217390860405,3164.0,0,29.884300912334,29.290794,1.0
2017-07-06,93302.06370256253,0,-1,29.487167345393,30.734642,-1.0
2017-07-07,93302.06370256253,0,0,29.53680904126,30.015394,-1.0
2017-07-10,93302.06370256253,0,0,28.792183603245,29.4609,-1.0
2017-07-11,93302.06370256253,0,0,28.643258515642,29.17292,-1.0
2017-07-12,24.324333302728206,3212.0,1,29.040392082584,27.9043,1.0
2017-07-13,24.324333302728206,3212.0,0,29.33824225779,28.604935,1.0
2017-07-14,24.324333302728206,3212.0,0,29.33824225779,28.93869,1.0
2017-07-17,24.324333302728206,3212.0,0,29.139675474319,29.352215,1.0
2017-07-18,93461.51282968734,0,-1,29.090033778451,29.386677,-1.0
2017-07-19,93461.51282968734,0,0,29.735375824731,29.142147,-1.0
2017-07-20,28.14674388334117,3111.0,1,30.033225999937,29.135489,1.0
2017-07-21,28.14674388334117,3111.0,0,30.529642958614,29.700977,1.0
2017-07-24,28.14674388334117,3111.0,0,30.331076175143,29.829142,1.0
2017-07-25,93615.94814553269,0,-1,30.082867695805,29.915684,-1.0
2017-07-26,93615.94814553269,0,0,29.983584304069,29.7762,-1.0
2017-07-27,93615.94814553269,0,0,29.933942608202,29.701757,-1.0
2017-07-28,24.373974999461872,3106.0,1,30.132509391672,29.5131,1.0
2017-07-31,24.373974999461872,3106.0,0,30.579284654481,29.76902,1.0
2017-08-01,95774.56764864127,0,-1,30.827493133819,29.89623,-1.0
2017-08-02,19.36016371481926,3157.0,1,30.331076175143,29.634851,1.0
2017-08-03,97028.31831947401,0,-1,30.728209742084,30.370579,-1.0
2017-08-04,18.814105059107227,3063.0,1,31.67140196357,30.21613,1.0
2017-08-07,18.814105059107227,3063.0,0,31.174985004893,30.492313,1.0
2017-08-08,95811.89820393067,0,-1,31.274268396628,31.599268,-1.0
2017-08-09,95811.89820393067,0,0,31.423193484231,31.50105,-1.0
2017-08-10,95811.89820393067,0,0,30.827493133819,31.28798,-1.0
2017-08-11,95811.89820393067,0,0,29.685734128863,31.251987,-1.0
2017-08-14,95811.89820393067,0,0,31.45,30.866951,-1.0
2017-08-15,30.648203930676466,3125.0,1,30.65,30.255943,1.0
2017-08-16,96124.39820393067,0,-1,30.75,31.633999,-1.0
2017-08-17,96124.39820393067,0,0,29.9,30.74296,-1.0
2017-08-18,96124.39820393067,0,0,28.95,30.559301,-1.0
2017-08-21,96124.39820393067,0,0,28.75,29.680168,-1.0
2017-08-22,18.398203930672025,3314.0,1,29.0,28.883291,1.0
2017-08-23,18.398203930672025,3314.0,0,28.8,29.083012,1.0
2017-08-24,18.398203930672025,3314.0,0,28.85,29.216267,1.0
2017-08-25,95295.89820393067,0,-1,28.75,29.255255,-1.0
2017-08-28,95295.89820393067,0,0,28.55,28.934734,-1.0
2017-08-29,95295.89820393067,0,0,28.25,28.694895,-1.0
2017-08-30,10.898203930672025,3230.0,1,29.5,28.186722,1.0
2017-08-31,10.898203930672025,3230.0,0,30.25,28.53785,1.0
2017-09-01,10.898203930672025,3230.0,0,30.6,28.955357,1.0
2017-09-05,10.898203930672025,3230.0,0,30.1,29.168896,1.0
2017-09-06,100140.89820393067,0,-1,31.0,29.648987,-1.0
2017-09-07,1.3982039306720253,3154.0,1,31.75,29.442392,1.0
2017-09-08,1.3982039306720253,3154.0,0,32.15,29.844746,1.0
2017-09-11,1.3982039306720253,3154.0,0,31.65,31.16377,1.0
2017-09-12,100140.89820393067,0,-1,31.75,32.049824,-1.0
2017-09-13,1.3982039306720253,3154.0,1,31.75,30.786095,1.0
2017-09-14,1.3982039306720253,3154.0,0,31.6,31.071323,1.0
