,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,0.30769037462749793,3352.0,0,0,29.832843767788,29.863121,
2017-01-04,0.30769037462749793,3352.0,0,0,29.979562671564,30.343462,1.0
2017-01-05,195409.54249868746,0,3352.0,-1,29.148155550166,30.433489,-1.0
2017-01-06,195409.54249868746,0,3352.0,0,28.952530345132,29.92498,-1.0
2017-01-09,195409.54249868746,0,3352.0,0,28.365654730028,28.933874,-1.0
2017-01-10,195409.54249868746,0,3352.0,0,28.316748428769,28.577757,-1.0
2017-01-11,22.9024015560113,3454.0,0,1,28.707998838838,28.038525,1.0
2017-01-12,22.9024015560113,3454.0,0,0,28.218935826252,28.18635,1.0
2017-01-13,22.9024015560113,3454.0,0,0,29.050342947649,28.760265,1.0
2017-01-17,22.9024015560113,3454.0,0,0,28.610186236321,28.8222,1.0
2017-01-18,22.9024015560113,3454.0,0,0,28.903624043873,29.235222,1.0
2017-01-19,193270.0874438259,0,3454.0,-1,27.974404319958,29.387947,-1.0
2017-01-20,193270.0874438259,0,3454.0,0,28.072216922476,29.056625,-1.0
2017-01-23,193270.0874438259,0,3454.0,0,28.023310621217,27.72414,-1.0
2017-01-24,22.11990073616012,3045.0,0,1,29.73503116527,27.665947,1.0
2017-01-25,22.11990073616012,3045.0,0,0,31.251126504289,28.1459,1.0
2017-01-26,22.11990073616012,3045.0,0,0,31.520111161212,29.613688,1.0
2017-01-27,22.11990073616012,3045.0,0,0,31.5934706131,30.975319,1.0
2017-01-30,22.11990073616012,3045.0,0,0,31.544564311841,31.632626,1.0
2017-01-31,193915.55280783953,0,3045.0,-1,31.838002119393,31.898973,-1.0
2017-02-01,193915.55280783953,0,3045.0,0,32.473784035756,31.66177,-1.0
2017-02-02,12.8277034954018,2743.0,0,1,33.500816362188,31.587227,1.0
2017-02-03,12.8277034954018,2743.0,0,0,33.79425416974,31.841625,1.0
2017-02-06,12.8277034954018,2743.0,0,0,32.816128144567,33.331245,1.0
2017-02-07,176822.5070801294,0,2743.0,-1,32.229252529463,33.812138,-1.0
2017-02-08,176822.5070801294,0,2743.0,0,31.397845408065,33.280575,-1.0
2017-02-09,176822.5070801294,0,2743.0,0,32.669409240791,32.555622,-1.0
2017-02-10,8.621761590894792,2637.0,0,1,32.865034445825,31.244446,1.0
2017-02-13,8.621761590894792,2637.0,0,0,33.06065965086,32.297398,1.0
2017-02-14,8.621761590894792,2637.0,0,0,32.718315542049,32.362324,1.0
2017-02-15,175144.33625874115,0,2637.0,-1,33.207378554636,32.87227,-1.0
2017-02-16,12.7298908947852,2676.0,0,1,32.962847048343,32.355106,1.0
2017-02-17,174859.4081476082,0,2676.0,-1,32.669409240791,33.005558,-1.0
2017-02-21,174859.4081476082,0,2676.0,0,33.109565952119,32.879528,-1.0
2017-02-22,174859.4081476082,0,2676.0,0,32.913940747084,32.81383,-1.0
2017-02-23,174859.4081476082,0,2676.0,0,32.620502939532,32.787918,-1.0
2017-02-24,1.5792542096364457,2613.0,0,1,33.06065965086,32.381,1.0
2017-02-27,1.5792542096364457,2613.0,0,0,32.940350149764,32.41264,1.0
2017-02-28,167516.11093375372,0,2613.0,-1,32.054062701788,32.711246,-1.0
2017-03-01,167516.11093375372,0,2613.0,0,32.694159191993,32.642838,-1.0
2017-03-02,11.42689252139876,2645.0,0,1,31.857109935571,31.935165,1.0
2017-03-03,169056.4785183333,0,2645.0,-1,31.955586318679,32.278435,-1.0
2017-03-06,169056.4785183333,0,2645.0,0,31.758633552463,31.552244,-1.0
2017-03-07,8.423362832820985,2796.0,0,1,31.069298870704,31.347012,1.0
2017-03-08,168516.48327155784,0,2796.0,-1,30.133773231174,31.81687,-1.0
2017-03-09,168516.48327155784,0,2796.0,0,29.690629507186,31.509808,-1.0
2017-03-10,168516.48327155784,0,2796.0,0,30.08453503962,30.980347,-1.0
2017-03-13,168516.48327155784,0,2796.0,0,29.641391315632,30.145378,-1.0
2017-03-14,168516.48327155784,0,2796.0,0,29.592153124078,29.970491,-1.0
2017-03-15,8.423362832831671,2796.0,0,1,30.133773231174,29.695047,1.0
2017-03-16,8.423362832831671,2796.0,0,0,30.478440572053,29.770802,1.0
2017-03-17,8.423362832831671,2796.0,0,0,30.872346104487,30.014431,1.0
2017-03-20,8.423362832831671,2796.0,0,0,29.838344081849,30.401722,1.0
2017-03-21,162183.66402662062,0,2796.0,-1,29.001294825427,30.92339,-1.0
2017-03-22,162183.66402662062,0,2796.0,0,28.952056633873,29.791935,-1.0
2017-03-23,10.343652301480319,2721.0,0,1,29.395200357861,29.041939,1.0
2017-03-24,10.343652301480319,2721.0,0,0,29.050533016981,29.254108,1.0
2017-03-27,159443.11552290188,0,2721.0,-1,29.296723974752,29.406752,-1.0
2017-03-28,10.343652301499574,2721.0,0,1,29.296723974752,29.070122,1.0
2017-03-29,161050.84095353397,0,2721.0,-1,29.592153124078,29.516598,-1.0
2017-03-30,16.547664438602713,2667.0,0,1,29.887582273403,29.136015,1.0
2017-03-31,16.547664438602713,2667.0,0,0,30.035296848065,29.39455,1.0
2017-04-03,16.547664438602713,2667.0,0,0,28.656627484548,29.502855,1.0
2017-04-04,154972.09077701526,0,2667.0,-1,29.050533016981,29.52164,-1.0
2017-04-05,20.979101677915146,2854.0,0,1,28.065769185897,28.8046,1.0
2017-04-06,166403.52475739166,0,2854.0,-1,29.14900940009,29.496178,-1.0
2017-04-07,23.14558210596428,2952.0,0,1,28.656627484548,28.86053,1.0
2017-04-10,173572.4084949173,0,2952.0,-1,29.395200357861,29.168854,-1.0
2017-04-11,2.120874314724226,2933.0,0,1,29.493676740969,29.05854,1.0
2017-04-12,166080.07907707122,0,2933.0,-1,28.311960143668,29.560957,-1.0
2017-04-13,166080.07907707122,0,2933.0,0,27.86881641968,29.351704,-1.0
2017-04-17,166080.07907707122,0,2933.0,0,28.164245569006,28.188374,-1.0
2017-04-18,9.802032198095048,3026.0,0,1,27.86881641968,27.30648,1.0
2017-04-19,9.802032198095048,3026.0,0,0,28.361198335222,27.745022,1.0
2017-04-20,9.802032198095048,3026.0,0,0,28.755103867656,28.215557,1.0
2017-04-21,9.802032198095048,3026.0,0,0,29.395200357861,28.608646,1.0
2017-04-24,9.802032198095048,3026.0,0,0,29.444438549415,28.850067,1.0
2017-04-25,9.802032198095048,3026.0,0,0,30.133773231174,29.51856,1.0
2017-04-26,9.802032198095048,3026.0,0,0,29.986058656511,29.521545,1.0
2017-04-27,175227.6487803975,0,3026.0,-1,28.952056633873,29.841848,-1.0
2017-04-28,175227.6487803975,0,3026.0,0,28.262721952114,29.636612,-1.0
2017-05-01,175227.6487803975,0,3026.0,0,28.410436526777,28.714417,-1.0
2017-05-02,1.4315396335150297,3131.0,0,1,28.459674718331,28.11596,1.0
2017-05-03,174207.63040415852,0,3131.0,-1,27.819578228126,28.853718,-1.0
2017-05-04,174207.63040415852,0,3131.0,0,27.671863653464,28.784828,-1.0
2017-05-05,174207.63040415852,0,3131.0,0,28.115007377451,28.630169,-1.0
2017-05-08,22.603962001302918,3301.0,0,1,27.081005354813,27.8484,1.0
2017-05-09,182062.106720885,0,3301.0,-1,27.573387270355,28.199785,-1.0
2017-05-10,182062.106720885,0,3301.0,0,28.21348376056,27.038754,-1.0
2017-05-11,8.817268367304397,3349.0,0,1,27.376434504138,26.803692,1.0
2017-05-12,179748.4040997546,0,3349.0,-1,26.834814397042,27.99279,-1.0
2017-05-15,179748.4040997546,0,3349.0,0,27.501499510686,27.801632,-1.0
2017-05-16,13.892940238234772,3258.0,0,1,27.20364933548,27.360023,1.0
2017-05-17,176625.94142968068,0,3258.0,-1,27.104365943745,28.079414,-1.0
2017-05-18,176625.94142968068,0,3258.0,0,27.302932727215,27.653034,-1.0
2017-05-19,176625.94142968068,0,3258.0,0,27.551141206554,27.326351,-1.0
2017-05-22,7.638086558755447,3084.0,0,1,27.84899138176,27.26064,1.0
2017-05-23,171780.21692925444,0,3084.0,-1,27.84899138176,27.340027,-1.0
2017-05-24,9.524471005891726,3106.0,0,1,27.749707990024,27.320757,1.0
2017-05-25,9.524471005891726,3106.0,0,0,27.600782902421,27.324875,1.0
2017-05-26,9.524471005891726,3106.0,0,0,27.551141206554,27.645405,1.0
2017-05-30,9.524471005891726,3106.0,0,0,27.898633077627,27.942726,1.0
2017-05-31,9.524471005891726,3106.0,0,0,27.799349685892,27.973362,1.0
2017-06-01,9.524471005891726,3106.0,0,0,28.990750386716,28.03463,1.0
2017-06-02,9.524471005891726,3106.0,0,0,29.040392082584,28.328712,1.0
2017-06-05,177324.69794071617,0,3106.0,-1,28.543975123907,29.226734,-1.0
2017-06-06,177324.69794071617,0,3106.0,0,27.600782902421,29.073505,-1.0
2017-06-07,177324.69794071617,0,3106.0,0,28.146841556966,29.050987,-1.0
2017-06-08,177324.69794071617,0,3106.0,0,28.494333428039,27.998549,-1.0
2017-06-09,17.26857556110224,3010.0,0,1,28.990750386716,27.842533,1.0
2017-06-12,17.26857556110224,3010.0,0,0,30.082867695805,28.61623,1.0
2017-06-13,17.26857556110224,3010.0,0,0,29.139675474319,29.417797,1.0
2017-06-14,175438.11493096146,0,3010.0,-1,29.139675474319,30.063229,-1.0
2017-06-15,175438.11493096146,0,3010.0,0,28.990750386716,29.498144,-1.0
2017-06-16,175438.11493096146,0,3010.0,0,28.891466994981,29.457508,-1.0
2017-06-19,175438.11493096146,0,3010.0,0,28.990750386716,29.026665,-1.0
2017-06-20,175438.11493096146,0,3010.0,0,28.792183603245,28.673086,-1.0
2017-06-21,7.340236389664788,3083.0,0,1,28.792183603245,28.663513,1.0
2017-06-22,7.340236389664788,3083.0,0,0,28.990750386716,28.83836,1.0
2017-06-23,7.340236389664788,3083.0,0,0,29.487167345393,29.00652,1.0
2017-06-26,7.340236389664788,3083.0,0,0,29.586450737128,29.208858,1.0
2017-06-27,182131.30478479882,0,3083.0,-1,29.53680904126,29.57944,-1.0
2017-06-28,20.54492749035257,3021.0,0,1,29.834659216466,29.405752,1.0
2017-06-29,178182.01002835485,0,3021.0,-1,29.487167345393,29.615915,-1.0
2017-06-30,178182.01002835485,0,3021.0,0,29.636092432996,29.402988,-1.0
2017-07-03,27.097631348550465,2805.0,0,1,30.579284654481,29.114212,1.0
2017-07-05,27.097631348550465,2805.0,0,0,29.884300912334,29.589191,1.0
2017-07-06,165450.10643900326,0,2805.0,-1,29.487167345393,30.91864,-1.0
2017-07-07,165450.10643900326,0,2805.0,0,29.53680904126,30.28535,-1.0
2017-07-10,165450.10643900326,0,2805.0,0,28.792183603245,29.860783,-1.0
2017-07-11,165450.10643900326,0,2805.0,0,28.643258515642,29.692057,-1.0
2017-07-12,6.992744522219397,2892.0,0,1,29.040392082584,28.440704,1.0
2017-07-13,6.992744522219397,2892.0,0,0,29.33824225779,28.57449,1.0
2017-07-14,6.992744522219397,2892.0,0,0,29.33824225779,29.011532,1.0
2017-07-17,6.992744522219397,2892.0,0,0,29.139675474319,29.303188,1.0
2017-07-18,168263.74811908283,0,2892.0,-1,29.090033778451,29.47436,-1.0
2017-07-19,168263.74811908283,0,2892.0,0,29.735375824731,29.29047,-1.0
2017-07-20,17.616067435759554,2710.0,0,1,30.033225999937,29.1834,1.0
2017-07-21,17.616067435759554,2710.0,0,0,30.529642958614,29.759834,1.0
2017-07-24,17.616067435759554,2710.0,0,0,30.331076175143,30.14948,1.0
2017-07-25,163066.75897869887,0,2710.0,-1,30.082867695805,30.387932,-1.0
2017-07-26,163066.75897869887,0,2710.0,0,29.983584304069,30.354694,-1.0
2017-07-27,163066.75897869887,0,2710.0,0,29.933942608202,30.268513,-1.0
2017-07-28,19.75066036167934,2701.0,0,1,30.132509391672,29.880703,1.0
2017-07-31,19.75066036167934,2701.0,0,0,30.579284654481,29.990898,1.0
2017-08-01,19.75066036167934,2701.0,0,0,30.827493133819,30.18426,1.0
2017-08-02,19.75066036167934,2701.0,0,0,30.331076175143,30.188993,1.0
2017-08-03,166013.53968709946,0,2701.0,-1,30.728209742084,30.74585,-1.0
2017-08-04,166013.53968709946,0,2701.0,0,31.67140196357,30.50453,-1.0
2017-08-07,6.744536044235474,2624.0,0,1,31.174985004893,30.487087,1.0
2017-08-08,164134.10508154798,0,2624.0,-1,31.274268396628,31.525322,-1.0
2017-08-09,164134.10508154798,0,2624.0,0,31.423193484231,31.467062,-1.0
2017-08-10,8.531637095623395,2700.0,0,1,30.827493133819,31.32021,1.0
2017-08-11,160311.49593295582,0,2700.0,-1,29.685734128863,31.392086,-1.0
2017-08-14,160311.49593295582,0,2700.0,0,31.45,30.952831,-1.0
2017-08-15,11.995932955822312,2530.0,0,1,30.65,30.07811,1.0
