,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,0.30769037462749793,3352.0,0,0,29.832843767788,29.952955,
2017-01-04,200983.29584053968,0,3352.0,-1,29.979562671564,30.22882,-1.0
2017-01-05,200983.29584053968,0,3352.0,0,29.148155550166,30.222754,-1.0
2017-01-06,200983.29584053968,0,3352.0,0,28.952530345132,29.559776,-1.0
2017-01-09,200983.29584053968,0,3352.0,0,28.365654730028,28.661627,-1.0
2017-01-10,200983.29584053968,0,3352.0,0,28.316748428769,28.336042,-1.0
2017-01-11,27.30396867366062,3648.0,0,1,28.707998838838,27.976868,1.0
2017-01-12,27.30396867366062,3648.0,0,0,28.218935826252,28.199646,1.0
2017-01-13,211978.60611472075,0,3648.0,-1,29.050342947649,28.914925,-1.0
2017-01-17,5.736289818473949,3761.0,0,1,28.610186236321,28.86112,1.0
2017-01-18,5.736289818473949,3761.0,0,0,28.903624043873,29.306816,1.0
2017-01-19,210429.20558454256,0,3761.0,-1,27.974404319958,29.30713,-1.0
2017-01-20,210429.20558454256,0,3761.0,0,28.072216922476,29.165882,-1.0
2017-01-23,2.166129824113483,3748.0,0,1,28.023310621217,27.677517,1.0
2017-01-24,2.166129824113483,3748.0,0,0,29.73503116527,27.762398,1.0
2017-01-25,2.166129824113483,3748.0,0,0,31.251126504289,28.20728,1.0
2017-01-26,2.166129824113483,3748.0,0,0,31.520111161212,29.755585,1.0
2017-01-27,2.166129824113483,3748.0,0,0,31.5934706131,30.693062,1.0
2017-01-30,2.166129824113483,3748.0,0,0,31.544564311841,31.121805,1.0
2017-01-31,238659.83001679403,0,3748.0,-1,31.838002119393,31.209028,-1.0
2017-02-01,238659.83001679403,0,3748.0,0,32.473784035756,31.019487,-1.0
2017-02-02,0.014252566733716776,3376.0,0,1,33.500816362188,30.951622,1.0
2017-02-03,0.014252566733716776,3376.0,0,0,33.79425416974,31.270388,1.0
2017-02-06,0.014252566733716776,3376.0,0,0,32.816128144567,32.79324,1.0
2017-02-07,217611.9273315009,0,3376.0,-1,32.229252529463,33.28919,-1.0
2017-02-08,217611.9273315009,0,3376.0,0,31.397845408065,33.037098,-1.0
2017-02-09,217611.9273315009,0,3376.0,0,32.669409240791,32.678062,-1.0
2017-02-10,12.534265693541627,3245.0,0,1,32.865034445825,31.939018,1.0
2017-02-13,214576.21539977496,0,3245.0,-1,33.06065965086,33.26508,-1.0
