,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,29.832843767788,29.717678,
2017-01-04,100000,0,0,0,29.979562671564,30.343771,0.0
2017-01-05,100000,0,0,0,29.148155550166,30.404457,0.0
2017-01-06,100000,0,0,0,28.952530345132,29.73258,0.0
2017-01-09,100000,0,0,0,28.365654730028,28.96377,0.0
2017-01-10,100000,0,0,0,28.316748428769,28.917398,0.0
2017-01-11,100000,0,0,0,28.707998838838,28.282164,0.0
2017-01-12,100000,0,0,0,28.218935826252,28.4033,0.0
2017-01-13,100000,0,0,0,29.050342947649,28.762262,0.0
2017-01-17,100000,0,0,0,28.610186236321,28.881445,0.0
2017-01-18,100000,0,0,0,28.903624043873,29.076527,0.0
2017-01-19,100000,0,0,0,27.974404319958,29.438148,0.0
2017-01-20,199993.2366778595,0,3562.0,-1,28.072216922476,29.034964,-1.0
2017-01-23,199993.2366778595,0,3562.0,0,28.023310621217,27.770803,0.0
2017-01-24,199993.2366778595,0,3562.0,0,29.73503116527,27.849068,0.0
2017-01-25,88676.72406958208,0,0,1,31.251126504289,28.405714,1.0
2017-01-26,88676.72406958208,0,0,1,31.520111161212,29.533278,1.0
2017-01-27,88676.72406958208,0,0,0,31.5934706131,30.485294,0.0
2017-01-30,88676.72406958208,0,0,0,31.544564311841,31.255524,0.0
2017-01-31,88676.72406958208,0,0,0,31.838002119393,31.634089,0.0
2017-02-01,88676.72406958208,0,0,0,32.473784035756,31.573221,0.0
2017-02-02,88676.72406958208,0,0,0,33.500816362188,31.453323,0.0
2017-02-03,88676.72406958208,0,0,1,33.79425416974,31.743486,1.0
2017-02-06,88676.72406958208,0,0,0,32.816128144567,33.165245,0.0
2017-02-07,88676.72406958208,0,0,0,32.229252529463,33.669388,0.0
2017-02-08,88676.72406958208,0,0,0,31.397845408065,33.437992,0.0
2017-02-09,177341.50074908885,0,2714.0,-1,32.669409240791,32.98805,-1.0
2017-02-10,177341.50074908885,0,2714.0,0,32.865034445825,31.989748,0.0
2017-02-13,177341.50074908885,0,2714.0,0,33.06065965086,32.692226,0.0
2017-02-14,177341.50074908885,0,2714.0,0,32.718315542049,32.164043,0.0
2017-02-15,177341.50074908885,0,2714.0,0,33.207378554636,32.519802,0.0
2017-02-16,87880.33385988596,0,0,1,32.962847048343,32.35917,1.0
2017-02-17,87880.33385988596,0,0,0,32.669409240791,33.553158,0.0
2017-02-21,87880.33385988596,0,0,0,33.109565952119,33.37465,0.0
2017-02-22,87880.33385988596,0,0,0,32.913940747084,33.195084,0.0
2017-02-23,87880.33385988596,0,0,0,32.620502939532,32.40908,0.0
2017-02-24,87880.33385988596,0,0,0,33.06065965086,31.931635,0.0
2017-02-27,87880.33385988596,0,0,0,32.940350149764,32.11161,0.0
2017-02-28,87880.33385988596,0,0,0,32.054062701788,32.9507,0.0
2017-03-01,87880.33385988596,0,0,0,32.694159191993,33.137306,0.0
2017-03-02,87880.33385988596,0,0,0,31.857109935571,32.341114,0.0
2017-03-03,175758.1962362532,0,2750.0,-1,31.955586318679,32.31861,-1.0
2017-03-06,175758.1962362532,0,2750.0,0,31.758633552463,31.225342,0.0
2017-03-07,175758.1962362532,0,2750.0,0,31.069298870704,31.097622,0.0
2017-03-08,175758.1962362532,0,2750.0,0,30.133773231174,31.760317,0.0
2017-03-09,175758.1962362532,0,2750.0,0,29.690629507186,31.832542,0.0
2017-03-10,175758.1962362532,0,2750.0,0,30.08453503962,31.499977,-1.0
2017-03-13,175758.1962362532,0,2750.0,0,29.641391315632,30.173199,0.0
2017-03-14,175758.1962362532,0,2750.0,0,29.592153124078,30.09107,0.0
