,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,38.93,39.825462,
2017-01-04,100000,0,0,39.66,39.420967,-1.0
2017-01-05,28.639999999997812,2566.0,1,38.96,37.777317,1.0
2017-01-06,28.639999999997812,2566.0,0,38.62,39.65047,1.0
2017-01-09,98691.34000000001,0,-1,38.45,41.434235,-1.0
2017-01-10,98691.34000000001,0,0,38.36,40.5386,-1.0
2017-01-11,21.34000000001106,2530.0,1,39.0,39.10785,1.0
2017-01-12,97476.94000000002,0,-1,38.52,39.24985,-1.0
2017-01-13,97476.94000000002,0,0,38.81,39.227722,-1.0
2017-01-17,97476.94000000002,0,0,37.8,38.791035,-1.0
2017-01-18,97476.94000000002,0,0,37.95,38.236362,-1.0
2017-01-19,10.330000000025649,2571.0,1,37.91,37.23776,1.0
2017-01-20,100742.11000000003,0,-1,39.18,37.655144,-1.0
2017-01-23,17.980000000034053,2561.0,1,39.33,37.200417,1.0
2017-01-24,17.980000000034053,2561.0,0,39.58,38.20799,1.0
2017-01-25,17.980000000034053,2561.0,0,39.67,39.169308,1.0
2017-01-26,100537.23000000004,0,-1,39.25,39.301445,-1.0
2017-01-27,7.140000000042477,2547.0,1,39.47,38.83498,1.0
2017-01-30,7.140000000042477,2547.0,0,37.87,39.129807,1.0
2017-01-31,98117.58000000005,0,-1,38.52,39.195015,-1.0
2017-02-01,33.930000000049056,2571.0,1,38.15,37.863235,1.0
2017-02-02,98400.39000000004,0,-1,38.26,38.58577,-1.0
2017-02-03,24.790000000039498,2516.0,1,39.1,37.851402,1.0
2017-02-06,24.790000000039498,2516.0,0,36.97,38.86211,1.0
2017-02-07,92990.99000000005,0,-1,36.95,39.108356,-1.0
2017-02-08,92990.99000000005,0,0,35.38,37.486458,-1.0
2017-02-09,92990.99000000005,0,0,32.57,37.342926,-1.0
2017-02-10,92990.99000000005,0,0,33.97,35.708656,-1.0
2017-02-13,20.870000000041927,2724.0,1,34.13,33.541374,1.0
2017-02-14,20.870000000041927,2724.0,0,33.76,33.651436,1.0
2017-02-15,92636.87000000004,0,-1,34.0,34.427563,-1.0
2017-02-16,10.700000000034308,2751.0,1,33.67,33.903915,1.0
2017-02-17,91206.35000000003,0,-1,33.15,34.273148,-1.0
2017-02-21,91206.35000000003,0,0,31.71,33.466217,-1.0
2017-02-22,91206.35000000003,0,0,30.89,32.71956,-1.0
2017-02-23,91206.35000000003,0,0,30.86,31.511185,-1.0
2017-02-24,10.7600000000396,2991.0,1,30.49,30.646454,1.0
2017-02-27,85822.55000000005,0,-1,28.69,30.783367,-1.0
2017-02-28,85822.55000000005,0,0,27.08,30.678307,-1.0
2017-03-01,85822.55000000005,0,0,27.3,29.849977,-1.0
2017-03-02,85822.55000000005,0,0,27.1,27.93759,-1.0
2017-03-03,85822.55000000005,0,0,25.81,27.6204,-1.0
2017-03-06,85822.55000000005,0,0,26.51,27.2396,-1.0
2017-03-07,10.390000000041027,3248.0,1,26.42,25.845516,1.0
2017-03-08,10.390000000041027,3248.0,0,26.34,26.52538,1.0
2017-03-09,10.390000000041027,3248.0,0,26.22,26.59026,1.0
