,presupuesto,acciones,estado,valor,pred,dif
2017-01-03,100000,0,0,38.93,39.64122,
2017-01-04,100000,0,0,39.66,38.4464,-1.0
2017-01-05,28.639999999997812,2566.0,1,38.96,36.898987,1.0
2017-01-06,28.639999999997812,2566.0,0,38.62,40.923374,0.0
2017-01-09,28.639999999997812,2566.0,0,38.45,40.374752,0.0
2017-01-10,28.639999999997812,2566.0,0,38.36,39.249603,0.0
2017-01-11,28.639999999997812,2566.0,0,39.0,38.395992,0.0
2017-01-12,28.639999999997812,2566.0,0,38.52,38.70543,0.0
2017-01-13,28.639999999997812,2566.0,0,38.81,38.576153,0.0
2017-01-17,28.639999999997812,2566.0,0,37.8,37.83061,0.0
2017-01-18,28.639999999997812,2566.0,0,37.95,37.471565,0.0
2017-01-19,28.639999999997812,2566.0,0,37.91,37.009144,1.0
2017-01-20,28.639999999997812,2566.0,0,39.18,38.29782,0.0
2017-01-23,28.639999999997812,2566.0,0,39.33,38.006886,0.0
2017-01-24,28.639999999997812,2566.0,0,39.58,38.675175,0.0
2017-01-25,28.639999999997812,2566.0,0,39.67,39.420033,0.0
2017-01-26,28.639999999997812,2566.0,0,39.25,39.30751,0.0
2017-01-27,28.639999999997812,2566.0,0,39.47,39.01282,0.0
2017-01-30,28.639999999997812,2566.0,0,37.87,39.493687,0.0
2017-01-31,98870.96,0,-1,38.52,39.493507,-1.0
2017-02-01,98870.96,0,0,38.15,38.21186,0.0
2017-02-02,98870.96,0,0,38.26,38.107086,0.0
2017-02-03,98870.96,0,0,39.1,37.657997,0.0
2017-02-06,98870.96,0,0,36.97,38.116043,0.0
2017-02-07,98870.96,0,0,36.95,38.85871,-1.0
2017-02-08,98870.96,0,0,35.38,37.412277,0.0
2017-02-09,98870.96,0,0,32.57,37.160828,-1.0
2017-02-10,98870.96,0,0,33.97,35.742947,-1.0
2017-02-13,98870.96,0,0,34.13,33.648296,0.0
2017-02-14,98870.96,0,0,33.76,33.65715,0.0
2017-02-15,98870.96,0,0,34.0,34.29185,0.0
2017-02-16,98870.96,0,0,33.67,33.722553,0.0
2017-02-17,98870.96,0,0,33.15,34.078205,0.0
2017-02-21,98870.96,0,0,31.71,33.440166,0.0
2017-02-22,98870.96,0,0,30.89,33.038662,-1.0
2017-02-23,98870.96,0,0,30.86,31.8047,0.0
2017-02-24,98870.96,0,0,30.49,30.855356,0.0
2017-02-27,98870.96,0,0,28.69,30.89695,0.0
2017-02-28,98870.96,0,0,27.08,30.491701,0.0
2017-03-01,98870.96,0,0,27.3,30.15502,-1.0
2017-03-02,98870.96,0,0,27.1,28.356041,0.0
2017-03-03,98870.96,0,0,25.81,28.141302,0.0
2017-03-06,98870.96,0,0,26.51,27.71819,-1.0
2017-03-07,98870.96,0,0,26.42,25.908457,0.0
2017-03-08,98870.96,0,0,26.34,25.511106,0.0
2017-03-09,21.56000000001069,3770.0,1,26.22,25.58118,1.0
2017-03-10,21.56000000001069,3770.0,0,26.3,26.424025,1.0
2017-03-13,21.56000000001069,3770.0,0,25.98,27.639631,0.0
2017-03-14,21.56000000001069,3770.0,0,25.62,27.60269,0.0
2017-03-15,21.56000000001069,3770.0,0,25.89,26.950611,0.0
2017-03-16,21.56000000001069,3770.0,0,26.27,26.29018,0.0
2017-03-17,21.56000000001069,3770.0,0,26.25,25.504263,0.0
2017-03-20,21.56000000001069,3770.0,0,26.54,25.112139,0.0
2017-03-21,21.56000000001069,3770.0,0,25.66,24.994408,1.0
2017-03-22,21.56000000001069,3770.0,0,25.63,26.279648,0.0
2017-03-23,21.56000000001069,3770.0,0,25.76,26.28668,0.0
2017-03-24,21.56000000001069,3770.0,0,25.94,25.891207,0.0
