,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,27.76000000000073,2568.0,0,0,38.93,38.48995,
2017-01-04,203721.51999999996,0,2568.0,-1,39.66,38.310295,-1.0
2017-01-05,38.639999999959315,2660.0,0,1,38.96,36.812134,1.0
2017-01-06,38.639999999959315,2660.0,0,0,38.62,40.006138,1.0
2017-01-09,204631.08999999997,0,2661.0,-1,38.45,40.774036,-1.0
2017-01-10,204631.08999999997,0,2661.0,0,38.36,39.822525,-1.0
2017-01-11,204631.08999999997,0,2661.0,0,39.0,39.79756,-1.0
2017-01-12,12.849999999957952,2651.0,0,1,38.52,39.03245,1.0
2017-01-13,205783.46999999997,0,2651.0,-1,38.81,39.194096,-1.0
2017-01-17,205783.46999999997,0,2651.0,0,37.8,38.57341,-1.0
2017-01-18,18.569999999952543,2771.0,0,1,37.95,37.66928,1.0
2017-01-19,18.569999999952543,2771.0,0,0,37.91,37.7644,1.0
2017-01-20,217154.12999999995,0,2771.0,-1,39.18,37.77562,-1.0
2017-01-23,13.199999999958123,2750.0,0,1,39.33,37.400055,1.0
2017-01-24,13.199999999958123,2750.0,0,0,39.58,38.15911,1.0
2017-01-25,13.199999999958123,2750.0,0,0,39.67,39.131832,1.0
2017-01-26,215888.19999999995,0,2750.0,-1,39.25,39.3447,-1.0
2017-01-27,215888.19999999995,0,2750.0,0,39.47,38.87578,-1.0
2017-01-30,215888.19999999995,0,2750.0,0,37.87,38.652042,-1.0
2017-01-31,215888.19999999995,0,2750.0,0,38.52,38.463764,-1.0
2017-02-01,215888.19999999995,0,2750.0,0,38.15,37.79579,-1.0
2017-02-02,25.279999999959188,2892.0,0,1,38.26,37.339188,1.0
2017-02-03,25.279999999959188,2892.0,0,0,39.1,37.341724,1.0
2017-02-06,25.279999999959188,2892.0,0,0,36.97,37.661755,1.0
2017-02-07,213744.07999999996,0,2892.0,-1,36.95,38.576733,-1.0
2017-02-08,213744.07999999996,0,2892.0,0,35.38,37.435356,-1.0
2017-02-09,213744.07999999996,0,2892.0,0,32.57,37.111294,-1.0
2017-02-10,213744.07999999996,0,2892.0,0,33.97,36.008053,-1.0
2017-02-13,22.019999999943067,3370.0,0,1,34.13,33.618065,1.0
2017-02-14,22.019999999943067,3370.0,0,0,33.76,33.813374,1.0
2017-02-15,229182.01999999996,0,3370.0,-1,34.0,34.25089,-1.0
2017-02-16,23.999999999945828,3436.0,0,1,33.67,33.916946,1.0
