,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,27.76000000000073,2568.0,0,0,38.93,39.825462,
2017-01-04,203721.51999999996,0,2568.0,-1,39.66,39.420967,-1.0
2017-01-05,38.639999999959315,2660.0,0,1,38.96,37.777317,1.0
2017-01-06,38.639999999959315,2660.0,0,0,38.62,39.65047,1.0
2017-01-09,38.639999999959315,2660.0,0,0,38.45,41.434235,0.0
2017-01-10,204152.19999999995,0,2661.0,-1,38.36,40.5386,-1.0
2017-01-11,204152.19999999995,0,2661.0,0,39.0,39.10785,0.0
2017-01-12,204152.19999999995,0,2661.0,0,38.52,39.24985,0.0
2017-01-13,204152.19999999995,0,2661.0,0,38.81,39.227722,0.0
2017-01-17,204152.19999999995,0,2661.0,0,37.8,38.791035,0.0
2017-01-18,204152.19999999995,0,2661.0,0,37.95,38.236362,0.0
2017-01-19,204152.19999999995,0,2661.0,0,37.91,37.23776,0.0
2017-01-20,204152.19999999995,0,2661.0,0,39.18,37.655144,0.0
2017-01-23,204152.19999999995,0,2661.0,0,39.33,37.200417,0.0
2017-01-24,204152.19999999995,0,2661.0,0,39.58,38.20799,0.0
2017-01-25,204152.19999999995,0,2661.0,0,39.67,39.169308,0.0
2017-01-26,204152.19999999995,0,2661.0,0,39.25,39.301445,0.0
2017-01-27,204152.19999999995,0,2661.0,0,39.47,38.83498,0.0
2017-01-30,204152.19999999995,0,2661.0,0,37.87,39.129807,0.0
2017-01-31,204152.19999999995,0,2661.0,0,38.52,39.195015,-1.0
2017-02-01,204152.19999999995,0,2661.0,0,38.15,37.863235,0.0
2017-02-02,204152.19999999995,0,2661.0,0,38.26,38.58577,0.0
2017-02-03,204152.19999999995,0,2661.0,0,39.1,37.851402,0.0
2017-02-06,204152.19999999995,0,2661.0,0,36.97,38.86211,0.0
2017-02-07,204152.19999999995,0,2661.0,0,36.95,39.108356,-1.0
2017-02-08,204152.19999999995,0,2661.0,0,35.38,37.486458,0.0
2017-02-09,204152.19999999995,0,2661.0,0,32.57,37.342926,-1.0
2017-02-10,204152.19999999995,0,2661.0,0,33.97,35.708656,-1.0
2017-02-13,204152.19999999995,0,2661.0,0,34.13,33.541374,0.0
2017-02-14,204152.19999999995,0,2661.0,0,33.76,33.651436,0.0
2017-02-15,204152.19999999995,0,2661.0,0,34.0,34.427563,0.0
2017-02-16,204152.19999999995,0,2661.0,0,33.67,33.903915,0.0
2017-02-17,204152.19999999995,0,2661.0,0,33.15,34.273148,0.0
2017-02-21,204152.19999999995,0,2661.0,0,31.71,33.466217,0.0
2017-02-22,204152.19999999995,0,2661.0,0,30.89,32.71956,-1.0
2017-02-23,204152.19999999995,0,2661.0,0,30.86,31.511185,0.0
2017-02-24,204152.19999999995,0,2661.0,0,30.49,30.646454,0.0
2017-02-27,204152.19999999995,0,2661.0,0,28.69,30.783367,0.0
2017-02-28,204152.19999999995,0,2661.0,0,27.08,30.678307,0.0
2017-03-01,204152.19999999995,0,2661.0,0,27.3,29.849977,-1.0
2017-03-02,204152.19999999995,0,2661.0,0,27.1,27.93759,0.0
2017-03-03,204152.19999999995,0,2661.0,0,25.81,27.6204,0.0
2017-03-06,204152.19999999995,0,2661.0,0,26.51,27.2396,-1.0
2017-03-07,204152.19999999995,0,2661.0,0,26.42,25.845516,0.0
2017-03-08,204152.19999999995,0,2661.0,0,26.34,26.52538,0.0
2017-03-09,204152.19999999995,0,2661.0,0,26.22,26.59026,0.0
2017-03-10,11.599999999961451,5101.0,0,1,26.3,26.76902,1.0
2017-03-13,11.599999999961451,5101.0,0,0,25.98,27.68509,0.0
2017-03-14,11.599999999961451,5101.0,0,0,25.62,27.274128,0.0
2017-03-15,11.599999999961451,5101.0,0,0,25.89,26.457417,0.0
2017-03-16,11.599999999961451,5101.0,0,0,26.27,26.433384,0.0
2017-03-17,11.599999999961451,5101.0,0,0,26.25,26.326754,0.0
2017-03-20,11.599999999961451,5101.0,0,0,26.54,26.485365,0.0
2017-03-21,11.599999999961451,5101.0,0,0,25.66,26.5654,0.0
2017-03-22,11.599999999961451,5101.0,0,0,25.63,27.130358,0.0
2017-03-23,11.599999999961451,5101.0,0,0,25.76,26.781937,0.0
2017-03-24,11.599999999961451,5101.0,0,0,25.94,26.2645,0.0
2017-03-27,11.599999999961451,5101.0,0,0,24.59,26.165264,0.0
2017-03-28,11.599999999961451,5101.0,0,0,24.12,26.831057,0.0
2017-03-29,252613.12,0,5101.0,-1,24.76,26.458881,-1.0
2017-03-30,252613.12,0,5101.0,0,24.67,25.164356,0.0
2017-03-31,252613.12,0,5101.0,0,24.4,25.46062,0.0
2017-04-03,252613.12,0,5101.0,0,23.55,25.78892,-1.0
2017-04-04,252613.12,0,5101.0,0,23.84,24.538307,-1.0
2017-04-05,8.319999999979121,5639.0,0,1,23.52,23.524797,1.0
2017-04-06,8.319999999979121,5639.0,0,0,23.89,24.280334,0.0
2017-04-07,8.319999999979121,5639.0,0,0,24.0,23.98127,0.0
2017-04-10,8.319999999979121,5639.0,0,0,23.8,24.092436,0.0
2017-04-11,8.319999999979121,5639.0,0,0,24.23,23.986866,0.0
2017-04-12,8.319999999979121,5639.0,0,0,23.9,24.063972,0.0
2017-04-13,8.319999999979121,5639.0,0,0,23.59,24.191763,0.0
2017-04-17,8.319999999979121,5639.0,0,0,23.99,23.53412,0.0
2017-04-18,8.319999999979121,5639.0,0,0,24.42,23.330091,0.0
2017-04-19,8.319999999979121,5639.0,0,0,24.45,23.470074,1.0
2017-04-20,8.319999999979121,5639.0,0,0,24.24,24.433355,0.0
2017-04-21,8.319999999979121,5639.0,0,0,24.41,24.405243,0.0
2017-04-24,8.319999999979121,5639.0,0,0,24.45,24.170496,0.0
2017-04-25,8.319999999979121,5639.0,0,0,24.64,24.125383,1.0
2017-04-26,8.319999999979121,5639.0,0,0,24.62,24.964808,0.0
2017-04-27,8.319999999979121,5639.0,0,0,13.29,25.470573,0.0
2017-04-28,180484.51499999998,0,5639.0,-1,16.0025,24.869835,-1.0
2017-05-01,3.4149999999890586,6531.0,0,1,14.83,17.089134,1.0
2017-05-02,212260.91499999998,0,6531.0,-1,16.25,18.224005,-1.0
2017-05-03,4.914999999979045,6735.0,0,1,16.0,15.326769,1.0
2017-05-04,4.914999999979045,6735.0,0,0,15.45,16.226274,0.0
2017-05-05,242330.21499999997,0,6735.0,-1,17.99,16.037663,-1.0
2017-05-08,9.344999999992865,8104.0,0,1,16.33,15.441104,1.0
2017-05-09,253016.22499999998,0,8104.0,-1,15.61,16.60693,-1.0
2017-05-10,253016.22499999998,0,8104.0,0,15.77,16.036066,-1.0
2017-05-11,253016.22499999998,0,8104.0,0,15.98,15.039463,0.0
2017-05-12,3.4649999999871177,8094.0,0,1,15.62,14.866969,1.0
2017-05-15,3.4649999999871177,8094.0,0,0,14.49,16.292805,0.0
2017-05-16,234162.88499999995,0,8094.0,-1,14.465,16.273127,-1.0
2017-05-17,234162.88499999995,0,8094.0,0,13.26,15.39495,0.0
2017-05-18,234162.88499999995,0,8094.0,0,13.405,14.935342,-1.0
2017-05-19,234162.88499999995,0,8094.0,0,13.54,14.228277,0.0
2017-05-22,234162.88499999995,0,8094.0,0,12.82,14.410382,-1.0
2017-05-23,234162.88499999995,0,8094.0,0,12.92,13.801973,-1.0
2017-05-24,234162.88499999995,0,8094.0,0,13.06,12.476556,-1.0
2017-05-25,10.244999999959893,9753.0,0,1,13.12,11.511056,1.0
2017-05-26,10.244999999959893,9753.0,0,0,13.25,14.093655,1.0
2017-05-30,10.244999999959893,9753.0,0,0,13.08,14.687378,0.0
2017-05-31,249296.92499999996,0,9753.0,-1,12.78,15.038619,-1.0
2017-06-01,249296.92499999996,0,9753.0,0,12.63,14.479043,0.0
2017-06-02,249296.92499999996,0,9753.0,0,12.96,14.082907,0.0
2017-06-05,249296.92499999996,0,9753.0,0,12.71,14.207657,-1.0
2017-06-06,249296.92499999996,0,9753.0,0,12.15,13.018353,0.0
2017-06-07,249296.92499999996,0,9753.0,0,12.08,13.39232,0.0
2017-06-08,249296.92499999996,0,9753.0,0,12.22,13.140544,-1.0
2017-06-09,249296.92499999996,0,9753.0,0,12.2,12.683419,-1.0
2017-06-12,249296.92499999996,0,9753.0,0,12.28,12.167155,0.0
2017-06-13,249296.92499999996,0,9753.0,0,12.13,11.849656,0.0
2017-06-14,249296.92499999996,0,9753.0,0,11.26,11.99176,0.0
2017-06-15,249296.92499999996,0,9753.0,0,10.91,11.819501,0.0
2017-06-16,249296.92499999996,0,9753.0,0,10.81,11.663701,-1.0
2017-06-19,249296.92499999996,0,9753.0,0,10.74,11.28036,0.0
2017-06-20,249296.92499999996,0,9753.0,0,10.18,11.041027,0.0
2017-06-21,249296.92499999996,0,9753.0,0,10.65,11.27788,0.0
2017-06-22,249296.92499999996,0,9753.0,0,12.18,11.071091,0.0
2017-06-23,12.924999999995944,5597.0,0,1,16.24,11.173092,1.0
2017-06-26,12.924999999995944,5597.0,0,0,16.14,11.840871,1.0
2017-06-27,12.924999999995944,5597.0,0,0,16.05,13.786511,1.0
2017-06-28,12.924999999995944,5597.0,0,0,16.26,14.790392,0.0
2017-06-29,12.924999999995944,5597.0,0,0,16.38,15.245599,0.0
2017-06-30,12.924999999995944,5597.0,0,0,16.45,15.646862,0.0
2017-07-03,12.924999999995944,5597.0,0,0,16.33,15.677124,0.0
2017-07-05,12.924999999995944,5597.0,0,0,16.24,15.796676,0.0
2017-07-06,12.924999999995944,5597.0,0,0,15.86,16.028742,0.0
2017-07-07,12.924999999995944,5597.0,0,0,16.5,16.165377,0.0
2017-07-10,12.924999999995944,5597.0,0,0,16.19,15.9375105,0.0
2017-07-11,180236.325,0,5597.0,-1,16.1,16.28786,-1.0
2017-07-12,180236.325,0,5597.0,0,16.16,15.616248,0.0
2017-07-13,180236.325,0,5597.0,0,16.1,15.673186,0.0
2017-07-14,180236.325,0,5597.0,0,16.22,16.085024,0.0
2017-07-17,180236.325,0,5597.0,0,16.2,16.376068,0.0
2017-07-18,180236.325,0,5597.0,0,16.33,16.699146,0.0
2017-07-19,15.655000000021317,5372.0,0,1,16.43,17.041485,1.0
2017-07-20,15.655000000021317,5372.0,0,0,16.38,17.82272,0.0
2017-07-21,15.655000000021317,5372.0,0,0,16.26,18.056187,0.0
2017-07-24,174927.97500000003,0,5372.0,-1,16.28,17.574436,-1.0
2017-07-25,174927.97500000003,0,5372.0,0,16.67,15.269683,0.0
2017-07-26,174927.97500000003,0,5372.0,0,16.5,15.678079,0.0
2017-07-27,174927.97500000003,0,5372.0,0,16.47,15.757426,0.0
2017-07-28,174927.97500000003,0,5372.0,0,16.54,15.829795,0.0
2017-07-31,174927.97500000003,0,5372.0,0,16.88,15.888727,0.0
2017-08-01,174927.97500000003,0,5372.0,0,16.59,16.093616,0.0
2017-08-02,174927.97500000003,0,5372.0,0,16.53,16.528849,0.0
2017-08-03,174927.97500000003,0,5372.0,0,16.64,16.529367,0.0
2017-08-04,174927.97500000003,0,5372.0,0,16.59,16.760372,0.0
2017-08-07,174927.97500000003,0,5372.0,0,16.19,16.58811,0.0
2017-08-08,174927.97500000003,0,5372.0,0,16.6,16.764765,0.0
2017-08-09,174927.97500000003,0,5372.0,0,16.66,16.57601,0.0
2017-08-10,174927.97500000003,0,5372.0,0,16.61,16.874758,0.0
2017-08-11,174927.97500000003,0,5372.0,0,16.65,17.132957,0.0
2017-08-14,174927.97500000003,0,5372.0,0,16.65,17.197351,0.0
2017-08-15,174927.97500000003,0,5372.0,0,16.67,17.220875,0.0
2017-08-16,174927.97500000003,0,5372.0,0,16.61,17.0382,0.0
2017-08-17,174927.97500000003,0,5372.0,0,16.48,16.964266,0.0
2017-08-18,174927.97500000003,0,5372.0,0,16.74,16.899849,0.0
2017-08-21,174927.97500000003,0,5372.0,0,16.79,16.827332,0.0
2017-08-22,174927.97500000003,0,5372.0,0,16.71,16.970896,0.0
2017-08-23,174927.97500000003,0,5372.0,0,16.71,16.876884,0.0
2017-08-24,174927.97500000003,0,5372.0,0,16.58,16.89197,0.0
2017-08-25,174927.97500000003,0,5372.0,0,16.59,16.922222,0.0
2017-08-28,174927.97500000003,0,5372.0,0,16.71,16.817905,0.0
2017-08-29,174927.97500000003,0,5372.0,0,16.69,16.643871,0.0
2017-08-30,174927.97500000003,0,5372.0,0,16.56,16.852358,0.0
2017-08-31,174927.97500000003,0,5372.0,0,16.79,16.865112,0.0
2017-09-01,174927.97500000003,0,5372.0,0,16.79,16.746851,0.0
2017-09-05,174927.97500000003,0,5372.0,0,16.51,16.96047,0.0
2017-09-06,174927.97500000003,0,5372.0,0,16.67,17.16913,0.0
2017-09-07,174927.97500000003,0,5372.0,0,16.68,16.791842,0.0
2017-09-08,174927.97500000003,0,5372.0,0,16.56,16.87197,0.0
2017-09-11,174927.97500000003,0,5372.0,0,16.46,16.87808,0.0
2017-09-12,174927.97500000003,0,5372.0,0,16.5,16.79877,0.0
2017-09-13,174927.97500000003,0,5372.0,0,16.89,16.721132,0.0
2017-09-14,174927.97500000003,0,5372.0,0,16.5,16.723688,0.0
2017-09-15,174927.97500000003,0,5372.0,0,16.11,17.023186,0.0
2017-09-18,174927.97500000003,0,5372.0,0,16.75,16.86648,0.0
2017-09-19,174927.97500000003,0,5372.0,0,9.82,16.442192,0.0
2017-09-20,174927.97500000003,0,5372.0,0,9.48,16.805887,-1.0
2017-09-21,174927.97500000003,0,5372.0,0,9.33,12.65591,0.0
2017-09-22,174927.97500000003,0,5372.0,0,9.2,12.752714,-1.0
2017-09-25,174927.97500000003,0,5372.0,0,9.04,10.837083,-1.0
2017-09-26,174927.97500000003,0,5372.0,0,8.97,10.142216,-1.0
2017-09-27,174927.97500000003,0,5372.0,0,9.02,9.742694,0.0
2017-09-28,174927.97500000003,0,5372.0,0,9.0,9.536701,0.0
2017-09-29,174927.97500000003,0,5372.0,0,9.33,9.423393,0.0
2017-10-02,174927.97500000003,0,5372.0,0,10.69,9.263268,0.0
2017-10-03,1.8150000000248454,10780.0,0,1,10.83,9.270783,1.0
2017-10-04,1.8150000000248454,10780.0,0,0,10.73,9.720183,1.0
2017-10-05,1.8150000000248454,10780.0,0,0,10.72,10.354321,1.0
2017-10-06,1.8150000000248454,10780.0,0,0,14.15,10.734858,0.0
2017-10-09,1.8150000000248454,10780.0,0,0,13.71,10.935928,1.0
2017-10-10,1.8150000000248454,10780.0,0,0,14.45,12.246134,1.0
2017-10-11,1.8150000000248454,10780.0,0,0,14.36,12.917636,0.0
2017-10-12,1.8150000000248454,10780.0,0,0,14.36,13.227438,0.0
2017-10-13,1.8150000000248454,10780.0,0,0,14.15,13.209521,0.0
2017-10-16,296020.615,0,10780.0,-1,13.73,13.02476,-1.0
2017-10-17,10.63500000001395,11662.0,0,1,13.19,12.248894,1.0
2017-10-18,10.63500000001395,11662.0,0,0,11.67,13.77614,1.0
2017-10-19,268469.875,0,11662.0,-1,11.51,14.235385,-1.0
2017-10-20,268469.875,0,11662.0,0,11.39,13.6667595,0.0
2017-10-23,268469.875,0,11662.0,0,11.09,13.329084,-1.0
2017-10-24,268469.875,0,11662.0,0,11.12,12.6696,-1.0
2017-10-25,268469.875,0,11662.0,0,11.37,12.286241,0.0
2017-10-26,268469.875,0,11662.0,0,11.34,12.002187,0.0
2017-10-27,268469.875,0,11662.0,0,11.49,12.126129,0.0
2017-10-30,268469.875,0,11662.0,0,11.26,12.040679,0.0
2017-10-31,268469.875,0,11662.0,0,11.33,11.680985,0.0
2017-11-01,268469.875,0,11662.0,0,11.14,11.55992,0.0
2017-11-02,268469.875,0,11662.0,0,10.4,11.717239,0.0
2017-11-03,268469.875,0,11662.0,0,9.99,11.871289,-1.0
2017-11-06,268469.875,0,11662.0,0,10.07,10.045524,0.0
2017-11-07,268469.875,0,11662.0,0,10.07,9.9090605,-1.0
2017-11-09,268469.875,0,11662.0,0,10.73,9.27183,0.0
2017-11-10,8.60499999997709,13979.0,0,1,10.47,9.296312,1.0
2017-11-13,8.60499999997709,13979.0,0,0,10.04,9.597682,0.0
2017-11-14,8.60499999997709,13979.0,0,0,9.56,9.734145,0.0
2017-11-15,8.60499999997709,13979.0,0,0,9.58,9.7640505,0.0
2017-11-16,8.60499999997709,13979.0,0,0,10.45,9.744752,1.0
2017-11-17,8.60499999997709,13979.0,0,0,10.38,10.124465,1.0
2017-11-20,8.60499999997709,13979.0,0,0,11.14,10.682291,0.0
2017-11-21,8.60499999997709,13979.0,0,0,11.2,11.012569,1.0
2017-11-22,8.60499999997709,13979.0,0,0,11.25,11.537422,0.0
2017-11-24,8.60499999997709,13979.0,0,0,11.13,11.735797,0.0
2017-11-27,8.60499999997709,13979.0,0,0,11.37,11.68533,0.0
2017-11-28,8.60499999997709,13979.0,0,0,11.59,11.45078,0.0
2017-11-29,8.60499999997709,13979.0,0,0,11.52,11.306966,0.0
2017-11-30,8.60499999997709,13979.0,0,0,10.04,11.342429,0.0
2017-12-01,283782.305,0,13979.0,-1,10.15,11.271731,-1.0
2017-12-04,283782.305,0,13979.0,0,9.99,10.525717,0.0
2017-12-05,283782.305,0,13979.0,0,9.87,10.478778,0.0
2017-12-06,283782.305,0,13979.0,0,9.68,10.405267,0.0
2017-12-07,283782.305,0,13979.0,0,9.35,10.274072,0.0
2017-12-08,283782.305,0,13979.0,0,9.26,10.110182,-1.0
2017-12-11,283782.305,0,13979.0,0,9.49,9.636645,0.0
2017-12-12,283782.305,0,13979.0,0,9.27,9.530356,0.0
