,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,38.93,39.825462,
2017-01-04,199982.86,0,2521.0,-1,39.66,39.420967,-1.0
2017-01-05,101764.69999999998,0,0,1,38.96,37.777317,1.0
2017-01-06,101764.69999999998,0,0,1,38.62,39.65047,1.0
2017-01-09,203503.4,0,2646.0,-1,38.45,41.434235,-1.0
2017-01-10,203503.4,0,2646.0,0,38.36,40.5386,-1.0
2017-01-11,100309.4,0,0,1,39.0,39.10785,1.0
2017-01-12,200615.47999999998,0,2604.0,-1,38.52,39.24985,-1.0
2017-01-13,200615.47999999998,0,2604.0,0,38.81,39.227722,-1.0
2017-01-17,200615.47999999998,0,2604.0,0,37.8,38.791035,-1.0
2017-01-18,200615.47999999998,0,2604.0,0,37.95,38.236362,-1.0
2017-01-19,101897.84,0,0,1,37.91,37.23776,1.0
2017-01-20,203765.84,0,2600.0,-1,39.18,37.655144,-1.0
2017-01-23,101507.84,0,0,1,39.33,37.200417,1.0
2017-01-24,101507.84,0,0,1,39.58,38.20799,1.0
2017-01-25,101507.84,0,0,1,39.67,39.169308,1.0
2017-01-26,203008.34,0,2586.0,-1,39.25,39.301445,-1.0
2017-01-27,100938.92,0,0,1,39.47,38.83498,1.0
2017-01-30,100938.92,0,0,1,37.87,39.129807,1.0
2017-01-31,201861.32,0,2620.0,-1,38.52,39.195015,-1.0
2017-02-01,101908.32,0,0,1,38.15,37.863235,1.0
2017-02-02,203794.7,0,2663.0,-1,38.26,38.58577,-1.0
2017-02-03,99671.40000000001,0,0,1,39.1,37.851402,1.0
2017-02-06,99671.40000000001,0,0,1,36.97,38.86211,1.0
2017-02-07,199325.55000000002,0,2697.0,-1,36.95,39.108356,-1.0
2017-02-08,199325.55000000002,0,2697.0,0,35.38,37.486458,-1.0
2017-02-09,199325.55000000002,0,2697.0,0,32.57,37.342926,-1.0
2017-02-10,199325.55000000002,0,2697.0,0,33.97,35.708656,-1.0
2017-02-13,107276.94000000002,0,0,1,34.13,33.541374,1.0
2017-02-14,107276.94000000002,0,0,1,33.76,33.651436,1.0
2017-02-15,214546.94,0,3155.0,-1,34.0,34.427563,-1.0
2017-02-16,108318.09,0,0,1,33.67,33.903915,1.0
2017-02-17,216619.13999999998,0,3267.0,-1,33.15,34.273148,-1.0
2017-02-21,216619.13999999998,0,3267.0,0,31.71,33.466217,-1.0
2017-02-22,216619.13999999998,0,3267.0,0,30.89,32.71956,-1.0
2017-02-23,216619.13999999998,0,3267.0,0,30.86,31.511185,-1.0
2017-02-24,117008.30999999998,0,0,1,30.49,30.646454,1.0
2017-02-27,234006.13,0,4078.0,-1,28.69,30.783367,-1.0
2017-02-28,234006.13,0,4078.0,0,27.08,30.678307,-1.0
2017-03-01,234006.13,0,4078.0,0,27.3,29.849977,-1.0
2017-03-02,234006.13,0,4078.0,0,27.1,27.93759,-1.0
2017-03-03,234006.13,0,4078.0,0,25.81,27.6204,-1.0
2017-03-06,234006.13,0,4078.0,0,26.51,27.2396,-1.0
2017-03-07,126265.37,0,0,1,26.42,25.845516,1.0
2017-03-08,126265.37,0,0,1,26.34,26.52538,1.0
2017-03-09,126265.37,0,0,1,26.22,26.59026,1.0
2017-03-10,126265.37,0,0,1,26.3,26.76902,1.0
2017-03-13,252528.16999999998,0,4860.0,-1,25.98,27.68509,-1.0
2017-03-14,252528.16999999998,0,4860.0,0,25.62,27.274128,-1.0
2017-03-15,252528.16999999998,0,4860.0,0,25.89,26.457417,-1.0
2017-03-16,252528.16999999998,0,4860.0,0,26.27,26.433384,-1.0
2017-03-17,124953.16999999998,0,0,1,26.25,26.326754,1.0
2017-03-20,124953.16999999998,0,0,1,26.54,26.485365,1.0
2017-03-21,124953.16999999998,0,0,1,25.66,26.5654,1.0
2017-03-22,249899.41999999998,0,4875.0,-1,25.63,27.130358,-1.0
2017-03-23,249899.41999999998,0,4875.0,0,25.76,26.781937,-1.0
2017-03-24,249899.41999999998,0,4875.0,0,25.94,26.2645,-1.0
2017-03-27,130023.16999999998,0,0,1,24.59,26.165264,1.0
2017-03-28,260029.96999999997,0,5390.0,-1,24.12,26.831057,-1.0
2017-03-29,260029.96999999997,0,5390.0,0,24.76,26.458881,-1.0
2017-03-30,127058.66999999995,0,0,1,24.67,25.164356,1.0
2017-03-31,127058.66999999995,0,0,1,24.4,25.46062,1.0
2017-04-03,254110.91999999995,0,5395.0,-1,23.55,25.78892,-1.0
2017-04-04,254110.91999999995,0,5395.0,0,23.84,24.538307,-1.0
2017-04-05,127220.51999999996,0,0,1,23.52,23.524797,1.0
2017-04-06,254434.76999999996,0,5325.0,-1,23.89,24.280334,-1.0
2017-04-07,126634.76999999996,0,0,1,24.0,23.98127,1.0
2017-04-10,253250.76999999996,0,5320.0,-1,23.8,24.092436,-1.0
2017-04-11,124347.16999999995,0,0,1,24.23,23.986866,1.0
2017-04-12,124347.16999999995,0,0,1,23.9,24.063972,1.0
2017-04-13,248690.05999999994,0,5271.0,-1,23.59,24.191763,-1.0
2017-04-17,248690.05999999994,0,5271.0,0,23.99,23.53412,-1.0
2017-04-18,119972.23999999993,0,0,1,24.42,23.330091,1.0
2017-04-19,119972.23999999993,0,0,1,24.45,23.470074,1.0
2017-04-20,239935.99999999994,0,4949.0,-1,24.24,24.433355,-1.0
2017-04-21,239935.99999999994,0,4949.0,0,24.41,24.405243,-1.0
2017-04-24,239935.99999999994,0,4949.0,0,24.45,24.170496,-1.0
2017-04-25,117992.63999999994,0,0,1,24.64,24.125383,1.0
2017-04-26,117992.63999999994,0,0,1,24.62,24.964808,1.0
2017-04-27,235981.25999999995,0,8878.0,-1,13.29,25.470573,-1.0
2017-04-28,235981.25999999995,0,8878.0,0,16.0025,24.869835,-1.0
2017-05-01,104320.51999999996,0,0,1,14.83,17.089134,1.0
2017-05-02,208629.26999999996,0,6419.0,-1,16.25,18.224005,-1.0
2017-05-03,105925.26999999996,0,0,1,16.0,15.326769,1.0
2017-05-04,211850.46999999997,0,6856.0,-1,15.45,16.226274,-1.0
2017-05-05,211850.46999999997,0,6856.0,0,17.99,16.037663,-1.0
2017-05-08,99891.98999999999,0,0,1,16.33,15.441104,1.0
2017-05-09,199780.38,0,6399.0,-1,15.61,16.60693,-1.0
2017-05-10,199780.38,0,6399.0,0,15.77,16.036066,-1.0
2017-05-11,199780.38,0,6399.0,0,15.98,15.039463,-1.0
2017-05-12,99828.00000000001,0,0,1,15.62,14.866969,1.0
2017-05-15,199649.61000000002,0,6889.0,-1,14.49,16.292805,-1.0
2017-05-16,199649.61000000002,0,6889.0,0,14.465,16.273127,-1.0
2017-05-17,199649.61000000002,0,6889.0,0,13.26,15.39495,-1.0
2017-05-18,199649.61000000002,0,6889.0,0,13.405,14.935342,-1.0
2017-05-19,106372.55000000002,0,0,1,13.54,14.228277,1.0
2017-05-22,212740.09000000003,0,8297.0,-1,12.82,14.410382,-1.0
2017-05-23,212740.09000000003,0,8297.0,0,12.92,13.801973,-1.0
2017-05-24,212740.09000000003,0,8297.0,0,13.06,12.476556,-1.0
2017-05-25,103883.45000000003,0,0,1,13.12,11.511056,1.0
2017-05-26,103883.45000000003,0,0,1,13.25,14.093655,1.0
2017-05-30,103883.45000000003,0,0,1,13.08,14.687378,1.0
2017-05-31,207759.29000000004,0,8128.0,-1,12.78,15.038619,-1.0
2017-06-01,207759.29000000004,0,8128.0,0,12.63,14.479043,-1.0
2017-06-02,102420.41000000003,0,0,1,12.96,14.082907,1.0
2017-06-05,204837.59000000003,0,8058.0,-1,12.71,14.207657,-1.0
2017-06-06,106932.89000000003,0,0,1,12.15,13.018353,1.0
2017-06-07,213865.05000000005,0,8852.0,-1,12.08,13.39232,-1.0
2017-06-08,213865.05000000005,0,8852.0,0,12.22,13.140544,-1.0
2017-06-09,213865.05000000005,0,8852.0,0,12.2,12.683419,-1.0
2017-06-12,213865.05000000005,0,8852.0,0,12.28,12.167155,-1.0
2017-06-13,106490.29000000004,0,0,1,12.13,11.849656,1.0
2017-06-14,212976.11000000004,0,9457.0,-1,11.26,11.99176,-1.0
2017-06-15,212976.11000000004,0,9457.0,0,10.91,11.819501,-1.0
2017-06-16,212976.11000000004,0,9457.0,0,10.81,11.663701,-1.0
2017-06-19,212976.11000000004,0,9457.0,0,10.74,11.28036,-1.0
2017-06-20,116703.85000000005,0,0,1,10.18,11.041027,1.0
2017-06-21,233406.55000000005,0,10958.0,-1,10.65,11.27788,-1.0
2017-06-22,99938.11000000004,0,0,1,12.18,11.071091,1.0
2017-06-23,99938.11000000004,0,0,1,16.24,11.173092,1.0
2017-06-26,99938.11000000004,0,0,1,16.14,11.840871,1.0
2017-06-27,99938.11000000004,0,0,1,16.05,13.786511,1.0
2017-06-28,99938.11000000004,0,0,1,16.26,14.790392,1.0
2017-06-29,99938.11000000004,0,0,1,16.38,15.245599,1.0
2017-06-30,99938.11000000004,0,0,1,16.45,15.646862,1.0
2017-07-03,99938.11000000004,0,0,1,16.33,15.677124,1.0
2017-07-05,99938.11000000004,0,0,1,16.24,15.796676,1.0
2017-07-06,99938.11000000004,0,0,1,15.86,16.028742,1.0
2017-07-07,199862.11000000004,0,6056.0,-1,16.5,16.165377,-1.0
2017-07-10,101815.47000000003,0,0,1,16.19,15.9375105,1.0
2017-07-11,203615.77000000002,0,6323.0,-1,16.1,16.28786,-1.0
2017-07-12,101436.09000000001,0,0,1,16.16,15.616248,1.0
2017-07-13,101436.09000000001,0,0,1,16.1,15.673186,1.0
2017-07-14,101436.09000000001,0,0,1,16.22,16.085024,1.0
2017-07-17,101436.09000000001,0,0,1,16.2,16.376068,1.0
2017-07-18,101436.09000000001,0,0,1,16.33,16.699146,1.0
2017-07-19,101436.09000000001,0,0,1,16.43,17.041485,1.0
2017-07-20,101436.09000000001,0,0,1,16.38,17.82272,1.0
2017-07-21,202865.97000000003,0,6238.0,-1,16.26,18.056187,-1.0
2017-07-24,202865.97000000003,0,6238.0,0,16.28,17.574436,-1.0
2017-07-25,98878.51000000002,0,0,1,16.67,15.269683,1.0
2017-07-26,98878.51000000002,0,0,1,16.5,15.678079,1.0
2017-07-27,98878.51000000002,0,0,1,16.47,15.757426,1.0
2017-07-28,98878.51000000002,0,0,1,16.54,15.829795,1.0
2017-07-31,98878.51000000002,0,0,1,16.88,15.888727,1.0
2017-08-01,98878.51000000002,0,0,1,16.59,16.093616,1.0
2017-08-02,98878.51000000002,0,0,1,16.53,16.528849,1.0
2017-08-03,98878.51000000002,0,0,1,16.64,16.529367,1.0
2017-08-04,197754.91000000003,0,5960.0,-1,16.59,16.760372,-1.0
2017-08-07,101262.51000000002,0,0,1,16.19,16.58811,1.0
2017-08-08,202522.51000000004,0,6100.0,-1,16.6,16.764765,-1.0
2017-08-09,100896.51000000004,0,0,1,16.66,16.57601,1.0
2017-08-10,100896.51000000004,0,0,1,16.61,16.874758,1.0
2017-08-11,100896.51000000004,0,0,1,16.65,17.132957,1.0
2017-08-14,100896.51000000004,0,0,1,16.65,17.197351,1.0
2017-08-15,201783.35000000003,0,6052.0,-1,16.67,17.220875,-1.0
2017-08-16,201783.35000000003,0,6052.0,0,16.61,17.0382,-1.0
2017-08-17,201783.35000000003,0,6052.0,0,16.48,16.964266,-1.0
2017-08-18,201783.35000000003,0,6052.0,0,16.74,16.899849,-1.0
2017-08-21,100170.27000000003,0,0,1,16.79,16.827332,1.0
2017-08-22,200330.01000000004,0,5994.0,-1,16.71,16.970896,-1.0
2017-08-23,100170.27000000003,0,0,1,16.71,16.876884,1.0
2017-08-24,100170.27000000003,0,0,1,16.58,16.89197,1.0
2017-08-25,200324.10000000003,0,6037.0,-1,16.59,16.922222,-1.0
2017-08-28,200324.10000000003,0,6037.0,0,16.71,16.817905,-1.0
2017-08-29,99566.57000000002,0,0,1,16.69,16.643871,1.0
2017-08-30,99566.57000000002,0,0,1,16.56,16.852358,1.0
2017-08-31,199131.27000000002,0,5930.0,-1,16.79,16.865112,-1.0
2017-09-01,99566.57000000002,0,0,1,16.79,16.746851,1.0
2017-09-05,99566.57000000002,0,0,1,16.51,16.96047,1.0
2017-09-06,199119.81000000003,0,5972.0,-1,16.67,17.16913,-1.0
2017-09-07,99506.85000000003,0,0,1,16.68,16.791842,1.0
2017-09-08,99506.85000000003,0,0,1,16.56,16.87197,1.0
2017-09-11,199007.55000000005,0,6045.0,-1,16.46,16.87808,-1.0
2017-09-12,199007.55000000005,0,6045.0,0,16.5,16.79877,-1.0
2017-09-13,96907.50000000004,0,0,1,16.89,16.721132,1.0
2017-09-14,96907.50000000004,0,0,1,16.5,16.723688,1.0
2017-09-15,193809.15000000002,0,6015.0,-1,16.11,17.023186,-1.0
2017-09-18,193809.15000000002,0,6015.0,0,16.75,16.86648,-1.0
2017-09-19,134741.85000000003,0,0,1,9.82,16.442192,1.0
2017-09-20,269481.0900000001,0,14213.0,-1,9.48,16.805887,-1.0
2017-09-21,136873.80000000008,0,0,1,9.33,12.65591,1.0
2017-09-22,273742.20000000007,0,14877.0,-1,9.2,12.752714,-1.0
2017-09-25,273742.20000000007,0,14877.0,0,9.04,10.837083,-1.0
2017-09-26,273742.20000000007,0,14877.0,0,8.97,10.142216,-1.0
2017-09-27,273742.20000000007,0,14877.0,0,9.02,9.742694,-1.0
2017-09-28,273742.20000000007,0,14877.0,0,9.0,9.536701,-1.0
2017-09-29,273742.20000000007,0,14877.0,0,9.33,9.423393,-1.0
2017-10-02,114707.07000000007,0,0,1,10.69,9.263268,1.0
2017-10-03,114707.07000000007,0,0,1,10.83,9.270783,1.0
2017-10-04,114707.07000000007,0,0,1,10.73,9.720183,1.0
2017-10-05,114707.07000000007,0,0,1,10.72,10.354321,1.0
2017-10-06,114707.07000000007,0,0,1,14.15,10.734858,1.0
2017-10-09,114707.07000000007,0,0,1,13.71,10.935928,1.0
2017-10-10,114707.07000000007,0,0,1,14.45,12.246134,1.0
2017-10-11,114707.07000000007,0,0,1,14.36,12.917636,1.0
2017-10-12,229400.39000000007,0,7987.0,-1,14.36,13.227438,-1.0
2017-10-13,229400.39000000007,0,7987.0,0,14.15,13.209521,-1.0
2017-10-16,229400.39000000007,0,7987.0,0,13.73,13.02476,-1.0
2017-10-17,124051.86000000007,0,0,1,13.19,12.248894,1.0
2017-10-18,124051.86000000007,0,0,1,11.67,13.77614,1.0
2017-10-19,248095.13000000006,0,10777.0,-1,11.51,14.235385,-1.0
2017-10-20,248095.13000000006,0,10777.0,0,11.39,13.6667595,-1.0
2017-10-23,248095.13000000006,0,10777.0,0,11.09,13.329084,-1.0
2017-10-24,248095.13000000006,0,10777.0,0,11.12,12.6696,-1.0
2017-10-25,248095.13000000006,0,10777.0,0,11.37,12.286241,-1.0
2017-10-26,125883.95000000007,0,0,1,11.34,12.002187,1.0
2017-10-27,251756.90000000008,0,10955.0,-1,11.49,12.126129,-1.0
2017-10-30,251756.90000000008,0,10955.0,0,11.26,12.040679,-1.0
2017-10-31,251756.90000000008,0,10955.0,0,11.33,11.680985,-1.0
2017-11-01,129718.20000000007,0,0,1,11.14,11.55992,1.0
