,presupuesto,acciones,acciones_debo,estado,valor,pred,dif
2017-01-03,100000,0,0,0,38.93,38.48995,
2017-01-04,199982.86,0,2521.0,-1,39.66,38.310295,-1.0
2017-01-05,101764.69999999998,0,0,1,38.96,36.812134,1.0
2017-01-06,101764.69999999998,0,0,1,38.62,40.006138,1.0
2017-01-09,203503.4,0,2646.0,-1,38.45,40.774036,-1.0
2017-01-10,203503.4,0,2646.0,0,38.36,39.822525,-1.0
2017-01-11,203503.4,0,2646.0,0,39.0,39.79756,-1.0
2017-01-12,101579.47999999998,0,0,1,38.52,39.03245,1.0
2017-01-13,203145.25,0,2617.0,-1,38.81,39.194096,-1.0
2017-01-17,203145.25,0,2617.0,0,37.8,38.57341,-1.0
2017-01-18,103830.09999999999,0,0,1,37.95,37.66928,1.0
2017-01-19,103830.09999999999,0,0,1,37.91,37.7644,1.0
2017-01-20,207657.09999999998,0,2650.0,-1,39.18,37.77562,-1.0
2017-01-23,103432.59999999998,0,0,1,39.33,37.400055,1.0
2017-01-24,103432.59999999998,0,0,1,39.58,38.15911,1.0
2017-01-25,103432.59999999998,0,0,1,39.67,39.131832,1.0
2017-01-26,206856.34999999998,0,2635.0,-1,39.25,39.3447,-1.0
2017-01-27,206856.34999999998,0,2635.0,0,39.47,38.87578,-1.0
2017-01-30,206856.34999999998,0,2635.0,0,37.87,38.652042,-1.0
2017-01-31,206856.34999999998,0,2635.0,0,38.52,38.463764,-1.0
2017-02-01,206856.34999999998,0,2635.0,0,38.15,37.79579,-1.0
2017-02-02,106041.24999999999,0,0,1,38.26,37.339188,1.0
2017-02-03,106041.24999999999,0,0,1,39.1,37.341724,1.0
2017-02-06,106041.24999999999,0,0,1,36.97,37.661755,1.0
2017-02-07,212050.8,0,2869.0,-1,36.95,38.576733,-1.0
2017-02-08,212050.8,0,2869.0,0,35.38,37.435356,-1.0
2017-02-09,212050.8,0,2869.0,0,32.57,37.111294,-1.0
2017-02-10,212050.8,0,2869.0,0,33.97,36.008053,-1.0
2017-02-13,114131.82999999999,0,0,1,34.13,33.618065,1.0
2017-02-14,114131.82999999999,0,0,1,33.76,33.813374,1.0
2017-02-15,228235.83,0,3356.0,-1,34.0,34.25089,-1.0
2017-02-16,115239.30999999998,0,0,1,33.67,33.916946,1.0
2017-02-17,230468.70999999996,0,3476.0,-1,33.15,34.309586,-1.0
2017-02-21,230468.70999999996,0,3476.0,0,31.71,33.169098,-1.0
2017-02-22,230468.70999999996,0,3476.0,0,30.89,32.462975,-1.0
2017-02-23,230468.70999999996,0,3476.0,0,30.86,31.675285,-1.0
2017-02-24,124485.46999999997,0,0,1,30.49,30.328623,1.0
2017-02-27,248942.68999999997,0,4338.0,-1,28.69,30.652557,-1.0
2017-02-28,248942.68999999997,0,4338.0,0,27.08,30.445694,-1.0
2017-03-01,248942.68999999997,0,4338.0,0,27.3,29.227314,-1.0
2017-03-02,248942.68999999997,0,4338.0,0,27.1,28.180712,-1.0
2017-03-03,248942.68999999997,0,4338.0,0,25.81,27.606009,-1.0
2017-03-06,248942.68999999997,0,4338.0,0,26.51,27.30098,-1.0
2017-03-07,134332.72999999998,0,0,1,26.42,25.764698,1.0
2017-03-08,268640.39,0,5099.0,-1,26.34,26.50436,-1.0
2017-03-09,268640.39,0,5099.0,0,26.22,26.37313,-1.0
2017-03-10,134536.69,0,0,1,26.3,26.054731,1.0
2017-03-13,269061.13,0,5178.0,-1,25.98,27.742283,-1.0
2017-03-14,269061.13,0,5178.0,0,25.62,26.643278,-1.0
2017-03-15,135002.71,0,0,1,25.89,25.907349,1.0
2017-03-16,270004.24,0,5139.0,-1,26.27,26.143251,-1.0
2017-03-17,135105.49,0,0,1,26.25,25.262037,1.0
2017-03-20,270194.08999999997,0,5090.0,-1,26.54,25.603317,-1.0
2017-03-21,139584.68999999997,0,0,1,25.66,25.206604,1.0
2017-03-22,139584.68999999997,0,0,1,25.63,25.908873,1.0
2017-03-23,279152.37,0,5418.0,-1,25.76,26.137491,-1.0
